Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Market Capitalization,505,621,619,614,614,615,611,629,618,525,-
Market Cap Growth,-,1.02%,1.23%,-2.38%,-0.51%,17.14%,-,-,-,-,-
Enterprise Value,506,622,620,615,615,616,611,629,617,523,0
PE Ratio,25.90,25.79,21.26,15.22,38.42,287.92,-,-,-,-107.83,-
PB Ratio,-29.61,-29.61,-29.54,-22.93,-18.48,-14.86,-12.50,125.88,123.50,-12.07,-
Debt / Equity Ratio,-0.05,-0.05,-0.05,-0.04,-0.03,-0.02,-0.01,-,-,-,6.25
Current Ratio,0.11,0.11,0.24,0.35,0.01,1.69,1.32,-,-,0.03,-
Buyback Yield / Dilution,-,-,-,-,-342.58%,-455.56%,-,-,-,-,
Total Shareholder Return,-,-,-,-,-342.58%,-455.56%,-,-,-,-,
