Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,186,332,325,323,323,282,-
Market Cap Growth,-,17.75%,-,-,-,-,-
Enterprise Value,186,332,325,323,323,281,0
PE Ratio,176.00,167.24,4627.44,-469.47,-601.51,-1262.41,-
PB Ratio,-38.51,-38.51,-37.29,-37.90,-38.60,-34.99,-
Debt / Equity Ratio,-0.01,-0.01,-0.03,-0.05,-,-,34.52
Current Ratio,3.59,3.59,1.36,1.41,2.14,4.97,0.07
Buyback Yield / Dilution,-226.09%,-226.09%,42.50%,-400.00%,-475.00%,-,-
Total Shareholder Return,-226.09%,-226.09%,42.50%,-400.00%,-475.00%,-,-
