Metrics,Current,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Market Capitalization,61,68,63,71,58,68,83,82,83,80,79,36,43,28,78,83,90,88,84,103,98,98,105,120,124,143,-
Market Cap Growth,-,1.29%,-23.95%,-13.83%,-30.29%,-15.49%,4.75%,129.22%,92.49%,183.68%,1.05%,-56.62%,-52.36%,-67.98%,-6.38%,-20.14%,-8.57%,-10.41%,-20.34%,-13.96%,-20.38%,-31.24%,-,-,-,-,-
Enterprise Value,208,215,216,212,198,201,216,213,187,169,142,138,128,125,193,199,204,161,156,175,170,168,133,178,153,111,-32
PE Ratio,-29.57,-29.57,-4.04,-2.32,-1.65,-2.42,-8.06,36.16,6.30,5.66,-2.48,-1.50,-1.04,-0.57,-10.37,-4.48,-22.93,28.37,-9.29,12.11,-19.46,-9.65,-38.12,-,-,-,-
PS Ratio,2.23,2.51,2.58,3.01,2.32,2.65,3.28,3.33,3.55,3.67,3.46,1.48,1.70,1.04,2.90,3.06,3.45,3.31,3.01,3.38,3.19,3.28,3.53,-,-,-,-
PB Ratio,0.68,0.76,0.74,0.74,0.59,0.98,1.11,0.83,0.90,0.87,0.99,0.59,0.81,0.55,0.90,0.90,0.87,0.77,0.76,0.81,0.78,0.78,0.79,0.90,0.80,0.84,-
Debt / Equity Ratio,1.64,1.64,1.81,1.50,1.46,2.05,1.90,1.53,1.79,1.27,1.45,1.91,2.18,2.36,1.38,1.31,1.13,0.67,0.69,0.60,0.60,0.60,0.24,0.50,0.22,0.20,0.20
Dividend Yield,21.20%,3.89%,4.46%,4.84%,4.06%,4.05%,3.25%,2.91%,2.85%,2.93%,4.19%,7.42%,5.92%,8.89%,3.84%,3.04%,2.83%,3.01%,6.23%,2.57%,2.69%,3.60%,2.53%,2.35%,2.42%,2.20%,-
Payout Ratio,-250.00%,32.70%,-42.50%,250.00%,-51.70%,-53.60%,-10.80%,-75.90%,95.20%,18.60%,-107.50%,34.60%,73.20%,-7.50%,-190.90%,-25.90%,-57.90%,32.80%,-41.40%,54.10%,99.60%,-87.40%,60.70%,-32.30%,-124.50%,92.20%,-
Buyback Yield / Dilution,-66.77%,-66.77%,-39.27%,-90.73%,-32.59%,-16.87%,-102.36%,-124.32%,-130.57%,-132.56%,-32.29%,-5.94%,0.43%,5.44%,5.56%,5.54%,3.87%,0.10%,0.04%,6.08%,11.24%,15.70%,17.09%,-,-,-,-
Total Shareholder Return,-45.57%,-62.88%,-34.80%,-85.89%,-28.53%,-12.83%,-99.11%,-121.40%,-127.72%,-129.63%,-28.10%,1.47%,6.35%,14.33%,9.40%,8.57%,6.71%,3.11%,6.27%,8.65%,13.93%,19.30%,19.62%,2.35%,2.42%,2.20%,-
