Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,41,170,147,147,148,-,-
Enterprise Value,40,170,146,146,147,0,0
PE Ratio,-243.07,-243.07,-135.54,-110.94,-,-,-
PB Ratio,-664.52,-664.52,1038.42,520.49,146.91,-,-
Debt / Equity Ratio,-,-,-,-,-,5.87,2.50
Current Ratio,0.87,0.87,0.81,1.04,4.29,0.01,0.04
Buyback Yield / Dilution,-471.82%,-490.24%,-490.04%,-,-,-,-
Total Shareholder Return,-471.82%,-490.24%,-490.04%,-,-,-,-
