Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Market Capitalization,308,300,295,291,290,231,-
Market Cap Growth,-,29.90%,-,-,-,-,-
Enterprise Value,313,305,299,296,294,235,0
PE Ratio,150.29,150.08,-,-774.92,-,-1644.79,-
PB Ratio,-20.27,-20.27,-20.37,-20.56,-20.89,-16.96,-
Debt / Equity Ratio,-0.36,-0.36,-0.35,-0.35,-0.36,-0.37,7.23
Current Ratio,1.04,1.04,2.18,2.96,3.41,5.60,0.01
Buyback Yield / Dilution,-326.28%,-326.28%,-486.20%,-409.74%,-,-,-
Total Shareholder Return,-326.28%,-326.28%,-486.20%,-409.74%,-,-,-
