Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,109,291,286,282,281,279,-,-
Market Cap Growth,-,4.48%,-,-,-,-,-,-
Enterprise Value,108,291,286,282,281,278,0,0
PE Ratio,32.63,31.38,17.11,19.09,21.64,29.87,-,-
PB Ratio,-22.09,-22.09,-21.35,-19.82,-17.98,-14.46,-,-
Debt / Equity Ratio,-,-,-,-,-,-,17.84,9.87
Current Ratio,0.30,0.30,0.59,0.83,1.23,2.27,0.09,-
Buyback Yield / Dilution,-147.97%,-147.97%,-475.00%,-475.00%,-,-,-,-
Total Shareholder Return,-147.97%,-147.97%,-475.00%,-475.00%,-,-,-,-
