Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Market Capitalization,496,558,626,899,"2,401","1,914",386,-,-
Market Cap Growth,-,-70.83%,61.94%,-,-,-,-,-,-
Enterprise Value,499,562,629,900,"2,401","1,914",385,0,0
PE Ratio,-36.67,-36.67,-10.87,-16.68,-48.43,-1382.42,-,-,-
PB Ratio,-18.01,-18.01,-26.11,-55.28,-201.92,-191.30,-43.99,-,-
Debt / Equity Ratio,-0.11,-0.11,-0.14,-0.03,-0.03,-,-,3.47,2.57
Current Ratio,0.01,0.01,0.02,0.04,0.13,0.83,6.98,-,-
Buyback Yield / Dilution,-124.30%,-124.30%,-157.60%,-396.20%,-,-,-,-,-
Total Shareholder Return,-124.30%,-124.30%,-157.60%,-396.20%,-,-,-,-,-
