Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Market Capitalization,75,230,225,224,224,198
Market Cap Growth,-,16.31%,-,-,-,-
Enterprise Value,-103,52,48,47,47,21
PE Ratio,650.93,650.93,-534.65,-322.62,-,-
PB Ratio,-41.19,-41.19,-42.71,-45.02,-46.89,-44.61
Current Ratio,11.33,11.33,24.90,15.86,9.28,25.80
Buyback Yield / Dilution,-141.67%,-171.19%,-475.00%,-,-,-
Total Shareholder Return,-141.67%,-171.19%,-475.00%,-,-,-
