Metrics,Current,2022-09-30,2022-03-31,2021-09-30
Market Capitalization,320,449,-,-
Enterprise Value,449,424,-8,-9
PE Ratio,60.87,100.69,-,-
PS Ratio,48.58,46.01,-,-
PB Ratio,13.75,13.02,-,-
Debt / Equity Ratio,0.01,0.01,0.02,0.04
Buyback Yield / Dilution,-10.93%,-10.93%,-,-
Total Shareholder Return,-10.93%,-10.93%,-,-
