Metrics,Current,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Market Capitalization,52,51,145,144,143,142,-,-
Market Cap Growth,-,-63.71%,-,-,-,-,-,-
Enterprise Value,53,52,145,144,143,141,0,0
PE Ratio,-40.34,-40.34,-93.78,-127.53,-152.21,-242.78,-,-
PB Ratio,-45.02,-45.02,-203.82,386.76,255.08,154.13,-,-
Debt / Equity Ratio,-0.61,-0.61,-0.51,-,-,-,7.37,6.27
Current Ratio,0.23,0.23,0.01,1.38,2.57,3.25,0.02,0.13
Buyback Yield / Dilution,-122.73%,-122.73%,-392.91%,-400.00%,-400.00%,-114.32%,-15.00%,-
Total Shareholder Return,-122.73%,-122.73%,-392.91%,-400.00%,-400.00%,-114.32%,-15.00%,-
