symbol,date,net_income,depreciation_and_amortization,share_based_compensation,other_operating_activities,operating_cash_flow,capital_expenditures,investing_cash_flow,share_issuance_or_repurchase,other_financing_activities,financing_cash_flow,net_cash_flow,free_cash_flow,free_cash_flow_margin,free_cash_flow_per_share,change_in_investments,debt_issued_or_paid,operating_cash_flow_growth,acquisitions,dividends_paid,other_investing_activities,free_cash_flow_growth,common_stock_issued,share_repurchases
BPOP,2020-01-01,504.86,64.85,8.25,100.81,678.77,33.53,13068.15,9.09,13070.32,12492.15,102.77,645.25,29.82,7.66,13112.43,453.62,3.77,0.0,133.65,77.8,0.47,,
BPOP,2019-01-01,667.41,67.44,12.3,41.79,705.37,57.06,4169.85,8.72,4038.52,3455.56,8.93,648.31,28.24,6.7,4211.5,475.88,16.77,0.0,115.81,98.7,16.47,,
BPOP,2018-01-01,614.44,62.63,10.52,159.92,847.5,71.36,4390.67,7.27,4257.45,3533.79,9.38,776.14,35.94,7.73,2576.48,625.49,33.15,1843.33,105.44,100.51,33.01,,
BPOP,2017-01-01,103.96,57.74,0.0,474.78,636.48,52.94,5351.74,7.02,4952.35,4753.69,38.43,583.54,36.57,5.72,5387.66,109.77,6.69,0.0,95.91,88.86,15.52,,
BPOP,2016-01-01,212.97,59.02,0.0,324.59,596.57,91.42,3454.53,7.44,3284.81,2853.26,4.69,505.15,32.59,4.87,3544.98,373.05,10.98,0.0,65.93,181.88,18.57,,
BPOP,2015-01-01,891.62,58.49,0.0,279.98,670.14,49.78,238.34,6.23,206.38,925.9,17.42,620.36,36.77,5.99,771.73,1119.24,23.24,652.73,19.26,407.12,25.82,,
BPOP,2014-01-01,317.21,56.57,0.0,1133.64,873.0,36.71,25.45,5.39,106.02,940.57,42.12,836.29,78.79,8.08,152.07,1048.26,6.55,212.23,3.72,426.46,5.75,,
BPOP,2013-01-01,595.6,58.05,0.0,165.66,819.31,28.48,303.0,6.86,323.4,1138.46,16.15,790.82,51.71,7.65,294.45,818.19,56.32,0.0,3.72,625.93,61.7,,
COLB,2022-01-01,250.18,49.02,16.16,14.67,300.68,29.79,395.69,1.88,1288.77,437.97,532.97,330.48,45.9,4.23,427.64,947.0,27.92,0.0,94.31,2.16,34.99,,
COLB,2021-01-01,202.82,23.17,14.93,5.85,235.07,9.76,2358.36,1.79,2414.82,2294.24,170.95,244.82,39.69,3.37,2523.9,35.0,22.24,154.98,83.79,0.8,31.26,,
COLB,2020-01-01,154.24,14.89,10.74,12.42,192.29,5.77,1918.79,20.49,3194.59,2132.59,406.09,186.52,35.4,2.63,1949.58,946.0,6.08,0.0,95.51,36.57,8.99,,
COLB,2019-01-01,194.45,34.21,9.27,33.19,204.75,0.19,865.45,51.6,230.3,630.79,29.91,204.93,34.91,2.85,880.41,554.0,13.68,0.0,101.91,14.77,15.28,,
COLB,2018-01-01,172.88,32.97,8.35,22.99,237.2,4.7,506.08,0.82,66.56,203.94,64.95,241.9,43.8,3.34,523.12,354.75,84.56,0.0,83.44,12.34,79.92,,
COLB,2017-01-01,112.83,31.1,7.75,23.15,128.53,5.93,199.49,7.66,353.8,189.26,118.3,134.45,28.67,2.25,294.35,105.57,11.88,80.47,51.31,8.46,10.94,,
COLB,2016-01-01,104.87,34.54,5.01,1.43,145.85,5.12,548.55,0.22,620.97,451.64,48.94,150.97,36.74,2.64,560.2,80.88,8.23,0.0,88.68,6.53,6.13,,
COLB,2015-01-01,98.83,30.31,4.09,1.53,134.76,7.49,423.05,0.35,513.97,275.43,12.87,142.25,34.88,2.5,448.07,161.63,2.08,0.0,77.26,17.52,11.16,,
COLB,2014-01-01,81.57,44.46,2.86,8.73,137.62,9.65,521.96,0.31,255.74,392.95,8.61,127.97,35.84,2.43,552.89,186.4,72.81,15.47,49.49,25.11,92.43,,
COLB,2013-01-01,60.02,40.43,2.84,23.66,79.64,13.13,281.06,0.66,35.15,132.94,334.37,66.5,20.92,1.39,145.71,148.9,40.97,154.17,19.86,31.96,43.53,,
UBSI,2022-01-01,379.63,23.67,10.92,346.6,760.82,15.96,3447.66,69.17,1044.33,105.32,2581.52,744.86,72.26,5.53,3454.21,1411.85,24.82,0.0,193.04,22.52,25.02,,
UBSI,2021-01-01,367.74,7.91,8.32,225.57,609.54,13.76,15.65,6.01,1249.19,923.91,1549.1,595.78,57.02,4.61,68.21,138.0,334.0,39.42,181.28,78.21,373.68,,
UBSI,2020-01-01,289.02,16.44,6.33,138.47,140.45,14.67,137.59,20.08,2855.69,1093.54,1371.58,125.78,13.41,1.05,496.98,1579.35,7.58,629.11,162.71,20.13,10.88,,
UBSI,2019-01-01,260.1,29.76,5.14,83.51,151.97,10.83,383.32,34.4,141.54,48.45,182.9,141.13,19.96,1.39,385.34,363.33,48.32,0.0,138.94,12.86,52.43,,
UBSI,2018-01-01,256.34,21.06,4.23,54.52,294.04,2.62,873.02,99.22,156.04,66.79,645.77,296.66,42.66,2.85,886.45,18.74,15.79,0.0,142.35,10.82,23.82,,
UBSI,2017-01-01,150.58,21.57,5.76,119.16,253.93,14.34,266.68,4.62,313.84,288.97,231.64,239.59,36.73,2.46,229.42,141.61,48.73,44.53,121.35,7.07,46.08,,
UBSI,2016-01-01,147.08,8.72,6.83,25.55,170.73,6.72,30.96,213.25,483.77,375.5,577.19,164.02,34.83,2.23,10.15,225.17,2.38,29.33,96.35,18.5,3.8,,
UBSI,2015-01-01,137.96,0.75,3.51,32.69,174.9,4.4,185.3,7.87,297.74,114.67,104.27,170.5,39.18,2.46,193.15,102.08,14.64,0.0,88.86,12.24,9.92,,
UBSI,2014-01-01,129.89,1.57,2.12,18.98,152.57,2.55,212.58,9.88,403.41,396.46,336.45,155.12,35.68,2.3,334.46,65.67,7.29,97.3,82.5,22.03,13.72,,
UBSI,2013-01-01,85.63,11.68,1.79,43.11,142.2,5.79,373.11,2.27,130.84,215.45,15.46,136.41,43.02,2.71,369.89,406.45,9.86,0.0,62.43,2.57,7.86,,
FNB,2022-01-01,431.0,73.0,0.0,706.0,1218.0,95.0,3055.0,43.0,261.0,18.0,1819.0,1123.0,81.44,3.2,3148.0,29.0,129.81,188.0,171.0,,137.92,,
FNB,2021-01-01,397.0,10.0,0.0,115.0,530.0,58.0,153.0,43.0,2612.0,1733.0,2110.0,472.0,38.19,1.48,95.0,680.0,369.03,0.0,156.0,,555.56,,
FNB,2020-01-01,278.0,3.0,0.0,170.0,113.0,41.0,1822.0,38.0,4346.0,2493.0,784.0,72.0,6.59,0.22,1781.0,1658.0,56.37,0.0,157.0,,66.2,,
FNB,2019-01-01,379.0,45.0,0.0,173.0,259.0,46.0,1131.0,0.0,1338.0,983.0,111.0,213.0,18.25,0.66,1076.0,198.0,57.61,0.0,157.0,9.0,63.02,,
FNB,2018-01-01,365.0,109.0,0.0,129.0,611.0,35.0,1920.0,0.0,1065.0,1318.0,9.0,576.0,50.22,1.78,2019.0,410.0,119.0,134.0,157.0,,159.46,,
FNB,2017-01-01,191.0,89.0,0.0,9.0,279.0,57.0,1529.0,11.0,1155.0,1358.0,108.0,222.0,21.41,0.69,1619.0,335.0,4.78,197.0,143.0,50.0,4.72,,
FNB,2016-01-01,163.0,61.0,2.0,63.0,293.0,60.0,1260.0,18.0,808.0,849.0,118.0,233.0,30.78,1.11,1429.0,125.0,31.11,246.0,102.0,17.0,9.0,,
FNB,2015-01-01,151.61,43.95,0.03,19.91,223.48,9.72,1142.67,12.73,1085.47,1120.91,201.73,213.76,34.47,1.22,1277.55,107.22,49.98,144.63,84.51,0.02,49.89,,
FNB,2014-01-01,135.7,40.12,2.71,265.36,446.82,20.24,1738.26,12.86,355.14,1364.85,73.41,426.58,72.8,2.46,1799.95,1078.07,29.1,59.98,81.22,21.95,28.79,,
FNB,2013-01-01,117.8,30.77,1.33,198.85,346.09,14.88,604.42,62.09,254.12,233.26,25.06,331.21,66.15,2.08,721.16,11.7,36.38,141.64,71.25,10.02,37.65,,
SNV,2022-01-01,724.74,69.17,27.9,336.51,1191.49,30.11,4855.48,15.81,564.65,2631.92,1032.07,1161.38,54.74,7.99,4893.53,3408.53,50.06,0.0,196.15,68.16,51.21,,
SNV,2021-01-01,727.3,113.55,27.8,107.8,794.02,25.95,4384.17,188.37,2701.44,2347.09,1243.06,768.06,36.76,5.22,4402.62,28.69,4561.91,0.0,194.68,44.41,,,
SNV,2020-01-01,340.53,69.63,18.64,444.93,17.03,30.1,2352.97,10.84,8249.8,5401.94,3066.0,13.07,0.79,0.09,2126.41,2647.06,97.26,0.0,189.97,196.47,,,
SNV,2019-01-01,540.9,8.08,24.49,24.7,621.05,61.21,2153.86,718.08,1119.93,1576.17,43.35,559.84,30.03,3.63,2330.3,1342.24,15.43,201.1,167.92,36.54,15.46,,
SNV,2018-01-01,410.48,55.17,16.64,37.76,538.05,53.16,1338.05,181.44,621.84,1010.63,210.63,484.89,35.22,4.12,1300.16,676.45,14.76,0.0,106.22,15.27,16.41,,
SNV,2017-01-01,265.24,59.12,14.18,282.43,631.2,51.11,1473.9,171.64,1479.96,776.59,66.11,580.1,44.57,4.79,1292.17,477.07,35.48,0.0,54.67,130.63,34.42,,
SNV,2016-01-01,236.55,58.23,13.62,147.26,465.89,34.32,1416.94,257.93,1389.28,665.91,285.14,431.57,37.71,3.47,1404.47,406.01,4.7,6.15,59.43,15.71,3.59,,
SNV,2015-01-01,215.84,56.74,12.56,149.61,444.99,28.38,2106.72,193.58,1694.41,1543.33,118.4,416.61,38.71,3.15,2083.03,97.85,14.92,0.0,55.35,4.69,19.53,,
SNV,2014-01-01,185.01,54.95,10.23,126.78,387.22,38.68,1166.77,85.07,835.28,795.42,15.86,348.54,33.27,2.52,1101.29,88.0,36.01,90.57,42.81,63.77,39.56,,
SNV,2013-01-01,118.55,59.31,7.47,378.94,605.1,28.47,27.59,176.22,1119.12,722.52,145.0,576.63,58.0,4.52,156.25,256.82,28.16,56.33,36.43,100.8,29.57,,
WTFC,2022-01-01,481.72,82.07,31.75,751.5,1375.0,53.45,3490.77,296.66,806.95,2195.53,79.76,1321.55,70.38,22.32,3443.05,1200.14,21.59,4.77,108.21,0.96,23.07,,
WTFC,2021-01-01,438.19,101.8,16.18,546.75,1130.87,57.08,5928.86,10.28,4990.22,4886.72,88.73,1073.8,60.65,18.84,5284.61,15.16,,587.51,98.63,0.33,,,
WTFC,2020-01-01,271.61,96.37,4.94,902.89,518.47,63.65,7182.42,78.37,7259.05,7736.89,36.0,582.11,40.71,10.12,7122.28,642.1,,0.08,85.89,3.43,,,
WTFC,2019-01-01,347.5,88.36,11.3,189.37,265.99,82.02,4018.95,9.37,3142.43,3647.23,105.72,183.97,13.06,3.24,3830.84,560.54,29.48,106.41,65.11,0.33,40.44,,
WTFC,2018-01-01,334.97,67.67,13.5,47.15,377.18,68.27,2763.5,15.26,2547.4,2500.93,114.61,308.91,24.02,5.49,2653.2,10.74,6.09,50.46,50.99,8.44,9.79,,
WTFC,2017-01-01,247.9,63.11,12.86,67.98,401.63,59.19,2303.23,27.83,1523.75,1909.15,7.55,342.43,30.52,6.26,2228.86,398.11,29.15,0.23,40.54,15.41,23.6,,
WTFC,2016-01-01,192.36,53.15,9.3,41.64,310.97,33.92,2492.33,168.12,2767.75,2175.61,5.75,277.04,27.33,5.51,1848.17,721.69,698.04,613.28,38.57,3.05,,,
WTFC,2015-01-01,145.88,41.01,9.66,168.45,38.97,43.46,1641.55,15.7,1502.27,1647.68,45.09,4.49,0.51,0.09,1587.23,159.6,81.12,15.43,29.89,4.56,,,
WTFC,2014-01-01,145.08,37.79,7.31,9.87,206.37,38.14,1837.59,9.9,1217.84,1598.07,33.16,168.23,21.21,3.62,2048.4,395.26,28.15,228.95,24.93,20.0,32.58,,
WTFC,2013-01-01,128.82,26.18,6.33,117.49,287.21,37.69,206.22,15.61,78.47,132.15,51.16,249.52,34.32,6.45,58.38,55.4,6.91,163.59,13.89,53.44,28.4,,
FFIN,2022-01-01,234.48,12.76,,76.7,323.94,14.6,838.01,2.9,439.02,316.16,197.91,309.34,59.99,2.17,823.41,28.65,8.29,0.0,91.32,,7.62,,
FFIN,2021-01-01,227.56,13.06,,112.61,353.23,18.38,2611.65,5.91,1890.67,2057.92,200.5,334.85,65.19,2.35,2593.27,241.06,67.67,0.0,79.71,,71.13,,
FFIN,2020-01-01,202.03,12.79,,4.16,210.67,14.99,1262.2,3.29,1522.89,1498.01,446.48,195.67,41.61,1.38,1308.24,48.74,4.06,61.03,70.32,,0.18,,
FFIN,2019-01-01,164.81,11.67,,25.98,202.45,6.42,447.8,4.29,423.42,279.31,33.96,196.03,49.68,1.44,441.38,87.35,8.64,0.0,61.06,,15.62,,
FFIN,2018-01-01,150.64,12.55,,23.16,186.35,16.8,273.29,3.86,124.47,36.77,123.7,169.55,45.97,1.25,275.14,137.71,2.06,18.65,53.86,,6.94,,
FFIN,2017-01-01,120.37,12.92,,56.99,190.27,8.08,398.04,2.93,484.42,323.63,115.86,182.2,56.73,1.38,389.97,114.77,18.37,0.0,48.96,,26.6,,
FFIN,2016-01-01,104.77,11.57,,44.4,160.74,16.83,251.96,1.26,288.37,74.82,16.4,143.92,47.69,1.09,235.13,169.91,47.35,0.0,44.91,,53.0,,
FFIN,2015-01-01,100.38,11.15,,2.43,109.09,15.03,384.23,1.55,96.33,294.55,19.42,94.06,33.44,0.71,432.46,235.44,16.98,63.27,38.77,,20.72,,
FFIN,2014-01-01,89.56,9.26,,32.58,131.4,12.76,575.21,1.44,615.18,485.26,41.46,118.65,46.25,0.93,562.45,96.78,19.61,0.0,34.58,,14.91,,
FFIN,2013-01-01,78.87,8.64,,22.35,109.86,6.6,556.77,1.96,116.54,298.19,148.73,103.26,44.78,0.81,524.46,204.19,18.05,25.71,24.51,,21.12,,
OZK,2022-01-01,564.14,43.99,13.21,143.61,764.95,29.85,2430.25,,458.24,644.92,1020.38,735.09,58.85,6.11,2101.49,,40.96,21.35,168.86,277.56,44.49,0.0,355.54
OZK,2021-01-01,579.0,43.13,16.01,95.48,542.66,33.92,125.75,,1057.15,1008.24,339.83,508.74,46.38,3.94,7172.73,,1.68,102.06,146.51,7434.46,1.27,0.0,195.42
OZK,2020-01-01,291.9,43.79,14.85,201.41,551.95,49.61,2972.24,,3455.6,3318.2,897.91,502.34,51.0,3.88,3932.79,,29.98,59.72,139.26,1069.87,54.11,0.0,1.85
OZK,2019-01-01,425.91,42.51,14.17,57.94,424.64,98.69,120.63,,779.26,659.81,1205.09,325.95,33.12,2.53,676.89,,39.79,0.0,121.12,896.21,47.3,0.0,1.68
OZK,2018-01-01,417.11,35.44,14.14,238.63,705.31,86.75,1526.46,,769.88,671.43,149.72,618.56,62.38,4.81,1394.78,,83.45,0.0,102.22,44.93,78.97,0.0,3.77
OZK,2017-01-01,421.89,34.07,12.33,83.81,384.48,38.86,2630.4,,1608.95,1819.95,425.97,345.62,37.19,2.75,2121.11,,58.92,0.0,88.73,470.42,75.66,299.72,0.0
OZK,2016-01-01,269.98,25.03,10.75,63.84,241.93,45.17,2284.25,,2876.56,2817.69,775.37,196.76,28.36,1.89,835.41,,20.26,203.7,62.17,1607.36,6.72,0.0,3.3
OZK,2015-01-01,182.25,17.46,8.2,6.74,201.18,16.8,1334.72,,1004.54,1074.32,59.22,184.37,38.46,2.12,453.18,,228.03,299.81,47.08,1164.54,326.18,110.0,6.86
OZK,2014-01-01,118.61,12.98,5.68,75.93,61.33,18.07,529.12,,455.8,422.02,45.77,43.26,12.51,0.56,216.08,,22.27,121.92,36.13,416.89,8.01,0.0,2.35
OZK,2013-01-01,87.14,10.0,4.49,51.46,50.16,10.11,75.12,,37.34,12.97,11.99,40.05,15.47,0.56,229.52,,,56.79,25.74,107.72,,0.0,1.37
PNFP,2022-01-01,545.55,62.3,36.53,54.64,604.93,63.65,6684.44,10.18,3646.2,3155.36,2924.16,541.28,36.63,7.15,6492.84,412.48,7.99,30.9,68.19,97.06,14.7,,
PNFP,2021-01-01,512.13,53.26,22.48,54.39,657.44,22.9,3612.96,6.92,3583.89,3095.6,140.09,634.55,48.36,8.41,3597.8,425.87,54.06,0.0,55.5,7.75,63.97,,
PNFP,2020-01-01,304.73,45.2,18.32,50.91,426.75,39.76,3567.59,55.86,7734.4,6575.58,3434.74,386.99,41.35,5.13,3472.59,1053.57,1.1,0.0,49.39,55.24,0.62,,
PNFP,2019-01-01,400.88,8.34,20.22,2.06,431.5,42.09,2616.27,65.11,1332.49,1989.79,194.99,389.41,38.84,5.1,2428.36,772.24,8.34,44.59,49.83,101.23,13.46,,
PNFP,2018-01-01,359.44,23.6,14.67,120.25,470.76,20.77,2969.08,25.77,2399.41,2440.42,57.9,449.99,49.84,5.84,2867.87,112.24,183.82,0.0,45.45,80.45,300.39,,
PNFP,2017-01-01,173.98,23.62,14.17,1.33,165.86,53.48,2115.53,192.19,1488.77,2545.62,595.95,112.39,16.91,1.76,2165.92,900.56,8.89,155.14,35.91,51.28,18.23,,
PNFP,2016-01-01,127.23,0.19,6.37,18.54,152.32,14.87,1279.08,0.0,838.5,989.46,137.31,137.45,32.14,3.19,1285.12,175.69,80.03,17.61,24.73,3.31,84.45,,
PNFP,2015-01-01,95.51,10.27,3.23,24.4,84.6,10.09,742.6,0.0,791.07,791.04,133.04,74.52,23.73,2.01,738.39,18.27,11.0,5.88,18.31,,16.44,,
PNFP,2014-01-01,70.47,9.28,3.61,11.7,95.06,5.88,487.88,0.0,257.25,371.79,21.03,89.18,36.86,2.57,482.0,125.94,24.82,0.0,11.4,,26.38,,
PNFP,2013-01-01,57.73,9.25,3.69,55.77,126.44,5.29,564.69,2.89,518.67,481.91,43.65,121.14,56.31,3.54,521.05,36.85,10.64,0.0,2.81,38.35,11.74,,
GGAL,2022-01-01,48639.4,27877.15,,503704.23,580220.78,18530.22,18699.73,,48224.1,23050.45,76366.62,561690.56,81.09,,,,105.16,777.4,25173.65,607.89,105.85,0.0,
GGAL,2021-01-01,29430.0,14497.48,,238883.64,282811.13,9943.27,8417.68,,10354.47,8428.57,70164.25,272867.86,100.13,1850.34,,,53.91,163.95,1925.9,1689.53,54.49,0.0,
GGAL,2020-01-01,26439.0,8284.29,,149030.72,183754.01,7123.95,6782.34,,33069.74,35106.14,62811.78,176630.05,81.96,1197.17,102.29,,,0.0,2036.4,443.9,,0.0,
GGAL,2019-01-01,41557.12,2562.65,,92551.36,48431.59,5523.26,1907.83,,7469.77,9469.77,6131.2,53954.85,43.07,378.16,,,,0.0,2000.0,3615.43,,0.0,
GGAL,2018-01-01,3465.82,1651.98,,88079.7,86265.85,3687.96,2206.78,,12014.12,10397.27,93910.24,82577.9,97.93,578.78,770.47,,,770.47,1616.85,3022.13,,0.0,
GGAL,2017-01-01,8329.47,0.0,,9213.66,884.2,929.81,1747.51,,51.74,10712.64,13229.78,1814.0,4.02,12.71,181.01,,,0.0,240.0,636.7,,11004.38,
GGAL,2016-01-01,6017.88,0.0,,18995.32,25013.2,900.53,1479.13,,2813.97,2663.97,30112.4,24112.66,74.6,185.44,,,,0.0,150.0,578.6,62.0,0.0,
GGAL,2015-01-01,4338.4,0.0,,4338.4,0.0,740.31,1122.86,,1429.19,1529.19,19921.25,14884.66,62.33,114.47,,,,0.0,100.0,382.55,106.39,0.0,
GGAL,2014-01-01,3337.79,0.0,,4158.18,7495.97,284.12,494.94,,1235.62,1285.14,7230.13,7211.85,40.64,55.46,96.95,,115.03,0.0,49.52,113.87,123.43,0.0,
GGAL,2013-01-01,1823.65,0.0,,1662.29,3485.94,258.16,437.28,,456.74,421.89,4499.9,3227.78,24.29,26.0,38.78,,,0.0,34.85,140.34,125.08,0.0,
ONB,2022-01-01,414.17,62.29,28.66,295.19,814.43,33.42,1685.51,70.37,435.72,777.48,93.61,781.0,49.34,2.84,3575.08,1461.19,146.51,1912.63,177.62,10.36,151.18,,
ONB,2021-01-01,277.54,38.61,7.5,6.73,330.38,19.45,1431.58,3.15,1531.74,1333.51,232.31,310.93,37.01,1.88,1415.51,102.26,50.3,0.0,92.83,3.38,58.01,,
ONB,2020-01-01,226.41,43.0,7.71,57.3,219.82,23.05,2141.45,81.78,2484.06,2235.01,313.38,196.78,24.83,1.19,2123.3,74.32,5.96,0.0,92.95,4.89,1.66,,
ONB,2019-01-01,238.21,43.63,7.99,56.07,233.76,33.65,525.4,101.57,203.45,250.82,40.83,200.1,25.05,1.16,498.55,238.41,0.28,0.0,89.47,6.8,3.96,,
ONB,2018-01-01,190.83,38.22,8.52,3.16,234.41,26.05,271.42,0.36,261.55,63.74,26.73,208.36,28.7,1.34,101.97,115.29,6.27,149.9,82.16,6.5,9.95,,
ONB,2017-01-01,95.73,34.02,6.35,113.98,250.08,18.71,536.4,0.3,85.06,321.23,34.91,231.37,37.47,1.68,522.6,308.47,908.11,2.56,72.6,2.35,,,
ONB,2016-01-01,134.26,29.04,7.32,145.82,24.81,218.33,640.76,0.69,489.68,651.65,35.7,193.52,29.56,1.51,465.77,228.82,79.95,29.24,67.54,14.1,,,
ONB,2015-01-01,116.72,25.85,4.26,23.06,123.76,77.95,500.9,87.31,89.33,357.0,20.15,45.81,7.71,0.4,57.53,410.53,37.92,370.19,55.55,4.77,74.78,,
ONB,2014-01-01,103.67,21.49,4.16,70.03,199.35,17.72,162.16,25.5,303.76,3.95,33.24,181.63,34.37,1.69,168.11,373.5,20.52,3.05,48.18,26.71,20.94,,
ONB,2013-01-01,100.92,19.39,3.96,41.14,165.41,15.22,100.95,24.0,453.43,323.7,57.34,150.19,29.77,1.49,265.08,194.0,44.73,361.73,40.28,19.53,51.59,,
VLY,2022-01-01,555.71,72.71,28.79,758.13,1428.48,58.1,6787.78,24.0,4960.61,4257.33,1101.97,1370.38,75.9,2.82,7055.9,473.28,70.64,321.54,206.0,4.68,69.89,,
VLY,2021-01-01,461.15,54.93,20.89,287.48,837.14,30.49,1080.78,12.66,2521.46,964.35,720.72,806.65,60.55,1.98,1377.03,1364.78,411.82,321.62,179.67,5.13,410.33,,
VLY,2020-01-01,377.92,57.62,16.15,300.81,163.56,5.5,2037.66,3.17,2736.47,2768.62,894.52,158.07,13.44,0.39,2047.21,213.29,37.55,0.0,177.97,15.04,54.53,,
VLY,2019-01-01,297.11,53.32,14.73,115.91,261.92,85.67,897.32,1.15,1794.97,641.45,6.06,347.59,31.94,1.03,1014.79,1008.13,13.83,22.24,146.54,9.56,21.83,,
VLY,2018-01-01,248.74,27.55,19.47,4.5,303.96,18.65,2839.92,1.1,2718.81,2548.48,12.52,285.3,29.76,0.86,2982.1,30.38,50.91,156.61,138.86,4.22,53.27,,
VLY,2017-01-01,152.46,24.85,12.2,420.27,619.23,8.76,1547.55,5.56,514.58,951.93,23.61,610.47,80.13,2.31,1551.88,547.67,47.73,0.0,115.88,13.09,45.69,,
VLY,2016-01-01,160.96,24.43,10.03,216.57,419.18,0.15,1527.31,108.89,1469.97,1086.84,21.3,419.03,59.06,1.64,1529.57,380.21,170.56,0.0,111.81,2.41,189.49,,
VLY,2015-01-01,99.14,21.08,7.58,23.32,154.93,10.18,1700.4,5.79,1159.44,1128.86,416.61,144.75,23.12,0.62,1891.25,65.92,15.79,201.03,102.28,,29.55,,
VLY,2014-01-01,116.17,19.47,7.49,40.85,183.98,21.5,511.57,3.41,1300.01,788.83,461.24,205.47,37.33,1.0,640.67,426.47,35.53,102.03,88.12,5.58,28.79,,
VLY,2013-01-01,131.96,19.71,6.06,127.64,285.36,3.18,786.03,7.07,55.24,16.73,483.93,288.55,51.5,1.45,563.83,83.69,11.74,0.0,129.27,225.38,6.89,,
ZION,2022-01-01,878.0,110.0,30.0,423.0,1470.0,190.0,1405.0,193.0,11575.0,2813.0,62.0,1280.0,42.24,8.53,1250.0,9224.0,133.7,318.0,269.0,27.0,202.6,,
ZION,2021-01-01,1100.0,14.0,28.0,514.0,629.0,206.0,11579.0,779.0,12997.0,11002.0,52.0,423.0,13.27,2.65,11404.0,955.0,12.52,0.0,261.0,31.0,22.81,,
ZION,2020-01-01,505.0,86.0,26.0,68.0,719.0,171.0,12204.0,68.0,12560.0,11323.0,162.0,548.0,23.06,3.35,12075.0,910.0,3.16,0.0,259.0,42.0,5.52,,
ZION,2019-01-01,782.0,188.0,27.0,334.0,697.0,117.0,375.0,1088.0,2975.0,981.0,91.0,580.0,20.75,3.3,490.0,2608.0,40.73,0.0,260.0,2.0,44.6,,
ZION,2018-01-01,850.0,193.0,26.0,73.0,1176.0,129.0,2706.0,652.0,1472.0,1596.0,66.0,1047.0,37.1,5.41,2583.0,1012.0,26.72,0.0,236.0,6.0,37.94,,
ZION,2017-01-01,550.0,179.0,25.0,132.0,928.0,169.0,3919.0,296.0,769.0,2802.0,189.0,759.0,29.28,3.78,3766.0,3996.0,55.7,0.0,129.0,16.0,89.75,,
ZION,2016-01-01,411.0,123.0,26.0,22.0,596.0,196.0,3436.0,72.0,2759.0,2779.0,61.0,400.0,17.47,1.96,3247.0,200.0,28.45,0.0,108.0,7.0,30.29,,
ZION,2015-01-01,247.0,86.0,25.0,44.0,464.0,157.0,2579.0,15.0,2349.0,2071.0,44.0,307.0,15.11,1.51,2440.0,185.0,22.0,0.0,108.0,18.0,50.09,,
ZION,2014-01-01,326.57,57.69,0.0,75.81,380.34,175.8,1268.56,520.85,1451.79,557.11,331.12,204.54,9.01,1.06,1127.68,1319.4,54.46,0.0,96.13,34.92,72.6,,
ZION,2013-01-01,293.98,130.62,0.0,440.7,835.11,88.58,1353.0,794.14,626.83,150.33,668.22,746.53,35.2,4.06,1287.31,197.99,13.44,0.0,119.66,22.9,11.87,,
CADE,2022-01-01,463.24,255.82,32.79,171.2,923.05,94.5,1710.68,,1477.79,1491.11,703.47,828.55,44.92,4.51,3823.2,,21.29,11.51,170.27,2218.53,24.71,0.0,183.58
CADE,2021-01-01,195.16,175.94,18.1,783.53,1172.72,72.27,3153.52,,2781.18,2858.11,877.31,1100.46,92.95,9.15,10649.43,,417.66,2306.57,108.75,5261.61,544.94,0.0,185.68
CADE,2020-01-01,228.05,43.37,12.82,57.7,226.54,55.91,2429.4,,2281.98,2287.22,84.36,170.63,16.61,1.66,4469.57,,5.44,2.07,85.95,2094.01,7.56,0.0,91.18
CADE,2019-01-01,234.26,38.65,15.31,48.64,239.58,54.99,1294.91,,1056.97,1055.9,0.57,184.59,19.84,1.82,3751.64,,7.26,172.61,72.76,2339.11,0.41,0.0,71.7
CADE,2018-01-01,221.32,34.55,12.5,44.99,223.37,39.54,577.59,,822.18,689.25,111.71,183.83,21.44,1.86,1855.31,,23.52,134.17,61.54,2338.26,26.69,0.11,194.37
CADE,2017-01-01,153.03,30.12,9.09,11.4,180.85,35.74,634.94,,387.22,451.86,2.24,145.11,19.55,1.58,1637.52,,26.03,0.0,48.35,1038.31,22.55,0.88,112.1
CADE,2016-01-01,132.73,29.27,7.1,25.59,143.5,25.09,941.24,,838.11,822.74,25.0,118.41,16.16,1.26,1310.39,,7.64,11.2,42.31,405.44,15.06,2.77,24.16
CADE,2015-01-01,127.49,30.25,5.59,30.02,133.31,30.4,627.0,,286.91,334.42,159.28,102.91,14.42,1.07,791.09,,6.21,0.0,33.37,194.48,17.62,10.44,70.44
CADE,2014-01-01,116.75,31.72,1.2,7.54,142.13,17.21,459.36,,157.75,146.06,171.17,124.92,18.21,1.31,836.73,,30.24,7.06,23.98,401.64,29.93,11.58,0.71
CADE,2013-01-01,94.12,29.52,1.64,78.45,203.73,25.46,480.03,,388.42,398.89,675.19,178.27,26.45,1.88,1303.36,,52.8,17.36,11.38,866.15,64.08,0.91,0.0
TFSL,2022-01-01,74.57,27.04,11.01,73.68,38.93,2.31,1875.1,6.29,74.37,1717.4,118.76,36.62,12.62,0.13,1874.49,1707.62,53.19,,58.3,1.71,55.24,,
