symbol,date,net_income,depreciation_and_amortization,share_based_compensation,other_operating_activities,operating_cash_flow,capital_expenditures,investing_cash_flow,share_issuance_or_repurchase,other_financing_activities,financing_cash_flow,net_cash_flow,free_cash_flow,free_cash_flow_margin,free_cash_flow_per_share,change_in_investments,debt_issued_or_paid,operating_cash_flow_growth,acquisitions,dividends_paid,other_investing_activities,free_cash_flow_growth,common_stock_issued,share_repurchases
GRNT,2020-01-01,23.93,79.95,,10.79,66.81,116.74,116.74,0.0,82.95,52.07,2.13,49.94,57.33,0.38,,18.0,939.56,0.0,12.88,,,,
CCVI,2022-01-01,29.2,,,30.09,0.89,,1.26,0.0,,0.0,0.36,0.89,,0.01,1.26,,,,,,,,
ALCC,2022-01-01,3.93,,,4.88,0.95,,1.2,0.0,,0.0,0.24,0.95,,0.01,1.2,,,,,,,,
GHIX,2022-01-01,16.05,,,18.57,2.51,,524.38,537.5,10.68,527.12,0.23,2.51,,0.04,524.38,0.3,,,,,,,
ZING,2022-01-01,1.38,,,5.16,3.78,,0.86,0.0,,0.0,2.92,3.78,,0.07,0.86,0.0,,,,,,,
BFAC,2022-01-01,21.25,,,21.88,0.63,,0.0,0.0,,0.0,0.63,0.63,,0.01,0.0,,,,,,,,
CFIV,2022-01-01,11.07,,0.0,11.06,0.01,,400.65,402.0,,400.32,0.35,0.01,,,400.65,1.68,,,,,,,
CFIV,2021-01-01,8.45,,0.28,8.74,0.0,,0.01,0.0,,0.46,0.44,0.0,,,0.01,0.46,,,,,,,
DWAC,2022-01-01,15.22,,,13.84,1.38,,2.82,0.06,,3.87,0.33,1.38,,0.04,2.82,3.93,,,,,,,
NSTC,2022-01-01,16.76,,,17.69,0.93,,0.0,0.0,0.03,0.03,0.95,0.93,,0.02,0.0,,,,,,,,
CCV,2022-01-01,24.09,,,25.56,1.47,,1.37,0.0,,0.0,0.1,1.47,,0.02,1.37,0.0,,,,,,,
CCV,2021-01-01,2.14,,,4.58,2.45,,0.15,0.0,,1.0,1.3,2.45,,0.04,0.15,1.0,,,,,,,
RMGC,2022-01-01,15.88,,,16.49,0.61,,0.04,0.0,,0.5,0.07,0.61,,0.01,0.04,0.5,,,,,,,
HCVI,2022-01-01,15.3,,,17.73,2.43,,1.26,0.0,1.19,1.19,1.23,2.43,,0.05,1.26,,,,,,,,
ICNC,2022-01-01,18.51,,,19.59,1.07,,0.0,0.0,,0.75,0.32,1.07,,0.03,0.0,0.75,,,,,,,
IVCB,2022-01-01,26.97,,,29.12,2.15,,0.0,0.0,,0.0,2.15,2.15,,0.05,0.0,,,,,,,,
CPAA,2022-01-01,7.87,,,8.86,0.99,,1.56,0.0,,0.0,0.57,0.99,,0.02,1.56,,,,,,,,
