symbol,date,cash_and_equivalents,cash_and_cash_equivalents,cash_growth,receivables,inventory,other_current_assets,total_current_assets,property_plant_and_equipment,goodwill_and_intangibles,other_long_term_assets,total_long_term_assets,total_assets,accounts_payable,deferred_revenue,other_current_liabilities,total_current_liabilities,other_long_term_liabilities,total_long_term_liabilities,total_liabilities,common_stock,retained_earnings,comprehensive_income,shareholders_equity,total_liabilities_and_equity,net_cash_or_debt,net_cash_or_debt_growth,net_cash_per_share,working_capital,book_value_per_share,long_term_investments,current_debt,total_debt,debt_growth,long_term_debt,short_term_investments,goodwill,intangible_assets
RBCAA,2022-01-01,313.69,313.69,58.56,,,,,69.0,16.3,,,5835.54,,,,,,,4978.93,146.34,742.25,31.98,856.61,5835.54,36.08,,,,43.38,,,349.77,1.65,,,,
RBCAA,2021-01-01,756.97,756.97,55.89,,,,,74.9,16.3,,,6093.63,,,,,,,5258.58,144.66,688.52,1.87,835.05,6093.63,401.33,,,,41.32,,,355.64,33.1,,,,
RBCAA,2020-01-01,485.59,485.59,26.03,,,,,82.86,16.3,,,6168.33,,,,,,,5345.0,148.54,666.28,8.51,823.32,6168.33,46.02,,,,39.36,,,531.61,46.59,,,,
RBCAA,2019-01-01,385.3,385.3,9.62,,,,,81.4,16.3,,,5620.32,,,,,,,4856.08,146.98,614.17,3.1,764.24,5620.32,610.08,,,,36.48,,,995.39,3.76,,,,
RBCAA,2018-01-01,351.47,351.47,17.41,,,,,44.82,16.3,,,5240.4,,,,,,,4550.47,145.92,545.01,1.0,689.93,5240.4,682.76,,,,33.0,,,1034.23,5.24,,,,
RBCAA,2017-01-01,299.35,299.35,3.47,,,,,45.61,16.3,,,5085.36,,,,,,,4452.94,144.31,487.7,0.42,632.42,5085.36,683.41,,,,30.32,,,982.76,3.39,,,,
RBCAA,2016-01-01,289.31,289.31,37.71,,,,,42.87,16.3,,,4816.31,,,,,,,4211.9,143.1,460.62,0.69,604.41,4816.31,727.9,,,,28.97,,,1017.21,10.47,,,,
RBCAA,2015-01-01,210.08,210.08,188.27,,,,,31.11,10.17,,,4230.29,,,,,,,3653.74,141.83,432.67,2.05,576.55,4230.29,926.09,,,,27.65,,,1136.17,2.84,,,,
RBCAA,2014-01-01,72.88,72.88,57.35,,,,,34.3,10.17,,,3747.01,,,,,,,3188.28,139.79,414.62,4.32,558.73,3747.01,1031.97,,,,26.84,,,1104.85,36.1,,,,
RBCAA,2013-01-01,170.86,170.86,24.09,,,,,32.91,10.17,,,3371.9,,,,,,,2829.11,137.91,401.77,3.12,542.79,3371.9,640.93,,,,26.1,,,811.8,2.75,,,,
GABC,2022-01-01,119.08,119.08,70.0,,,,,112.24,189.78,,,6155.99,,,,,,,5597.6,416.66,405.17,263.44,558.39,6155.99,84.73,,,,18.94,,,203.81,33.92,,,,
GABC,2021-01-01,396.89,396.89,14.79,,,,,88.86,127.61,,,5608.54,,,,,,,4940.08,302.61,350.36,15.48,668.46,5608.54,244.71,61.82,,,25.18,,,152.18,21.77,,,,
GABC,2020-01-01,345.75,345.75,232.82,,,,,96.59,130.94,,,4977.58,,,,,,,4352.87,300.89,288.45,35.38,624.71,4977.58,151.22,,,,23.58,,,194.53,44.37,,,,
GABC,2019-01-01,103.88,103.88,7.6,,,,,96.65,133.96,,,4397.67,,,,,,,3823.85,305.63,253.09,15.11,573.82,4397.67,245.8,,,,21.52,,,349.69,7.1,,,,
GABC,2018-01-01,96.55,96.55,37.22,,,,,80.63,113.65,,,3929.09,,,,,,,3470.45,254.31,211.42,7.1,458.64,3929.09,279.86,,,,18.38,,,376.41,36.77,,,,
GABC,2017-01-01,70.36,70.36,8.55,,,,,54.25,56.16,,,3144.36,,,,,,,2779.79,188.22,178.97,2.62,364.57,3144.36,204.86,,,,15.9,,,275.22,6.63,,,,
GABC,2016-01-01,64.82,64.82,24.62,,,,,48.23,56.89,,,2955.99,,,,,,,2625.73,187.01,149.67,6.4,330.27,2955.99,193.3,,,,14.43,,,258.11,5.56,,,,
GABC,2015-01-01,52.01,52.01,22.53,,,,,37.82,21.82,,,2373.7,,,,,,,2121.35,123.42,125.11,3.81,252.35,2373.7,221.31,,,,12.67,,,273.32,32.64,,,,
GABC,2014-01-01,42.45,42.45,29.41,,,,,39.93,22.61,,,2237.1,,,,,,,2008.28,121.88,104.06,2.89,228.82,2237.1,163.62,,,,11.55,,,206.06,46.38,,,,
GABC,2013-01-01,60.13,60.13,22.5,,,,,40.43,23.86,,,2163.83,,,,,,,1963.73,121.2,84.16,5.26,200.1,2163.83,80.64,,,,10.13,,,140.77,12.57,,,,
OCFC,2022-01-01,167.95,167.95,18.05,44.7,,,,126.71,519.64,,,13103.9,,,,,,,11518.43,1080.14,540.51,35.98,1584.66,13103.09,1329.13,,22.57,,26.98,,,1497.07,306.58,,,,
OCFC,2021-01-01,204.95,204.95,83.89,32.61,,,,125.83,518.53,,,11739.62,,,,,,,10223.06,1077.07,442.31,2.82,1516.55,11739.62,163.27,,2.74,,25.53,,,368.22,3.41,,,,
OCFC,2020-01-01,1272.13,1272.13,955.33,35.27,,,,107.09,523.99,,,11448.31,,,,,,,9964.18,1105.24,378.27,0.62,1484.13,11448.31,890.91,,14.83,,24.77,,,381.22,45.67,,,,
OCFC,2019-01-01,120.54,120.54,0.21,21.67,,,,102.69,390.24,,,8246.15,,,,,,,7093.03,795.66,358.67,1.21,1153.12,8246.15,581.14,,11.45,,22.99,,,701.68,12.32,,,,
OCFC,2018-01-01,120.79,120.79,10.2,19.69,,,,111.21,355.41,,,7516.15,,,,,,,6476.8,737.75,305.06,3.45,1039.36,7516.15,503.95,,10.57,,22.22,,,624.74,43.28,,,,
OCFC,2017-01-01,109.61,109.61,63.63,14.25,,,,101.78,159.39,,,5416.01,,,,,,,4814.07,336.27,271.02,5.35,601.94,5416.01,326.42,,9.85,,18.74,,,436.03,11.51,,,,
OCFC,2016-01-01,301.37,301.37,585.78,11.99,,,,71.39,155.99,,,5166.92,,,,,,,4595.01,339.46,238.19,5.75,571.9,5166.92,89.65,,3.81,,24.77,,,391.02,9.04,,,,
OCFC,2015-01-01,43.95,43.95,21.68,5.86,,,,28.42,2.08,,,2593.07,,,,,,,2354.62,15.55,229.14,6.24,238.45,2593.07,385.93,,22.96,,14.36,,,429.88,5.65,,,,
OCFC,2014-01-01,36.12,36.12,6.36,5.51,,,,24.74,0.0,,,2356.71,,,,,,,2138.46,7.65,217.71,7.11,218.26,2356.71,370.76,,22.07,,13.08,,,406.87,46.74,,,,
OCFC,2013-01-01,33.96,33.96,45.71,5.38,,,,23.68,0.0,,,2249.71,,,,,,,2035.36,14.77,206.2,6.62,214.35,2249.71,243.32,,14.18,,12.56,,,277.28,13.53,,,,
FBMS,2022-01-01,145.32,145.32,84.2,,,,,153.07,180.25,,,6461.72,,,,,,,5815.05,543.0,252.62,148.96,646.66,6461.72,139.54,,,,26.91,,,284.86,88.63,,,,
FBMS,2021-01-01,919.71,919.71,63.49,,,,,132.45,156.66,,,6077.41,,,,,,,5401.24,461.97,206.23,7.98,676.17,6077.41,768.7,160.57,,,32.17,,,151.01,43.56,,,,
FBMS,2020-01-01,562.55,562.55,233.14,,,,,123.45,156.94,,,5152.76,,,,,,,4507.95,464.76,154.24,25.82,644.82,5152.76,295.0,,,,30.12,,,267.55,11.26,,,,
FBMS,2019-01-01,168.86,168.86,6.13,,,,,104.98,158.57,,,3941.86,,,,,,,3398.21,423.11,110.46,10.09,543.66,3941.86,132.65,,,,28.91,,,301.52,81.61,,,,
FBMS,2018-01-01,159.11,159.11,73.09,,,,,74.78,89.75,,,3003.99,,,,,,,2640.73,293.05,72.0,1.8,363.25,3003.99,6.91,,,,27.78,,,166.02,45.15,,,,
FBMS,2017-01-01,91.92,91.92,47.98,,,,,46.43,19.96,,,1813.24,,,,,,,1590.77,169.19,53.72,0.44,222.47,1813.24,22.46,,,,24.23,,,114.38,44.22,,,,
FBMS,2016-01-01,62.12,62.12,50.56,,,,,34.62,13.78,,,1277.37,,,,,,,1122.84,111.13,44.48,1.08,154.53,1277.37,17.19,,,,28.33,,,79.31,34.25,,,,
FBMS,2015-01-01,41.26,41.26,7.53,,,,,33.62,13.78,,,1145.13,,,,,,,1041.69,66.71,35.62,1.1,103.44,1145.13,79.37,,,,19.14,,,120.63,20.92,,,,
FBMS,2014-01-01,44.62,44.62,13.67,,,,,34.81,12.28,,,1093.77,,,,,,,997.55,66.42,27.98,1.82,96.22,1093.77,55.14,,,,18.11,,,99.76,60.1,,,,
FBMS,2013-01-01,39.25,39.25,27.12,,,,,32.07,10.62,,,940.89,,,,,,,855.78,63.85,22.51,1.25,85.11,940.89,23.06,,,,16.66,,,62.31,32.35,,,,
CFFN,2022-01-01,49.19,49.19,16.4,,,,,94.82,,,,9624.9,0.0,,,,,,8528.4,1161.87,80.27,145.63,1096.5,9624.9,2163.03,,,,7.9,,,2212.22,33.62,,,,
CFFN,2021-01-01,42.26,42.26,77.17,,,,,99.13,,,,9631.25,0.0,,,,,,8388.97,1159.63,98.94,16.31,1242.27,9631.25,1613.32,,,,8.95,,,1655.58,10.75,,,,
CFFN,2020-01-01,185.15,185.15,15.98,,,,,101.88,,,,9487.22,0.0,,,,,,8202.36,1158.2,143.16,16.51,1284.86,9487.22,1669.89,,,,9.08,,,1855.03,19.54,,,,
CFFN,2019-01-01,220.37,220.37,58.48,,,,,96.78,,,,9340.02,101.87,,,,,,8003.69,1176.95,174.28,14.9,1336.33,9340.02,2085.31,,,,9.45,,,2305.68,1.9,,,,
CFFN,2018-01-01,139.06,139.06,60.46,,,,,96.01,,,,9449.55,83.02,,,,,,8057.93,1172.71,214.57,4.34,1391.62,9449.55,2211.24,,,,10.06,,,2350.3,3.58,,,,
CFFN,2017-01-01,351.66,351.66,24.81,,,,,84.82,,,,9192.92,52.19,,,,,,7824.6,1130.76,234.64,2.92,1368.31,9192.92,2085.9,,,,9.9,,,2437.56,7.49,,,,
CFFN,2016-01-01,281.76,281.76,63.53,,,,,83.22,,,,9267.25,49.55,,,,,,7874.28,1118.58,268.47,5.92,1392.96,9267.25,2353.27,,,,10.14,,,2635.03,25.4,,,,
CFFN,2015-01-01,772.63,772.63,4.71,,,,,75.81,,,,9844.16,36.69,,,,,,8427.94,1111.11,296.74,8.37,1416.23,9844.16,2759.71,,,,10.23,,,3532.34,3.16,,,,
CFFN,2014-01-01,810.84,810.84,611.98,,,,,70.53,,,,9865.03,46.36,,,,,,8372.15,1139.19,346.71,6.99,1492.88,9865.03,2836.94,,,,10.51,,,3647.78,26.18,,,,
CFFN,2013-01-01,113.89,113.89,19.63,,,,,70.11,,,,9186.45,31.4,,,,,,7554.32,1192.66,432.2,7.27,1632.13,9186.45,2777.04,,19.17,,11.27,,,2890.93,2.03,,,,
TMP,2022-01-01,77.84,77.84,23.34,,,,,82.14,95.31,,,7670.69,,,,,,,7053.3,297.94,526.73,208.69,615.98,7669.27,269.74,,,,42.53,,,347.58,82.18,,,,
TMP,2021-01-01,63.11,63.11,83.75,,,,,85.42,96.09,,,7819.98,,,,,,,7091.04,308.22,475.26,55.95,727.53,7818.57,127.68,,,,49.63,,,190.79,44.55,,,,
TMP,2020-01-01,388.46,388.46,181.53,,,,,88.71,97.35,,,7622.17,,,,,,,6904.48,329.94,418.41,32.07,716.28,7620.76,44.4,,,,47.97,,,344.07,53.22,,,,
TMP,2019-01-01,137.98,137.98,71.64,,,,,94.36,98.67,,,6725.62,,,,,,,6062.57,334.73,370.48,43.56,661.64,6724.21,597.5,,,,44.29,,,735.48,37.39,,,,
TMP,2018-01-01,80.39,80.39,4.64,,,,,97.2,99.91,,,6758.44,,,,,,,6137.57,363.23,319.4,63.17,619.46,6757.02,1094.39,,,,40.55,,,1174.78,0.96,,,,
TMP,2017-01-01,84.3,84.3,31.82,,,,,87.0,101.55,,,6648.29,,,,,,,6072.09,361.07,265.01,51.3,574.78,6646.87,1079.31,,,,37.81,,,1163.61,17.35,,,,
TMP,2016-01-01,63.95,63.95,9.78,,,,,70.02,103.97,,,6236.76,,,,,,,5687.35,354.88,230.18,37.11,547.95,6235.3,927.6,,,,36.39,,,991.56,39.6,,,,
TMP,2015-01-01,58.26,58.26,3.9,,,,,60.33,104.24,,,5690.0,,,,,,,5173.53,348.57,197.45,31.0,515.01,5688.54,652.05,,,,34.56,,,710.31,31.32,,,,
TMP,2014-01-01,56.07,56.07,32.35,,,,,59.8,106.89,,,5269.56,,,,,,,4779.98,346.98,165.16,24.01,488.13,5268.11,484.85,,,,33.06,,,540.92,0.84,,,,
TMP,2013-01-01,82.88,82.88,30.31,,,,,55.93,108.44,,,5003.04,,,,,,,4545.1,344.5,137.1,25.12,456.49,5001.59,453.54,,,,31.03,,,536.42,45.18,,,,
BFC,2022-01-01,119.35,119.35,59.8,,,,,56.45,136.62,,,3660.43,,,,,,,3207.33,173.17,295.5,15.57,453.1,3660.43,3.27,,,,50.18,,,122.63,84.03,,,,
BFC,2021-01-01,296.86,296.86,74.4,,,,,49.46,64.41,,,2937.55,,,,,,,2614.9,60.94,258.1,3.61,322.65,2937.55,230.23,147.89,,,42.29,,,66.63,13.85,,,,
BFC,2020-01-01,170.22,170.22,96.89,,,,,43.18,64.64,,,2718.02,,,,,,,2423.16,67.71,221.39,5.76,294.86,2718.02,92.87,,,,38.14,,,77.35,32.32,,,,
BFC,2019-01-01,86.45,86.45,19.76,,,,,35.29,53.12,,,2210.17,,,,,,,1979.96,38.22,189.49,2.49,230.21,2210.17,27.83,,,,32.49,,,114.28,165.83,,,,
BFC,2018-01-01,107.74,107.74,5.65,,,,,24.49,20.32,,,1793.17,,,,,,,1618.84,6.33,168.36,0.37,174.32,1793.17,64.75,88.19,,,26.23,,,42.99,36.38,,,,
BFC,2017-01-01,101.98,101.98,219.37,,,,,18.58,20.66,,,1753.4,,,,,,,1591.68,14.87,145.88,0.98,161.73,1753.4,34.41,7.76,,,24.27,,,67.57,,,,,
BFC,2016-01-01,31.93,31.93,91.49,,,,,9.15,0.0,,,478.69,,,,,,,407.08,57.62,14.65,0.66,71.61,478.69,31.93,316.04,,,10.75,,,0.0,,,,,
BRKL,2022-01-01,382.96,382.96,16.85,,,,,90.88,162.21,,,9185.84,,,,,,,8193.71,642.05,412.02,61.95,992.13,9185.84,1069.18,,13.82,,12.87,,,1452.14,284.34,,,,
BRKL,2021-01-01,327.74,327.74,24.64,,,,,90.87,162.7,,,8602.62,,,,,,,7607.28,652.81,342.64,0.11,995.34,8602.62,50.09,,0.64,,12.77,,,377.83,55.25,,,,
BRKL,2020-01-01,434.92,434.92,459.09,,,,,95.71,163.58,,,8942.42,,,,,,,8000.65,660.4,264.89,16.49,941.78,8942.42,409.47,,5.18,,11.93,,,844.39,8.97,,,,
BRKL,2019-01-01,77.79,77.79,13.17,,,,,99.23,164.85,,,7856.85,,,,,,,6911.25,677.95,265.38,2.28,945.61,7856.85,849.84,,10.64,,11.87,,,927.63,0.77,,,,
BRKL,2018-01-01,89.58,89.58,46.85,,,,,76.38,166.51,,,7392.81,,,,,,,6482.19,696.76,212.84,9.46,900.14,7382.33,830.96,,10.4,,11.3,,,920.54,9.82,,,,
BRKL,2017-01-01,61.01,61.01,9.83,,,,,80.28,143.93,,,6780.25,,,,,,,5967.67,648.56,161.22,5.95,803.83,6771.5,959.81,,12.83,,10.8,,,1020.82,2.23,,,,
BRKL,2016-01-01,67.66,67.66,10.38,,,,,76.18,146.02,,,6438.13,,,,,,,5735.38,562.69,136.67,3.82,695.54,6430.92,976.43,,13.86,,9.9,,,1044.09,6.21,,,,
BRKL,2015-01-01,75.49,75.49,20.35,,,,,78.16,148.52,,,6042.34,,,,,,,5368.85,560.29,109.68,2.48,667.49,6036.34,907.54,,12.92,,9.52,,,983.03,12.73,,,,
BRKL,2014-01-01,62.72,62.72,32.2,,,,,80.62,151.43,,,5800.95,,,,,,,5154.34,558.58,84.86,1.62,641.82,5796.16,1063.68,,15.18,,9.18,,,1126.4,38.62,,,,
BRKL,2013-01-01,92.51,92.51,21.0,,,,,80.51,154.78,,,5325.11,,,,,,,4706.94,556.88,64.9,7.92,613.87,5320.8,720.05,,10.3,,8.79,,,812.56,4.85,,,,
BLX,2022-01-01,1241.59,1241.59,0.92,,,,,17.28,2.1,,,9283.91,,,,,,,8214.56,381.59,679.63,8.13,1069.35,9283.91,3655.51,,100.69,,29.45,,,4897.1,23.95,,,,
BLX,2021-01-01,1253.05,1253.05,45.06,,,,,17.78,1.6,,,8038.11,,,,,,,7046.32,379.43,623.9,11.55,991.79,8038.11,2697.87,,69.54,,25.56,,,3950.92,90.86,,,,
BLX,2020-01-01,863.81,863.81,26.68,,,,,16.21,1.98,,,6288.9,,,,,,,5250.98,437.61,600.11,0.21,1037.92,6288.9,1206.29,,30.42,,26.17,,,2070.1,37.17,,,,
BLX,2019-01-01,1178.17,1178.17,32.51,,,,,18.75,1.43,,,7249.67,,,,,,,6233.5,435.88,582.1,1.82,1016.17,7249.67,2116.35,,53.48,,25.68,,,3294.52,7.41,,,,
BLX,2018-01-01,1745.65,1745.65,159.75,,,,,6.69,1.63,,,7609.19,,,,,,,6615.6,434.1,559.07,0.42,993.59,7609.19,1812.56,,45.84,,25.13,,,3558.21,60.89,,,,
BLX,2017-01-01,672.05,672.05,37.16,,,,,7.42,5.43,,,6267.75,,,,,,,5224.94,431.88,608.97,1.96,1042.81,6267.75,1539.52,,39.14,,26.53,,,2211.57,32.29,,,,
BLX,2016-01-01,1069.54,1069.54,17.73,,,,,8.55,2.91,,,7180.78,,,,,,,6169.47,426.61,587.51,2.8,1011.31,7180.78,2196.69,,56.02,,25.88,,,3266.22,26.46,,,,
BLX,2015-01-01,1299.97,1299.97,66.55,,,,,6.17,0.43,,,8286.22,,,,,,,7314.29,421.97,560.64,10.68,971.93,8286.22,3141.39,,80.32,,24.97,,,4441.35,1.45,,,,
BLX,2014-01-01,780.52,780.52,7.05,,,,,6.96,1.02,,,8022.41,,,,,,,7111.37,417.21,501.67,7.84,911.04,8022.41,3726.22,,95.83,,23.55,,,4506.73,8.82,,,,
BLX,2013-01-01,839.72,839.72,18.77,,,,,8.43,1.89,,,7418.11,,,,,,,6559.11,413.81,454.9,9.7,859.0,7418.11,3301.62,,85.68,,22.37,,,4141.34,17.85,,,,
PFBC,2022-01-01,747.53,1175.82,20.69,23.59,,,1199.41,30.72,,,542.64,6425.36,2.61,,,2.61,166.34,2.61,5794.93,210.88,475.07,28.61,630.43,6425.36,1006.88,23.25,,1196.81,,511.93,,168.94,0.98,168.94,428.3,,
PFBC,2021-01-01,1030.61,1482.52,51.41,14.65,,,1497.17,32.5,,,557.39,6046.3,0.72,,,0.72,0.0,170.62,5459.59,210.88,372.95,4.93,586.72,6046.3,1311.9,52.35,88.25,1496.45,39.47,524.89,,170.62,44.57,170.62,451.91,,
PFBC,2020-01-01,739.47,979.15,32.45,23.69,,,1002.84,27.93,,,336.7,5143.64,1.25,,,1.25,116.77,1.25,4618.19,210.88,300.97,7.03,525.45,5143.64,861.13,38.99,57.85,1001.59,35.3,308.77,,118.02,1.41,118.02,239.68,,
PFBC,2019-01-01,498.65,739.29,4.25,18.33,,,757.61,29.34,,,330.43,4628.48,3.32,,,3.32,116.38,3.32,4158.47,210.88,255.05,3.97,470.02,4628.48,619.58,1.77,41.14,754.29,31.21,301.09,,119.71,19.24,119.71,240.64,,
PFBC,2018-01-01,526.76,709.17,11.68,14.27,,,723.44,7.5,,,241.77,4216.44,6.84,,,6.84,0.0,100.39,3799.78,210.88,194.86,1.98,416.65,4216.44,608.78,14.94,40.42,716.6,27.67,234.27,,100.39,4.72,100.39,182.41,,
PFBC,2017-01-01,446.82,635.03,25.46,14.0,,,649.03,5.68,,,237.38,3769.86,3.83,,,3.83,0.0,105.36,3414.83,207.95,139.68,1.17,355.03,3769.86,529.66,39.09,36.55,645.2,24.59,231.69,,105.36,15.95,105.36,188.2,,
PFBC,2016-01-01,306.33,506.16,8.69,9.55,,,515.71,5.31,,,239.15,3221.6,3.2,,,3.2,0.0,125.36,2923.53,169.86,108.26,0.87,298.07,3221.6,380.81,13.26,27.23,512.51,21.47,233.84,,125.36,370.64,125.36,199.83,,
PFBC,2015-01-01,296.18,465.68,27.33,8.43,,,474.1,5.6,,,196.99,2598.85,1.92,,,1.92,0.0,26.64,2334.7,166.56,81.05,0.98,264.15,2598.85,439.04,26.99,32.1,472.19,19.59,191.38,,26.64,33.17,26.64,169.5,,
PFBC,2014-01-01,215.19,365.73,0.96,6.5,,,372.23,4.13,,,180.49,2054.15,1.42,,,1.42,0.0,20.0,1819.13,164.02,58.55,1.94,235.03,2054.15,345.73,1.02,25.38,370.81,17.68,176.35,,20.0,,20.0,150.54,,
PFBC,2013-01-01,226.62,369.29,1.81,7.16,,,376.45,4.21,,,153.29,1768.96,0.98,,,0.98,0.0,20.0,1562.04,163.24,36.68,0.14,206.92,1768.96,349.29,3.71,26.14,375.46,15.77,149.08,,20.0,,20.0,142.67,,
BY,2022-01-01,179.35,179.35,13.56,0.0,,,,56.8,178.06,,,7362.94,,,,,,,6597.13,547.57,335.79,117.55,765.82,7362.94,572.08,,,,20.43,,,751.43,16.36,,,,
BY,2021-01-01,157.93,157.93,89.32,12.35,,,,74.19,189.3,,,6696.17,,,,,,,5859.79,573.01,271.68,8.3,836.38,6696.17,487.84,,,,22.18,,,645.78,14.77,,,,
BY,2020-01-01,83.42,83.42,3.32,141.0,,,,86.73,194.67,,,6390.65,,,,,,,5585.19,596.32,191.1,18.05,805.46,6390.65,674.27,,,,20.88,,,757.69,31.32,,,,
BY,2019-01-01,80.74,80.74,33.75,43.15,,,,96.14,199.73,,,5521.81,,,,,,,4771.69,591.78,159.03,0.7,750.12,5521.81,496.24,,,,19.65,,,576.97,16.34,,,,
BY,2018-01-01,121.86,121.86,108.85,5.34,,,,97.68,181.29,,,4942.57,,,,,,,4291.9,557.65,102.52,9.5,650.67,4942.57,374.07,,,,17.92,,,495.93,17.98,,,,
BY,2017-01-01,58.35,58.35,25.39,39.82,,,,95.22,92.72,,,3366.13,,,,,,,2907.55,402.32,61.35,5.09,458.58,3366.13,361.99,,,,15.64,,,420.34,11.04,,,,
BY,2016-01-01,46.53,46.53,3.67,0.0,,,,102.07,92.89,,,3295.83,,,,,,,2913.17,338.99,50.93,7.27,382.66,3295.83,332.01,,,,13.08,,,378.54,402.24,,,,
DCOM,2022-01-01,169.3,169.3,57.0,,,,,104.61,162.28,,,13189.92,,,,,,,12020.34,501.2,762.76,94.38,1169.58,13189.92,1223.69,,,,30.32,,,1392.98,380.24,,,,
DCOM,2021-01-01,393.72,393.72,61.62,,,,,115.18,164.16,,,12066.36,,,,,,,10873.74,544.08,654.73,6.18,1192.62,12066.36,103.66,,,,29.48,,,290.06,80.37,,,,
DCOM,2020-01-01,243.6,243.6,107.86,,,,,52.95,55.64,,,6781.61,,,,,,,6080.51,106.38,600.64,5.92,701.1,6781.61,1234.33,,,,35.48,,,1477.94,163.5,,,,
DCOM,2019-01-01,117.19,117.19,60.32,,,,,77.51,109.63,,,4921.52,,,,,,,4424.37,354.79,150.7,8.34,497.15,4921.52,443.7,,,,25.06,,,560.9,75.42,,,,
DCOM,2018-01-01,295.37,295.37,211.74,,,,,35.01,110.32,,,4700.74,,,,,,,4246.91,351.51,117.43,15.11,453.83,4700.74,24.39,,,,22.93,,,319.75,49.32,,,,
DCOM,2017-01-01,94.75,94.75,16.77,,,,,33.51,111.16,,,4430.0,,,,,,,4000.8,347.59,96.55,14.94,429.2,4430.0,536.15,,,,21.78,,,630.89,8.71,,,,
DCOM,2016-01-01,113.84,113.84,8.88,,,,,35.26,111.77,,,4054.57,,,,,,,3646.58,329.46,91.59,13.06,407.99,4054.57,577.27,,,,23.34,,,691.1,22.83,,,,
DCOM,2015-01-01,104.56,104.56,102.12,,,,,39.6,106.82,,,3781.96,,,,,,,3440.83,278.51,72.24,9.62,341.13,3781.96,458.08,,,,19.62,,,562.64,111.95,,,,
DCOM,2014-01-01,51.73,51.73,13.51,,,,,32.42,10.29,,,2288.52,,,,,,,2113.41,118.94,64.55,8.37,175.12,2288.52,213.73,,,,15.03,,,265.46,40.18,,,,
DCOM,2013-01-01,45.57,45.57,11.08,,,,,27.98,2.22,,,1896.75,,,,,,,1737.29,111.26,61.44,13.24,159.46,1896.75,143.8,,,,14.27,,,189.37,115.46,,,,
QCRH,2022-01-01,183.99,183.99,47.02,,,,,117.95,154.37,,,7948.84,,,,,,,7176.11,367.29,450.11,44.68,772.72,7948.84,641.9,,38.0,,46.32,,,825.89,383.53,,,,
QCRH,2021-01-01,125.15,125.15,20.29,,,,,78.53,83.42,,,6096.13,,,,,,,5419.12,285.01,386.08,5.93,677.01,6096.13,45.65,,2.86,,43.1,,,170.81,3.56,,,,
QCRH,2020-01-01,157.01,157.01,32.89,,,,,72.69,85.45,,,5705.04,,,,,,,5111.25,283.98,300.8,9.01,593.79,5705.04,20.11,,1.26,,37.65,,,177.11,36.51,,,,
QCRH,2019-01-01,233.95,233.95,4.56,,,,,73.86,89.72,,,4909.05,,,,,,,4373.7,286.7,245.84,2.82,535.35,4909.05,45.01,,2.82,,34.03,,,278.96,31.12,,,,
QCRH,2018-01-01,245.12,245.12,51.6,,,,,75.58,95.28,,,4949.71,,,,,,,4476.57,285.2,192.2,4.27,473.14,4949.71,159.85,,10.61,,32.04,,,404.97,30.85,,,,
QCRH,2017-01-01,161.68,161.68,3.13,,,,,62.84,37.41,,,3982.66,,,,,,,3629.38,202.19,151.96,0.87,353.29,3982.66,147.8,,10.8,,26.51,,,309.48,6.37,,,,
QCRH,2016-01-01,156.78,156.78,60.13,,,,,60.64,20.49,,,3301.94,,,,,,,3015.9,168.95,118.62,1.53,286.04,3301.94,134.18,,10.51,,22.75,,,290.95,34.49,,,,
QCRH,2015-01-01,97.91,97.91,18.65,,,,,37.35,4.69,,,2593.2,,,,,,,2367.31,134.24,92.97,1.32,225.89,2593.2,346.26,,32.98,,21.84,,,444.16,32.96,,,,
QCRH,2014-01-01,120.35,120.35,5.17,,,,,36.02,4.89,,,2524.96,,,,,,,2380.88,67.74,77.88,1.54,144.08,2524.96,542.21,,67.37,,18.18,,,662.56,17.6,,,,
QCRH,2013-01-01,114.43,114.43,3.57,,,,,36.76,5.09,,,2394.95,,,,,,,2247.38,96.58,64.64,13.64,147.58,2394.95,448.95,,79.5,,26.68,,,563.38,2.85,,,,
CTBI,2022-01-01,128.69,128.69,58.72,,,,,59.7,65.49,,,5380.32,,,,,,,4752.27,318.6,438.6,129.15,628.05,5380.32,163.07,,9.14,,35.21,,,291.76,14.89,,,,
CTBI,2021-01-01,311.76,311.76,7.83,,,,,52.63,65.49,,,5418.26,,,,,,,4720.06,316.3,386.75,4.85,698.2,5418.26,31.05,,1.74,,39.26,,,342.81,20.01,,,,
CTBI,2020-01-01,338.24,338.24,27.79,,,,,55.22,65.49,,,5139.14,,,,,,,4484.28,314.56,326.74,13.57,654.87,5139.14,90.34,,5.09,,36.9,,,428.57,39.03,,,,
CTBI,2019-01-01,264.68,264.68,87.12,,,,,58.6,65.49,,,4366.0,,,,,,,3751.12,313.87,296.76,4.25,614.89,4366.0,43.58,,2.46,,34.69,,,308.26,4.97,,,,
CTBI,2018-01-01,141.45,141.45,19.3,,,,,45.29,65.49,,,4201.62,,,,,,,3637.47,311.83,258.94,6.61,564.15,4201.62,152.22,,8.6,,31.9,,,293.67,5.67,,,,
CTBI,2017-01-01,175.27,175.27,21.12,,,,,46.32,65.49,,,4136.23,,,,,,,3605.53,309.94,224.27,3.51,530.7,4136.23,136.04,,7.71,,30.1,,,311.31,2.15,,,,
