symbol,date,cash_and_equivalents,cash_and_cash_equivalents,cash_growth,receivables,inventory,other_current_assets,total_current_assets,property_plant_and_equipment,goodwill_and_intangibles,other_long_term_assets,total_long_term_assets,total_assets,accounts_payable,deferred_revenue,other_current_liabilities,total_current_liabilities,other_long_term_liabilities,total_long_term_liabilities,total_liabilities,common_stock,retained_earnings,comprehensive_income,shareholders_equity,total_liabilities_and_equity,net_cash_or_debt,net_cash_or_debt_growth,net_cash_per_share,working_capital,book_value_per_share,long_term_investments,current_debt,total_debt,debt_growth,long_term_debt,short_term_investments,goodwill,intangible_assets
PNTM,2022-01-01,0.15,0.15,43.65,,,0.04,0.19,,,0.0,700.03,700.22,0.03,,0.73,1.47,31.68,31.68,33.15,0.0,32.86,,32.86,0.29,0.56,,0.01,1.28,0.38,700.03,0.71,0.71,19.64,,,,
PNTM,2021-01-01,0.27,0.27,,,,0.5,0.76,,,0.0,690.08,690.84,0.03,,0.81,1.43,57.18,57.18,58.61,0.0,57.77,,57.77,0.84,0.33,,0.0,0.66,0.69,690.08,0.59,0.59,226.44,,,,
GRNT,2022-01-01,50.83,50.83,328.83,72.29,,23.2,146.32,644.99,,3.47,648.46,794.78,,,64.13,64.13,108.24,108.24,172.37,590.02,32.39,,622.4,794.78,50.83,,0.38,82.19,4.68,,0.0,0.0,,0.0,,,
GRNT,2021-01-01,11.85,11.85,821.04,47.3,,38.93,98.08,448.77,,0.39,449.17,547.25,,,17.6,67.6,3.62,4.72,72.32,474.93,0.0,,474.93,547.25,39.25,,0.3,30.48,3.57,,50.0,51.1,698.44,1.1,,,
CCVI,2022-01-01,1.41,1.41,34.49,,,0.1,1.51,,,,558.88,560.4,,,1.37,1.37,21.26,21.26,22.64,0.0,19.34,,19.34,3.3,1.41,34.49,0.02,0.14,0.28,558.88,,,,,,,
ALCC,2022-01-01,3.58,3.58,7.2,,,0.42,4.0,,,0.0,506.14,510.14,,,1.48,1.48,17.91,17.91,19.4,0.0,13.8,,13.8,5.59,3.58,7.2,0.06,2.51,0.22,506.14,,,,,,,
GHIX,2022-01-01,0.38,0.38,156.91,,,0.94,1.32,,,,531.94,533.26,,,0.35,0.95,23.79,23.79,24.74,0.0,22.52,,22.52,2.23,0.22,,0.0,0.37,0.35,531.94,0.6,0.6,100.0,,,,
ZING,2022-01-01,0.56,0.56,83.96,,,0.01,0.57,,,6.86,420.43,421.0,0.26,6.86,6.31,0.81,24.01,24.01,24.82,0.0,16.66,,16.66,8.16,0.56,83.96,0.01,0.25,0.3,413.57,,,,,,,
BFAC,2022-01-01,0.3,0.3,67.69,,,0.39,0.69,,,0.0,356.98,357.67,0.63,,,0.63,2.22,2.22,2.85,0.0,2.16,,2.16,0.69,0.3,67.69,0.01,0.06,0.05,356.98,,,,,,,
CFIV,2022-01-01,0.37,0.37,1381.78,,,0.0,0.37,,,0.0,104.18,104.55,0.04,,2.42,5.47,2.35,2.35,7.81,0.0,6.42,,6.42,1.39,2.64,,,5.1,0.1,104.18,3.01,3.01,251.21,,,,
CFIV,2021-01-01,0.03,0.03,94.67,,,0.47,0.49,,,0.0,500.03,500.53,0.0,,1.16,2.02,15.36,15.36,17.38,0.28,17.13,,16.85,0.53,0.83,,,1.52,0.27,500.03,0.86,0.86,,,,,
DWAC,2022-01-01,0.0,0.0,99.7,,,0.17,0.17,,,0.0,300.33,300.5,,,18.97,22.47,10.06,10.06,32.54,0.0,30.99,,30.99,1.55,3.5,,0.09,22.3,0.83,300.33,3.5,3.5,,,,,
NSTC,2022-01-01,0.09,0.09,91.68,,,0.0,0.09,,,,402.42,402.5,,,0.65,0.65,14.66,14.66,15.31,0.0,14.44,,14.44,0.87,0.09,91.68,0.0,0.57,0.29,402.42,,,,,,,
CCV,2022-01-01,0.11,0.11,47.39,,,0.09,0.2,,,,505.01,505.21,,,1.93,1.93,19.58,20.58,22.51,0.0,20.98,,20.98,1.53,0.89,,0.01,1.73,0.34,505.01,,1.0,16.08,1.0,,,
CCV,2021-01-01,0.21,0.21,86.26,,,0.36,0.56,,,,500.03,500.59,,,0.33,0.33,40.79,41.65,41.98,0.0,41.39,,41.39,0.59,0.65,,0.01,0.23,0.66,500.03,,0.86,,0.86,,,
RMGC,2022-01-01,0.02,0.02,76.13,,,0.05,0.07,,,0.0,487.27,487.34,0.15,,1.02,1.17,17.69,18.19,19.36,0.0,19.19,,19.19,0.17,0.48,,0.01,1.1,0.32,487.27,,0.5,,0.5,,,
HCVI,2022-01-01,0.73,0.73,62.77,,,0.37,1.1,,,,344.46,345.56,0.0,,0.69,0.7,13.79,13.79,14.49,0.0,13.33,,13.33,1.16,0.73,62.77,0.02,0.4,0.29,344.46,,,,,,,
ICNC,2022-01-01,0.6,0.6,35.13,,,0.14,0.74,,,0.0,358.73,359.47,0.04,,1.11,1.9,14.93,14.93,16.83,0.0,15.99,,15.99,0.84,0.15,,0.0,1.16,0.37,358.73,0.75,0.75,,,,,
IVCB,2022-01-01,0.48,0.48,81.81,,,0.59,1.07,,,0.0,356.98,358.05,1.28,,0.0,1.28,13.63,13.63,14.91,0.0,13.84,,13.84,1.07,0.48,81.81,0.01,0.22,0.32,356.98,,,,,,,
CPAA,2022-01-01,2.11,2.11,36.59,,,0.21,2.33,,,,359.5,361.83,0.51,,0.54,1.05,13.51,13.51,14.56,0.0,11.44,,11.44,3.12,2.11,36.59,0.05,1.28,0.26,359.5,,,,,,,
PSPC,2022-01-01,0.87,349.7,14207.75,,,0.17,349.88,,,0.66,0.66,350.54,0.0,,11.02,11.02,0.95,0.95,11.97,0.0,9.98,,9.98,1.99,349.7,14207.75,7.91,338.86,0.23,0.0,,,,,348.83,,
CNDB,2022-01-01,0.52,0.52,57.09,,,0.33,0.85,,,0.0,356.19,357.04,0.09,,0.49,0.57,13.89,14.89,15.46,0.0,14.06,,14.06,1.4,0.48,,0.01,0.28,0.33,356.19,,1.0,81.79,1.0,,,
RONI,2022-01-01,1.63,1.63,36.67,0.01,,0.27,1.91,,,,349.94,351.85,0.03,,4.99,5.02,36.55,36.55,41.57,0.0,39.31,,39.31,2.26,1.63,36.67,0.04,3.11,0.91,349.94,,,,,,,
TRTL,2022-01-01,0.08,0.08,93.28,,,0.42,0.5,,,,349.99,350.49,0.03,,0.12,0.15,15.36,15.36,15.51,0.0,14.91,,14.91,0.6,0.08,93.28,0.0,0.35,0.35,349.99,,,,,,,
ZT,2022-01-01,0.9,0.9,45.09,,,0.24,1.14,,,0.0,349.55,350.68,0.21,,0.93,1.14,18.81,18.81,19.95,0.0,18.81,,18.81,1.14,0.9,45.09,0.02,0.0,0.44,349.55,,,,,,,
ACRO,2022-01-01,0.11,0.11,75.28,,,0.42,0.53,,,,348.01,348.54,0.79,,0.07,4.15,12.08,12.08,16.23,0.0,15.61,,15.61,0.62,3.19,,0.07,3.62,0.36,348.01,3.3,3.3,65.0,,,,
LITT,2022-01-01,0.47,0.47,50.89,,,0.2,0.67,,,0.0,344.83,345.5,0.2,,0.6,0.81,12.63,12.63,13.43,0.0,12.4,,12.4,1.03,0.47,50.89,0.01,0.13,0.36,344.83,,,,,,,
SUAC,2022-01-01,0.41,0.41,48.19,,,0.24,0.65,,,,309.74,310.4,0.58,,0.52,1.1,11.2,11.2,12.3,0.6,10.43,,11.03,1.27,0.41,48.19,0.01,0.44,0.26,309.74,,,,,,,
SLAM,2022-01-01,0.12,0.12,74.66,,,0.31,0.43,,,,583.46,583.89,0.03,,1.08,1.11,22.44,23.91,25.02,0.0,24.5,,24.5,0.53,1.35,,0.02,0.69,0.34,583.46,,1.47,268.5,1.47,,,
KVSA,2022-01-01,0.0,0.0,,,,0.11,0.11,,,0.0,350.07,350.19,1.22,,5.45,6.67,1.21,1.21,7.88,0.0,7.77,,7.77,0.11,0.0,,,6.56,0.19,350.07,,,,,,,
HCMA,2022-01-01,0.79,0.79,501433.54,,,0.19,0.98,,,0.0,297.62,298.6,,,1.28,1.28,15.67,15.67,16.96,0.0,15.98,,15.98,0.98,0.79,,0.02,0.3,0.43,297.62,0.0,0.0,,,,,
ENTF,2022-01-01,0.14,0.14,78.71,,,0.31,0.44,,,0.0,310.54,310.98,,,0.02,0.05,11.28,17.5,17.55,0.0,17.11,,17.11,0.44,6.11,,0.16,0.39,0.45,310.54,0.03,6.25,0.47,6.22,,,
HCNE,2022-01-01,0.09,0.09,67.39,,,0.39,0.48,,,0.0,320.78,321.27,0.6,,0.92,2.12,13.01,13.01,15.12,0.0,13.38,,13.38,1.75,0.51,,0.01,1.63,0.34,320.78,0.6,0.6,,,,,
RRAC,2022-01-01,0.11,0.11,93.46,,,0.48,0.59,,,0.0,310.49,311.08,0.41,,0.39,1.14,15.45,15.45,16.58,0.0,15.99,,15.99,0.59,0.23,,0.01,0.54,0.43,310.49,0.34,0.34,,,,,
PPYA,2022-01-01,0.32,0.32,1355.45,,,0.26,0.58,,,0.0,297.57,298.15,0.24,,15.35,15.59,0.56,0.56,16.15,0.0,11.25,,11.25,4.9,0.32,,0.01,15.01,0.31,297.57,0.0,0.0,,,,,
AHRN,2022-01-01,0.73,310.76,14312.75,,,0.22,310.97,,,0.0,0.0,310.97,0.21,,3.76,3.97,0.0,0.0,3.97,0.0,2.87,,2.87,1.1,310.76,14312.75,8.29,307.01,0.08,0.0,,,,,310.03,,
MBSC,2022-01-01,0.5,0.5,66.5,,,0.45,0.95,,,0.0,306.52,307.47,2.27,,0.0,2.27,15.94,15.94,18.22,0.0,16.94,,16.93,1.28,0.5,66.5,0.01,1.33,0.45,306.52,,,,,,,
JUN,2022-01-01,0.65,0.65,64.03,,,0.55,1.2,,,0.0,309.26,310.46,0.04,,1.34,1.38,15.37,15.37,16.75,0.0,14.5,,14.5,2.25,0.65,64.03,0.02,0.18,0.39,309.26,,,,,,,
GOGN,2022-01-01,0.02,0.02,96.04,,,0.29,0.31,,,0.0,285.65,285.96,4.19,,,4.49,4.83,4.83,9.32,0.0,4.88,,4.88,4.43,0.28,,0.01,4.18,0.14,285.65,0.3,0.3,,,,,
APTM,2022-01-01,0.73,0.73,65.78,,,0.19,0.92,,,0.0,286.58,287.5,0.05,,1.21,1.27,10.37,10.37,11.64,0.0,10.72,,10.72,0.92,0.73,65.78,0.02,0.35,0.3,286.58,,,,,,,
XPDB,2022-01-01,1.29,1.29,54.72,,,0.28,1.57,,,0.0,294.4,295.97,0.27,,1.54,1.8,10.06,10.06,11.86,0.0,9.19,,9.19,2.67,1.29,54.72,0.04,0.23,0.26,294.4,,,,,,,
LGVC,2022-01-01,0.27,0.27,69.59,2.97,,2.76,0.48,,,2.97,264.97,265.46,3.06,,2.17,0.89,12.89,12.89,13.78,0.0,10.23,,10.23,3.56,0.27,69.59,0.01,0.41,0.29,262.0,,,,,,,
GAMC,2022-01-01,0.35,0.35,4.87,,,0.07,0.42,,,,290.65,291.07,0.25,,0.25,0.59,10.21,10.21,10.8,0.0,10.09,,10.09,0.71,0.26,15.39,0.01,0.17,0.28,290.65,0.09,0.09,37.15,,,,
NETC,2022-01-01,0.47,0.47,81.3,,,0.38,0.84,,,,284.84,285.68,0.25,,0.09,0.33,11.13,11.13,11.46,0.0,10.26,,10.26,1.21,0.47,81.3,0.01,0.51,0.3,284.84,,,,,,,
FWAC,2022-01-01,0.44,0.44,40.02,,,0.28,0.73,,,,277.95,278.67,0.29,,1.54,1.83,3.61,3.61,5.44,0.0,4.61,,4.61,0.83,0.44,40.02,0.01,1.1,0.13,277.95,,,,,,,
ATEK,2022-01-01,0.42,0.42,72.56,0.0,,0.29,0.71,,,0.0,259.98,260.69,0.52,,0.99,1.51,8.96,8.96,10.46,0.0,8.77,,8.77,1.69,0.42,72.56,0.01,0.8,0.25,259.98,,,,,,,
NFNT,2022-01-01,0.07,0.07,86.59,,,0.5,0.57,,,0.0,285.58,286.15,0.14,,0.36,0.9,9.66,9.66,10.56,0.0,9.89,,9.89,0.67,0.33,,0.01,0.33,0.29,285.58,0.4,0.4,,,,,
KCGI,2022-01-01,1.24,1.24,38.66,,,0.14,1.38,,,,283.04,284.42,0.02,,0.66,0.68,15.74,15.89,16.56,0.0,15.08,,15.08,1.48,1.09,40.16,0.03,0.7,0.44,283.04,,0.15,25.0,0.15,,,
EVE,2022-01-01,0.11,0.11,85.22,,,0.36,0.47,,,0.0,258.68,259.15,0.04,,0.46,0.5,9.35,9.35,9.85,0.0,9.38,,9.38,0.47,0.11,85.22,0.0,0.03,0.27,258.68,,,,,,,
BMAC,2022-01-01,0.29,0.29,67.78,,,0.09,0.38,,,0.0,284.89,285.27,0.01,,0.8,0.81,9.65,9.65,10.46,0.0,9.67,,9.67,0.79,0.29,67.78,0.01,0.43,0.28,284.89,,,,,,,
CNDA,2022-01-01,1.08,1.08,38.67,,,0.29,1.37,,,0.0,283.48,284.85,0.12,,0.39,0.51,11.51,11.51,12.01,0.0,10.2,,10.19,1.82,1.08,38.67,0.03,0.87,0.29,283.48,,,,,,,
JUGG,2022-01-01,0.05,0.05,91.49,,,0.26,0.31,,,,280.09,280.4,0.0,,0.51,0.71,10.33,10.33,11.04,0.0,10.63,,10.63,0.41,0.15,,0.0,0.4,0.31,280.09,0.2,0.2,,,,,
BLEU,2022-01-01,0.06,0.06,60.97,,,0.28,0.35,,,,279.36,279.7,0.25,,0.01,0.26,9.66,9.96,10.22,0.0,9.77,,9.77,0.45,0.24,,0.01,0.09,0.28,279.36,,0.3,,0.3,,,
EMLD,2022-01-01,0.07,0.07,94.08,1.16,,0.97,0.26,,,1.16,255.41,255.66,0.13,1.16,0.8,0.49,9.86,9.86,10.35,0.0,8.5,,8.5,1.85,0.07,94.08,0.0,0.23,0.25,254.25,,,,,,,
PEGR,2022-01-01,0.52,0.52,65.49,,,0.23,0.74,,,0.0,267.48,268.22,0.1,,0.5,0.6,10.42,10.42,11.02,0.0,10.17,,10.17,0.84,0.52,65.49,0.02,0.14,0.31,267.48,,,,,,,
GFGD,2022-01-01,0.82,0.82,53.06,,,0.31,1.12,,,,256.92,258.04,0.45,,0.03,0.49,8.86,8.86,9.34,0.0,8.12,,8.12,1.22,0.82,53.06,0.03,0.64,0.25,256.92,,,,,,,
PFTA,2022-01-01,0.37,0.37,68.49,,,0.5,0.87,,,0.0,263.27,264.14,,,1.86,1.86,5.58,5.58,7.44,6.23,12.81,,6.58,0.87,0.37,68.49,0.01,0.99,0.25,263.27,,,,,,,
NPAB,2022-01-01,0.34,0.34,68.59,,,0.41,0.75,,,0.0,257.91,258.66,,,1.14,1.14,8.9,8.9,10.04,0.0,8.95,,8.95,1.09,0.34,68.59,0.01,0.39,0.29,257.91,,,,,,,
DNAB,2022-01-01,0.13,0.13,70.48,,,0.25,0.38,,,0.0,253.61,254.0,0.0,,,0.15,7.7,7.7,7.85,0.0,7.47,,7.47,0.38,0.02,,0.0,0.23,0.23,253.61,0.15,0.15,1405.98,,,,
DNAD,2022-01-01,0.13,0.13,71.74,,,0.25,0.38,,,0.0,253.61,254.0,0.0,,,0.15,7.7,7.7,7.85,0.0,7.47,,7.47,0.38,0.02,,0.0,0.23,0.23,253.61,0.15,0.15,1402.21,,,,
SLVR,2022-01-01,0.0,0.0,99.77,,,0.3,0.3,,,0.0,253.54,253.84,0.4,,0.68,1.11,10.95,10.95,12.06,0.0,11.76,,11.76,0.3,0.02,,0.0,0.81,0.38,253.54,0.02,0.02,,,,,
CPUH,2022-01-01,0.77,0.77,8.49,,,0.25,1.01,,,,94.33,95.34,0.4,,0.04,1.38,7.83,7.83,9.21,0.0,8.27,,8.27,0.94,0.17,,0.0,0.36,0.08,94.33,0.93,0.93,33.09,0.0,,,
HWEL,2022-01-01,0.14,0.14,81.61,,,0.33,0.47,,,0.0,253.67,254.14,0.01,,0.92,0.93,11.22,11.22,12.14,0.0,10.76,,10.76,1.38,0.14,81.61,0.0,0.46,0.34,253.67,,,,,,,
STET,2022-01-01,0.49,296.52,38167.37,,,0.54,297.06,,,0.0,0.0,297.06,11.28,,1.59,14.16,0.0,0.0,14.16,0.0,13.13,,13.13,1.03,295.22,37999.59,9.78,282.9,0.43,0.0,1.3,1.3,,,296.02,,
GPAC,2022-01-01,0.1,0.1,88.0,,,0.01,0.11,,,,304.68,304.78,0.08,,3.02,3.88,10.97,10.97,14.84,0.0,14.74,,14.73,0.11,0.68,,0.02,3.77,0.49,304.68,0.79,0.79,,,,,
