symbol,date,market_capitalization,market_cap_growth,enterprise_value,pe_ratio,ps_ratio,pb_ratio,p_over_fcf_ratio,p_over_ocf_ratio,ev_over_sales_ratio,ev_over_ebitda_ratio,ev_over_ebit_ratio,ev_over_fcf_ratio,current_ratio,asset_turnover,return_on_equity_roe,return_on_assets_roa,return_on_capital_roic,earnings_yield,fcf_yield,buyback_yield_or_dilution,total_shareholder_return,debt_or_equity_ratio,debt_or_ebitda_ratio,debt_or_fcf_ratio,dividend_yield,payout_ratio,revenue,revenue_growth_yoy,gross_profit,selling_general_and_admin,other_operating_expenses,operating_expenses,operating_income,pretax_income,income_tax,net_income,preferred_dividends,net_income_common,net_income_growth,shares_outstanding_basic,shares_outstanding_diluted,shares_change,eps_basic,eps_diluted,eps_growth,free_cash_flow_per_share,gross_margin,operating_margin,profit_margin,free_cash_flow_margin,effective_tax_rate,ebitda,ebitda_margin,depreciation_and_amortization,ebit,ebit_margin
OBNK,2021-01-01,1008.0,54.49,770.0,9.29,3.49,1.38,6.06,5.88,2.66,5.53,5.81,4.63,,0.04,15.6,1.4,1.8,10.76,16.51,0.04,1.19,0.64,3.35,2.81,1.14,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBNK,2020-01-01,653.0,26.53,1417.0,17.95,3.33,1.01,103.43,735.94,7.22,27.66,31.96,224.58,,0.03,5.8,0.5,0.6,5.57,0.97,0.11,1.26,1.76,22.29,180.92,1.36,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBNK,2019-01-01,889.0,10.38,1024.0,16.49,4.22,1.48,17.62,14.44,4.86,13.98,15.39,20.3,,0.04,9.2,1.0,1.2,6.06,5.68,0.59,1.25,0.71,5.83,8.46,0.66,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBNK,2018-01-01,805.0,,1143.0,16.55,4.16,1.46,11.11,10.34,5.9,16.74,18.31,15.78,,0.04,9.6,1.1,1.4,6.04,9.0,7.24,6.96,0.83,6.66,6.28,0.29,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBNK,2017-01-01,,,33.0,,,,,,0.22,1.26,1.62,0.52,,0.04,2.3,0.2,0.5,,,,,0.37,5.85,2.43,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBAI,2022-01-01,1141.0,18.76,1875.0,10.63,3.44,1.03,9.65,9.15,5.64,11.66,13.02,15.85,,0.03,9.8,1.0,1.4,9.41,10.36,28.07,24.83,0.87,6.03,8.2,3.24,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBAI,2021-01-01,961.0,49.94,1060.0,10.11,3.59,1.16,10.62,10.1,3.95,7.81,8.32,11.7,,0.03,11.9,1.2,1.6,9.89,9.42,0.27,2.52,0.4,2.41,3.61,2.79,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBAI,2020-01-01,641.0,26.97,702.0,11.14,3.09,0.84,8.27,7.54,3.38,8.53,9.39,9.06,,0.03,7.7,0.8,1.0,8.97,12.09,0.06,4.0,0.43,4.02,4.27,3.94,44.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBAI,2019-01-01,878.0,24.8,1228.0,12.42,3.98,1.21,10.57,10.07,5.56,12.36,13.07,14.79,,0.03,10.0,1.1,1.4,8.05,9.46,6.34,3.53,0.87,6.37,7.62,2.82,35.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBAI,2018-01-01,703.0,22.85,1015.0,11.09,3.67,1.13,9.43,8.85,5.3,11.74,12.64,13.6,,0.03,10.5,1.1,1.4,9.02,10.61,0.28,2.72,0.83,6.02,6.97,3.0,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBAI,2017-01-01,912.0,5.18,1190.0,17.34,4.94,1.56,14.0,13.51,6.45,13.97,14.87,18.28,,0.03,9.2,1.0,1.5,5.77,7.15,6.55,4.5,0.72,4.95,6.48,2.05,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBAI,2016-01-01,867.0,93.91,1113.0,20.87,5.33,1.58,18.79,17.31,6.84,16.48,17.71,24.13,,0.04,8.5,0.9,1.3,4.79,5.32,17.24,15.35,0.77,6.25,9.15,1.9,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBAI,2015-01-01,447.0,0.76,783.0,13.76,3.29,1.12,12.2,10.96,5.76,14.92,16.09,21.37,,0.04,8.2,0.9,1.2,7.27,8.19,0.01,2.81,1.13,8.66,12.41,2.8,38.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBAI,2014-01-01,444.0,0.07,687.0,14.25,3.54,1.17,10.25,9.72,5.48,13.68,14.84,15.88,,0.04,8.4,0.9,1.3,7.02,9.75,0.76,1.74,0.93,7.02,8.15,2.5,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBAI,2013-01-01,443.0,46.64,583.0,17.75,3.82,1.26,9.16,8.74,5.02,14.1,15.57,12.04,,0.04,7.5,0.8,1.2,5.63,10.92,20.68,18.38,0.69,5.86,5.0,2.3,38.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,2022-01-01,1171.0,14.25,1559.0,12.42,4.09,1.2,11.14,9.98,5.44,10.56,12.4,14.82,,0.04,10.5,1.2,1.6,8.05,8.98,28.98,28.98,0.56,3.67,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,2021-01-01,1025.0,53.18,647.0,16.9,4.87,1.15,12.08,10.5,3.07,6.81,7.97,7.62,,0.04,8.9,1.0,1.7,5.92,8.28,5.73,5.73,0.24,2.28,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,2020-01-01,669.0,3.26,80.0,11.13,3.68,1.24,9.83,8.48,0.44,0.87,0.99,1.17,,0.04,11.3,1.4,2.1,8.98,10.18,6.47,6.47,0.1,0.59,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,2019-01-01,692.0,48.8,577.0,12.66,4.11,1.34,12.87,11.9,3.43,7.36,8.12,10.74,,0.05,12.5,1.7,2.4,7.9,7.77,0.56,0.56,0.13,0.86,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,2018-01-01,465.0,13.36,293.0,11.33,3.22,1.2,9.95,9.12,2.02,4.82,5.37,6.26,,0.05,11.0,1.3,2.0,8.83,10.05,0.02,0.02,0.2,1.27,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,2017-01-01,537.0,31.63,460.0,16.18,4.09,1.47,13.87,13.18,3.51,8.14,9.3,11.88,,0.05,9.7,1.2,1.9,6.18,7.21,32.53,32.53,0.21,1.38,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,2016-01-01,408.0,222.26,316.0,22.86,4.38,1.48,19.64,16.43,3.4,9.59,11.36,15.23,,0.05,7.5,0.9,1.5,4.37,5.09,72.25,72.25,0.14,1.14,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,2015-01-01,126.0,23.29,83.0,11.28,2.21,1.16,8.88,8.4,1.44,3.97,4.72,5.8,,0.05,10.2,0.9,1.5,8.87,11.26,1.18,1.18,0.36,1.91,2.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,2014-01-01,103.0,46.53,67.0,10.57,1.92,0.92,19.41,9.29,1.26,3.66,4.63,12.75,,0.05,8.9,0.8,1.3,9.46,5.15,8.1,8.1,0.3,1.82,6.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,2013-01-01,70.0,,25.0,4.62,1.24,0.67,4.08,3.47,0.45,1.08,1.27,1.47,,0.06,15.6,1.5,2.0,21.66,24.52,15.88,15.88,0.49,2.21,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBCAA,2022-01-01,808.0,21.35,844.0,8.87,2.66,0.94,5.34,5.22,2.78,6.66,7.22,5.58,,0.05,10.8,1.5,2.1,11.27,18.72,2.28,5.61,0.41,2.76,2.31,3.33,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBCAA,2021-01-01,1027.0,36.17,626.0,11.73,3.49,1.23,10.8,10.25,2.13,5.05,5.62,6.58,,0.05,10.4,1.4,2.0,8.53,9.26,3.39,5.81,0.43,2.87,3.74,2.42,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBCAA,2020-01-01,754.0,23.06,800.0,9.06,2.62,0.92,10.37,10.0,2.78,6.89,7.8,11.0,,0.05,10.4,1.4,1.6,11.03,9.64,0.17,3.34,0.65,4.58,7.31,3.17,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBCAA,2019-01-01,980.0,21.13,1591.0,10.69,3.44,1.28,10.52,9.32,5.57,12.8,14.05,17.06,,0.05,12.4,1.6,1.8,9.35,9.51,0.22,2.04,1.3,8.01,10.68,2.26,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBCAA,2018-01-01,809.0,2.06,1492.0,10.4,3.14,1.17,7.35,6.79,5.78,14.21,15.83,13.55,,0.05,11.6,1.5,1.6,9.62,13.61,0.21,2.29,1.5,9.85,9.39,2.5,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBCAA,2017-01-01,793.0,3.85,1477.0,17.38,3.46,1.25,12.13,10.2,6.44,16.71,18.84,22.58,,0.05,7.3,0.9,1.4,5.75,8.25,0.01,2.29,1.55,11.12,15.03,2.29,39.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBCAA,2016-01-01,825.0,49.78,1553.0,17.97,4.14,1.37,20.3,17.3,7.8,19.9,22.52,38.21,,0.04,7.7,1.0,1.3,5.56,4.93,0.04,2.05,1.68,13.04,25.03,2.09,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBCAA,2015-01-01,551.0,7.03,1477.0,15.66,3.31,0.96,12.31,11.0,8.87,24.11,27.74,33.02,,0.04,6.1,0.9,1.1,6.39,8.12,0.18,2.78,1.97,18.55,25.4,2.96,45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBCAA,2014-01-01,515.0,0.84,1547.0,17.88,3.38,0.92,27.16,19.27,10.15,29.74,34.9,81.63,,0.04,5.2,0.8,1.0,5.59,3.68,0.11,2.87,1.98,21.24,58.32,2.98,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBCAA,2013-01-01,510.0,15.29,1151.0,20.07,3.26,0.94,29.61,22.93,7.36,23.99,28.43,66.79,,0.05,4.7,0.8,1.0,4.98,3.38,0.73,3.55,1.5,16.92,47.1,2.82,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABC,2022-01-01,1100.0,6.28,1185.0,13.44,4.34,1.97,10.76,9.99,4.68,10.84,11.94,11.59,,0.04,14.4,1.3,1.7,7.44,9.29,11.07,8.6,0.36,1.86,1.99,2.47,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABC,2021-01-01,1035.0,18.04,790.0,12.3,4.56,1.55,10.55,10.26,3.48,7.08,7.69,8.05,,0.04,13.0,1.6,2.0,8.13,9.48,0.2,1.95,0.23,1.36,1.55,2.15,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABC,2020-01-01,877.0,7.69,725.0,14.09,4.56,1.4,9.82,9.49,3.77,8.59,9.67,8.13,,0.04,10.3,1.3,1.6,7.1,10.18,0.64,2.93,0.31,2.3,2.18,2.3,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABC,2019-01-01,950.0,37.02,1195.0,16.04,5.12,1.66,16.48,14.56,6.45,14.97,16.78,20.75,,0.05,11.2,1.4,1.7,6.24,6.07,6.82,4.91,0.61,4.38,6.07,1.91,29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABC,2018-01-01,693.0,14.44,973.0,14.9,4.63,1.51,14.57,11.12,6.5,15.63,17.36,20.45,,0.04,11.9,1.4,1.5,6.71,6.86,8.85,6.69,0.82,6.05,7.91,2.16,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABC,2017-01-01,810.0,0.92,1015.0,19.92,6.23,2.22,18.54,14.76,7.81,17.84,19.44,23.23,,0.04,11.4,1.3,1.6,5.02,5.39,0.19,1.27,0.75,4.84,6.3,1.46,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABC,2016-01-01,803.0,81.47,996.0,22.82,6.39,2.43,21.88,19.15,7.92,18.64,20.27,27.15,,0.04,10.6,1.2,1.6,4.38,4.57,14.93,13.56,0.78,4.83,7.04,1.37,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABC,2015-01-01,442.0,9.71,664.0,14.71,4.3,1.75,14.92,14.15,6.44,14.45,15.93,22.38,,0.05,12.3,1.3,1.7,6.8,6.7,0.49,1.55,1.08,5.95,9.22,2.04,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABC,2014-01-01,403.0,7.71,567.0,14.23,4.11,1.76,12.06,11.06,5.78,12.53,14.03,16.95,,0.05,13.0,1.3,1.7,7.03,8.29,0.31,1.79,0.9,4.56,6.16,2.1,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABC,2013-01-01,374.0,36.45,455.0,14.73,4.08,1.87,9.82,8.98,4.96,11.01,12.34,11.94,,0.05,13.5,1.2,1.7,6.79,10.18,4.27,2.15,0.7,3.41,3.69,2.11,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCFC,2022-01-01,1257.0,4.73,2586.0,8.81,2.93,0.79,5.47,5.02,6.03,12.34,13.39,11.26,,0.03,9.3,1.1,1.5,11.35,18.27,1.29,4.76,0.94,7.14,6.52,3.47,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCFC,2021-01-01,1319.0,17.28,1482.0,12.44,3.57,0.87,11.19,8.25,4.02,9.44,10.42,12.57,,0.03,7.0,0.9,1.3,8.04,8.94,0.7,3.78,0.24,2.34,3.12,3.07,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCFC,2020-01-01,1125.0,12.55,234.0,18.38,3.44,0.76,9.54,8.48,0.71,2.44,2.89,1.98,,0.03,4.2,0.5,0.8,5.44,10.48,18.38,14.75,0.26,3.98,3.23,3.63,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCFC,2019-01-01,1286.0,18.05,1867.0,14.52,4.34,1.12,13.51,12.83,6.3,15.59,17.39,19.62,,0.04,7.8,1.1,1.3,6.89,7.4,6.48,3.8,0.61,5.86,7.37,2.68,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCFC,2018-01-01,1089.0,27.38,1593.0,15.15,4.01,1.05,13.44,11.77,5.86,16.26,18.64,19.66,,0.04,7.0,0.9,1.1,6.6,7.44,43.87,41.16,0.6,6.37,7.71,2.71,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCFC,2017-01-01,855.0,10.18,1182.0,20.14,4.46,1.42,27.21,10.67,6.16,16.04,18.09,37.59,,0.04,7.2,0.8,1.2,4.97,3.68,40.8,38.48,0.72,5.92,13.87,2.32,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCFC,2016-01-01,776.0,124.29,866.0,33.69,5.62,1.36,29.02,23.23,6.27,21.32,24.6,32.37,,0.04,5.6,0.6,0.9,2.97,3.45,39.94,38.31,0.68,9.63,14.62,1.64,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCFC,2015-01-01,346.0,18.71,732.0,17.03,3.76,1.45,14.16,12.22,7.96,21.18,23.46,29.95,,0.04,8.9,0.8,1.1,5.87,7.06,0.08,2.44,1.8,12.44,17.59,2.53,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCFC,2014-01-01,292.0,2.1,662.0,14.64,3.3,1.34,12.35,10.57,7.5,19.8,21.69,28.05,,0.04,9.2,0.9,1.2,6.83,8.1,2.1,4.92,1.86,12.16,17.23,2.82,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCFC,2013-01-01,298.0,20.3,541.0,18.24,3.54,1.39,9.55,8.4,6.43,19.48,21.7,17.36,,0.04,7.6,0.7,1.0,5.48,10.47,3.77,6.53,1.29,9.98,8.89,2.77,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBMS,2022-01-01,769.0,5.25,909.0,12.22,3.68,1.19,10.23,8.54,4.34,10.0,11.55,12.08,,0.03,10.4,1.0,1.3,8.18,9.78,14.31,12.0,0.44,3.14,3.79,2.31,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBMS,2021-01-01,812.0,22.81,43.0,12.65,4.15,1.2,9.16,8.48,0.22,0.45,0.53,0.49,,0.04,9.7,1.1,1.7,7.9,10.91,1.8,3.31,0.22,1.59,1.7,1.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBMS,2020-01-01,661.0,1.06,366.0,12.59,3.9,1.02,13.71,12.91,2.16,4.85,5.8,7.59,,0.04,8.5,1.1,1.4,7.94,7.29,13.81,12.45,0.41,3.55,5.55,1.36,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBMS,2019-01-01,668.0,68.92,801.0,15.27,4.61,1.23,18.15,14.95,5.52,12.97,14.19,21.75,,0.04,9.0,1.2,1.6,6.55,5.51,43.86,42.98,0.55,4.88,8.19,0.87,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBMS,2018-01-01,396.0,25.98,402.0,18.63,3.83,1.09,14.41,12.56,3.89,12.85,14.89,14.66,,0.04,7.1,0.8,1.1,5.37,6.94,42.43,41.76,0.46,5.3,6.05,0.66,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBMS,2017-01-01,314.0,109.3,336.0,29.57,4.3,1.41,18.55,14.54,4.61,16.43,19.15,19.88,,0.04,6.0,0.6,1.0,3.38,5.39,68.3,67.86,0.51,5.59,6.76,0.44,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBMS,2016-01-01,150.0,51.37,167.0,15.52,2.95,0.97,28.25,18.71,3.28,10.23,11.9,31.49,,0.04,8.0,0.8,1.1,6.44,3.54,0.95,0.4,0.51,4.85,14.94,0.55,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBMS,2015-01-01,99.0,28.57,178.0,11.72,2.24,0.96,13.64,13.13,4.04,12.47,14.86,24.56,,0.04,8.4,0.7,1.1,8.53,7.33,1.72,0.9,1.17,8.43,16.6,0.82,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBMS,2014-01-01,77.0,7.64,132.0,12.33,1.94,0.8,12.54,10.92,3.32,11.77,14.61,21.52,,0.04,6.8,0.6,0.9,8.11,7.97,4.01,2.98,1.04,8.88,16.23,1.03,11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBMS,2013-01-01,72.0,144.5,95.0,16.99,2.08,0.84,4.15,3.98,2.75,11.6,15.16,5.49,,0.04,5.0,0.5,0.7,5.89,24.09,64.28,63.21,0.73,7.64,3.61,1.07,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFFN,2022-01-01,1153.0,27.75,3316.0,13.65,5.24,1.05,12.56,11.84,15.07,28.11,30.93,36.14,,0.02,7.3,0.9,0.9,7.33,7.96,0.02,9.14,2.02,18.76,24.11,9.16,122.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFFN,2021-01-01,1595.0,21.66,3209.0,20.97,7.54,1.28,24.52,21.42,15.16,29.99,33.41,49.32,,0.02,6.0,0.8,0.9,4.77,4.08,1.9,9.47,1.33,15.48,25.45,7.57,155.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFFN,2020-01-01,1311.0,32.73,2981.0,20.32,7.03,1.02,16.77,14.11,15.97,32.5,36.97,38.13,,0.02,5.0,0.7,0.7,4.92,5.96,0.06,7.28,1.44,20.22,23.73,7.34,144.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFFN,2019-01-01,1949.0,10.64,4034.0,20.68,8.56,1.46,28.16,24.08,17.73,30.54,33.44,58.29,,0.02,7.0,1.0,1.0,4.84,3.55,2.29,4.82,1.73,17.45,33.31,7.11,144.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFFN,2018-01-01,1761.0,13.3,3973.0,17.81,7.98,1.27,15.67,14.19,17.99,29.96,32.06,35.34,,0.02,7.3,1.1,1.1,5.62,6.38,0.04,6.87,1.69,17.72,20.91,6.91,120.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFFN,2017-01-01,2032.0,5.14,4118.0,24.15,9.34,1.49,26.62,23.78,18.92,30.34,32.19,53.95,,0.02,6.1,0.9,1.1,4.14,3.76,0.63,5.35,1.78,17.96,31.94,5.99,139.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFFN,2016-01-01,1932.0,15.28,4286.0,23.15,8.94,1.39,27.57,22.75,19.82,33.2,35.15,61.14,,0.02,6.0,0.9,1.0,4.32,3.63,0.78,6.75,1.89,20.41,37.59,5.97,133.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFFN,2015-01-01,1676.0,0.15,4436.0,21.47,7.98,1.18,22.47,19.35,21.11,36.18,38.32,59.47,,0.02,5.4,0.8,0.9,4.66,4.45,2.55,9.48,2.49,28.81,47.36,6.94,144.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFFN,2014-01-01,1679.0,8.64,4516.0,21.61,8.16,1.13,19.85,18.29,21.95,37.18,39.22,53.4,,0.02,5.1,0.8,1.0,4.63,5.04,1.94,10.23,2.44,30.03,43.14,8.29,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFFN,2013-01-01,1838.0,2.5,4615.0,26.5,9.07,1.13,22.15,18.07,22.79,41.57,43.71,55.63,,0.02,4.2,0.7,0.9,3.77,4.51,8.28,16.16,1.77,26.04,34.85,7.88,208.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMP,2022-01-01,1124.0,8.29,1393.0,13.22,3.68,1.82,11.78,10.87,4.56,11.5,12.71,14.61,,0.04,13.8,1.1,1.4,7.57,8.49,1.2,4.17,0.56,2.87,3.64,2.98,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMP,2021-01-01,1225.0,16.23,1353.0,13.73,4.02,1.68,10.51,10.11,4.44,10.74,11.82,11.61,,0.04,12.4,1.1,1.5,7.29,9.51,1.82,4.44,0.26,1.51,1.64,2.62,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMP,2020-01-01,1054.0,22.89,1010.0,13.59,3.74,1.47,10.88,10.4,3.58,9.25,10.36,10.42,,0.04,11.1,1.0,1.3,7.36,9.19,0.06,3.04,0.48,3.15,3.55,2.97,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMP,2019-01-01,1367.0,19.29,1965.0,16.73,4.8,2.07,14.23,13.45,6.9,17.16,19.12,20.45,,0.04,12.5,1.2,1.4,5.98,7.03,2.21,4.42,1.11,6.43,7.66,2.21,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMP,2018-01-01,1146.0,7.34,2240.0,13.92,4.02,1.85,12.39,10.68,7.85,19.41,21.52,24.22,,0.04,13.8,1.2,1.4,7.18,8.07,0.49,2.1,1.9,10.18,12.7,2.59,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMP,2017-01-01,1237.0,13.11,2316.0,23.56,4.64,2.15,24.28,14.37,8.7,21.99,24.35,45.47,,0.04,9.1,0.8,1.3,4.24,4.12,0.98,1.26,2.02,11.05,22.85,2.24,52.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMP,2016-01-01,1423.0,70.09,2351.0,23.99,5.81,2.6,19.06,15.67,9.59,24.67,27.22,31.48,,0.04,10.8,1.0,1.3,4.17,5.25,1.04,0.83,1.81,10.4,13.28,1.87,44.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMP,2015-01-01,837.0,2.51,1489.0,14.33,3.53,1.63,10.93,10.11,6.27,15.53,17.04,19.45,,0.04,11.5,1.1,1.5,6.98,9.15,0.94,2.09,1.38,7.41,9.28,3.03,43.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMP,2014-01-01,816.0,8.0,1301.0,15.69,3.52,1.67,11.87,10.52,5.6,15.26,16.8,18.93,,0.05,10.7,1.0,1.4,6.37,8.42,0.37,2.56,1.11,6.35,7.87,2.93,46.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMP,2013-01-01,756.0,32.76,1209.0,14.86,3.36,1.66,9.78,9.03,5.38,15.21,16.88,15.65,,0.05,11.5,1.0,1.4,6.73,10.23,2.41,0.59,1.18,6.74,6.94,3.0,44.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,2022-01-01,838.0,52.07,841.0,18.54,6.89,1.85,25.29,20.95,6.91,13.23,14.11,25.39,,0.04,11.9,1.4,1.9,5.4,3.95,18.35,17.34,0.27,1.93,3.7,1.01,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,2021-01-01,551.0,9.99,321.0,12.13,4.99,1.71,17.16,13.68,2.9,5.08,5.35,9.99,,0.04,14.5,1.6,2.3,8.25,5.83,1.31,2.89,0.21,1.06,2.07,1.58,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,2020-01-01,501.0,1.02,408.0,13.17,5.08,1.7,13.97,11.4,4.14,7.69,8.18,11.38,,0.04,13.9,1.5,2.0,7.59,7.16,9.11,7.86,0.26,1.46,2.16,1.25,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,2019-01-01,496.0,60.18,524.0,18.58,6.44,2.15,32.25,21.9,6.8,14.3,15.28,34.06,,0.04,13.0,1.3,1.8,5.38,3.1,6.62,5.48,0.5,3.12,7.43,1.14,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,2018-01-01,310.0,,245.0,12.16,4.32,1.78,19.89,13.43,3.42,7.22,7.64,15.73,,0.04,15.2,1.4,1.9,8.22,5.03,0.26,0.69,0.25,1.27,2.76,0.43,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,2017-01-01,,,34.0,,,,,,0.63,1.35,1.43,2.22,,0.05,13.1,1.4,2.3,,,,,0.42,2.66,4.36,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFC,2016-01-01,,,32.0,,,,,,0.67,1.36,1.41,2.44,,0.09,19.8,2.9,4.6,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKL,2022-01-01,1087.0,13.5,2157.0,9.91,3.4,1.1,9.59,9.0,6.75,14.77,15.41,19.02,,0.04,11.2,1.3,1.5,10.09,10.43,1.14,5.8,1.46,9.95,12.81,4.66,46.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKL,2021-01-01,1257.0,32.05,1307.0,10.89,3.96,1.26,9.79,9.44,4.12,8.15,8.46,10.18,,0.04,11.9,1.4,1.8,9.18,10.22,1.09,4.07,0.38,2.36,2.94,2.99,32.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKL,2020-01-01,952.0,27.5,1361.0,19.98,4.27,1.01,8.69,8.46,6.11,20.15,21.93,12.42,,0.03,5.1,0.5,0.7,5.0,11.51,0.94,4.77,0.9,12.5,7.71,3.82,76.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
