symbol,date,market_capitalization,market_cap_growth,enterprise_value,pe_ratio,ps_ratio,pb_ratio,p_over_fcf_ratio,p_over_ocf_ratio,ev_over_sales_ratio,ev_over_ebitda_ratio,ev_over_ebit_ratio,ev_over_fcf_ratio,current_ratio,asset_turnover,return_on_equity_roe,return_on_assets_roa,return_on_capital_roic,earnings_yield,fcf_yield,buyback_yield_or_dilution,total_shareholder_return,debt_or_equity_ratio,debt_or_ebitda_ratio,debt_or_fcf_ratio,dividend_yield,payout_ratio,revenue,revenue_growth_yoy,gross_profit,selling_general_and_admin,other_operating_expenses,operating_expenses,operating_income,pretax_income,income_tax,net_income,preferred_dividends,net_income_common,net_income_growth,shares_outstanding_basic,shares_outstanding_diluted,shares_change,eps_basic,eps_diluted,eps_growth,free_cash_flow_per_share,gross_margin,operating_margin,profit_margin,free_cash_flow_margin,effective_tax_rate,ebitda,ebitda_margin,depreciation_and_amortization,ebit,ebit_margin
GRNT,2021-01-01,423.0,4.76,462.0,3.9,1.46,0.89,48.86,2.34,1.59,2.25,4.17,53.39,1.45,0.65,91.1,24.2,25.2,25.63,2.05,,,0.11,0.25,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCVI,2022-01-01,690.0,2.2,688.0,23.62,,35.66,771.07,771.07,,22.33,22.33,769.49,1.1,,116.5,5.3,5.6,4.23,0.13,12.19,12.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCC,2022-01-01,634.0,0.71,631.0,161.6,,45.96,664.49,664.49,,116.81,116.81,660.74,2.7,,28.9,0.8,1.1,0.62,0.15,54.98,54.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHIX,2022-01-01,648.0,,648.0,40.35,,28.77,257.7,257.7,,38.84,38.84,257.78,1.39,,57.6,3.0,3.2,2.48,0.39,901.77,901.77,0.03,0.04,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZING,2022-01-01,564.0,34.25,564.0,409.39,,33.87,149.41,149.41,,219.46,219.46,149.26,0.7,,8.8,0.3,0.6,0.24,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFAC,2022-01-01,443.0,41.73,443.0,20.84,,205.4,706.81,706.81,,20.83,20.83,706.33,1.1,,441.6,6.0,6.0,4.8,0.14,317.97,317.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFIV,2022-01-01,649.0,4.29,652.0,58.62,,101.08,47418.53,47418.53,,54.32,54.32,47611.3,0.07,,167.3,2.8,3.0,1.71,0.0,1.54,1.54,0.47,0.25,219.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFIV,2021-01-01,622.0,18.81,623.0,73.6,,36.94,,,,73.7,73.7,,0.25,,133.3,1.7,1.7,1.36,,435.52,435.52,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DWAC,2022-01-01,558.0,70.83,562.0,36.67,,18.01,405.01,405.01,,39.44,39.44,407.55,0.01,,73.3,5.1,5.0,2.73,0.25,124.3,124.3,0.11,0.25,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSTC,2022-01-01,492.0,1.08,492.0,29.37,,34.08,531.61,531.61,,28.63,28.63,531.51,0.13,,83.2,4.2,4.3,3.41,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCV,2022-01-01,621.0,1.02,622.0,25.79,,29.61,423.34,423.34,,24.38,24.38,423.95,0.11,,94.5,4.8,5.2,3.88,0.24,342.58,342.58,0.05,0.04,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCV,2021-01-01,615.0,17.14,616.0,287.92,,14.86,251.2,251.2,,281.22,281.22,251.46,1.69,,10.6,0.4,0.4,0.35,0.4,,,0.02,0.39,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMGC,2022-01-01,609.0,3.22,609.0,38.35,,31.73,990.73,990.73,,38.36,38.36,991.51,0.06,,76.2,3.3,3.3,2.61,0.1,9.68,9.68,0.03,0.03,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCVI,2022-01-01,449.0,8.39,448.0,29.32,,33.67,185.02,185.02,,27.61,27.61,184.71,1.57,,100.0,4.4,4.7,3.41,0.54,139.82,139.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICNC,2022-01-01,446.0,4.13,446.0,24.09,,27.89,414.97,414.97,,24.09,24.09,415.11,0.39,,111.4,5.2,5.2,4.15,0.24,122.38,122.38,0.05,0.04,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVCB,2022-01-01,444.0,40.94,444.0,16.47,,32.09,206.22,206.22,,16.45,16.45,206.0,0.83,,173.5,7.6,7.6,6.07,0.48,325.37,325.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAA,2022-01-01,442.0,1.5,439.0,56.12,,38.62,444.04,444.04,,49.8,49.8,441.91,2.22,,61.8,2.2,2.5,1.78,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSPC,2022-01-01,439.0,1.33,89.0,36.92,,43.99,294.8,294.8,,7.23,7.23,59.99,31.76,,98.0,3.4,3.7,2.71,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNDB,2022-01-01,439.0,2.93,440.0,18.12,,31.25,289.86,289.86,,17.42,17.42,290.17,1.48,,126.1,6.8,7.1,5.52,0.34,,,0.07,0.04,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RONI,2022-01-01,439.0,1.7,437.0,107.9,,11.16,511.48,511.48,,107.49,107.49,509.58,0.38,,17.0,1.2,1.2,0.93,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRTL,2022-01-01,429.0,2.68,429.0,30.18,,28.78,391.51,391.51,,30.17,30.17,391.44,3.32,,89.2,4.1,4.1,3.31,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZT,2022-01-01,429.0,2.68,428.0,15.64,,22.81,160.51,160.51,,15.1,15.1,160.17,1.0,,152.1,7.9,8.2,6.39,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRO,2022-01-01,429.0,2.37,432.0,2092.44,,27.49,163.96,163.96,,437.1,437.1,165.18,0.13,,1.4,0.1,0.3,0.05,0.61,,,0.21,3.34,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITT,2022-01-01,424.0,2.8,424.0,25.56,,34.2,123.78,123.78,,24.11,24.11,123.64,0.83,,117.0,4.8,5.1,3.91,0.81,58.5,58.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUAC,2022-01-01,426.0,0.99,426.0,175.6,,38.66,406.09,406.09,,129.6,129.6,405.7,0.6,,22.5,0.8,1.1,0.57,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLAM,2022-01-01,727.0,4.01,728.0,38.89,,29.66,509.62,509.62,,38.96,38.96,510.57,0.38,,71.7,3.2,3.2,2.57,0.2,13.71,13.71,0.06,0.08,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KVSA,2022-01-01,454.0,2.89,454.0,242.31,,58.45,122.81,122.81,,153.55,153.55,122.81,0.02,,16.3,0.5,0.9,0.41,0.81,14.92,14.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCMA,2022-01-01,398.0,,397.0,26.94,,24.93,447.34,447.34,,26.88,26.88,446.45,0.76,,86.4,5.0,5.0,3.71,0.22,327.86,327.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENTF,2022-01-01,393.0,3.84,399.0,105.07,,22.96,739.81,739.81,,106.71,106.71,751.33,9.02,,22.2,1.2,1.2,0.95,0.14,,,0.37,1.67,11.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCNE,2022-01-01,394.0,1.73,395.0,32.36,,29.46,500.05,500.05,,30.24,30.24,500.7,0.23,,78.4,3.8,4.1,3.09,0.2,,,0.04,0.05,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRAC,2022-01-01,386.0,26.0,386.0,23.71,,24.13,248.25,248.25,,23.72,23.72,248.39,0.52,,87.1,5.3,5.3,4.22,0.4,,,0.02,0.02,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PPYA,2022-01-01,385.0,,384.0,248.02,,34.18,186.91,186.91,,175.48,175.48,186.76,0.04,,12.3,0.5,0.8,0.4,0.54,380.27,380.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHRN,2022-01-01,384.0,22.57,73.0,27.9,,133.76,242.12,242.12,,5.31,5.31,46.08,78.35,,114.0,4.5,4.6,3.58,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBSC,2022-01-01,380.0,2.74,380.0,437.79,,22.45,225.73,225.73,,11828.82,11828.82,225.44,0.42,,5.9,0.3,,0.23,0.44,432.2,432.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUN,2022-01-01,380.0,34.48,379.0,18.0,,26.22,395.31,395.31,,17.24,17.24,394.64,0.87,,132.0,6.9,7.2,5.56,0.25,248.92,248.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOGN,2022-01-01,372.0,4.74,372.0,292.64,,76.17,492.03,492.03,,292.86,292.86,492.4,0.07,,16.8,0.4,0.4,0.34,0.2,,,0.06,0.24,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APTM,2022-01-01,363.0,3.4,362.0,40.07,,33.86,259.68,259.68,,39.99,39.99,259.16,0.73,,82.8,3.2,3.2,2.5,0.39,78.46,78.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPDB,2022-01-01,362.0,13.76,361.0,177.23,,39.38,209.89,209.89,,126.78,126.78,209.15,0.87,,23.0,0.7,1.0,0.56,0.48,341.95,341.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGVC,2022-01-01,357.0,2.09,357.0,158.67,,34.91,581.94,581.94,,158.56,158.56,581.5,0.54,,23.6,0.9,0.9,0.63,0.17,160.68,160.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMC,2022-01-01,360.0,3.46,360.0,36.55,,35.69,218.46,218.46,,33.91,33.91,218.3,0.72,,87.3,3.4,3.7,2.74,0.46,22.32,22.32,0.01,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NETC,2022-01-01,354.0,39.63,354.0,273.06,,34.54,126.88,126.88,,167.69,167.69,126.71,2.53,,14.5,0.5,0.7,0.37,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FWAC,2022-01-01,354.0,1.01,354.0,1290.18,,76.82,1572.17,1572.17,,1288.57,1288.57,1570.21,0.4,,3.6,0.1,0.1,0.08,0.06,33.79,33.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATEK,2022-01-01,354.0,2.39,354.0,243.64,,40.39,319.81,319.81,,161.71,161.71,319.43,0.47,,17.7,0.6,0.9,0.41,0.31,222.32,222.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NFNT,2022-01-01,354.0,40.47,354.0,145.71,,35.74,522.41,522.41,,145.84,145.84,522.9,0.63,,25.8,0.9,0.9,0.69,0.19,,,0.04,0.16,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCGI,2022-01-01,352.0,3.71,351.0,12.04,,23.32,451.71,451.71,,12.01,12.01,450.31,2.04,,170.2,10.4,10.5,8.3,0.22,78.07,78.07,0.01,0.01,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVE,2022-01-01,355.0,28.21,355.0,135.21,,37.86,555.34,555.34,,135.17,135.17,555.17,0.94,,29.1,1.0,1.0,0.74,0.18,329.19,329.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMAC,2022-01-01,352.0,15.85,352.0,159.99,,36.39,258.22,258.22,,117.74,117.74,258.01,0.47,,23.4,0.8,1.1,0.63,0.39,49.26,49.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
