Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-07-29
Cash & Equivalents,0.15,0.27,0,0.15,0.42,0,0
Short-Term Investments,237.99,235.94,0,0,0,-,-
Cash & Cash Equivalents,238.15,236.22,0,0.15,0.42,0,0
Cash Growth,57087.25%,-,-,-,-,-,-
Other Current Assets,0.55,0.7,0.63,0.66,0.61,-,-
Total Current Assets,238.7,236.92,0.63,0.8,1.03,-,-
Long-Term Investments,0,0,234.85,234.55,234.61,-,-
Other Long-Term Assets,0,0,0.24,0.39,0.53,-,-
Total Long-Term Assets,0,0,235.09,234.94,235.14,-,-
Total Assets,238.7,236.92,235.72,235.74,236.17,0.45,0.14
Accounts Payable,0.12,0.09,0.06,0.03,0,0,0
Current Debt,0.58,0.58,0.27,0.27,0.27,0.12,0
Other Current Liabilities,8.14,8.06,0,0.07,0.09,0.32,0.13
Total Current Liabilities,8.84,8.73,0.34,0.37,0.37,0.44,0.13
Other Long-Term Liabilities,0,0,8.05,8.05,8.05,0,0
Total Long-Term Liabilities,0,0,8.05,8.05,8.05,0,0
Total Liabilities,8.84,8.73,8.39,8.42,8.42,0.44,0.13
Total Debt,0.58,0.58,0.27,0.27,0.27,0.12,0
Debt Growth,110.85%,375.62%,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-8.14,-7.79,-7.51,-7.23,-6.85,-0.02,-0.02
Shareholders' Equity,-8.14,-7.79,-7.51,-7.23,-6.85,0.01,0.01
Total Liabilities and Equity,0.7,0.93,0.88,1.19,1.56,0.45,0.14
Net Cash / Debt,237.57,235.64,-0.27,-0.13,0.14,-0.12,0
Net Cash / Debt Growth,166838.99%,-,-,-,-,-,-
Net Cash Per Share,8.26,8.20,-0.01,-0.00,0.02,-0.02,-
Working Capital,229.86,228.19,0.29,0.43,0.66,-,-
Book Value Per Share,-0.28,-0.27,-0.26,-0.25,-0.77,0.00,0.00
