Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.01,0.26,0.41,0.63,0.85,0,0
Cash & Cash Equivalents,0.01,0.26,0.41,0.63,0.85,0,0
Cash Growth,-98.40%,-,-,-,-,-,-
Other Current Assets,0.26,0.36,0.41,0.41,0.33,-,-
Total Current Assets,0.27,0.62,0.82,1.04,1.18,-,-
Long-Term Investments,21.75,235.9,234.94,234.63,234.6,-,-
Other Long-Term Assets,0,0.02,0.11,0.2,0.26,-,-
Total Long-Term Assets,21.75,235.92,235.05,234.82,234.87,-,-
Total Assets,22.03,236.54,235.88,235.87,236.05,0.16,0.03
Accounts Payable,3.3,1.72,0.85,0.02,0.03,0.09,0
Other Current Liabilities,0.73,0.37,0.16,0.13,0.08,0.06,0
Total Current Liabilities,4.04,2.08,1.01,0.15,0.11,0.14,0
Other Long-Term Liabilities,10.38,10.21,8.65,8.65,8.65,0,0
Total Long-Term Liabilities,10.38,10.21,8.65,8.65,8.65,0,0
Total Liabilities,14.42,12.29,9.66,8.8,8.76,0.14,0
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-13.45,-11.35,-8.38,-7.53,-7.31,-0,-0
Shareholders' Equity,-13.45,-11.35,-8.38,-7.53,-7.31,0.02,0.02
Total Liabilities and Equity,0.97,0.94,1.28,1.27,1.45,0.16,0.03
Net Cash / Debt,0.01,0.26,0.41,0.63,0.85,0,0
Net Cash / Debt Growth,-98.40%,-,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.02,0.06,-,-
Working Capital,-3.76,-1.46,-0.19,0.89,1.07,-,-
Book Value Per Share,-0.47,-0.35,-0.26,-0.24,-0.47,0.00,0.00
