Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.04,0.07,0.09,0.32,0.48,0.77,0.01
Cash & Cash Equivalents,0.04,0.07,0.09,0.32,0.48,0.77,0.01
Cash Growth,-91.48%,-90.45%,701.24%,-,-,-,-
Other Current Assets,0.01,0.09,0.04,0.11,0.14,0.01,0
Total Current Assets,0.05,0.16,0.13,0.43,0.62,0.78,0.01
Long-Term Investments,9.67,45.46,45.26,45.19,45.19,45.19,3.19
Other Long-Term Assets,0,0,0,0,0,0,0.24
Total Long-Term Assets,9.67,45.46,45.26,45.19,45.19,45.19,3.43
Total Assets,9.72,45.62,45.38,45.62,45.8,45.97,3.44
Accounts Payable,0.33,0.21,0.11,0.01,0,0,0
Current Debt,0.5,0.5,0,0,0,0,0.18
Other Current Liabilities,0.25,0.03,0.05,0.02,0.07,0.1,0.05
Total Current Liabilities,1.07,0.74,0.15,0.03,0.07,0.1,0.23
Other Long-Term Liabilities,1.58,1.55,1.55,1.55,1.55,1.55,3.19
Total Long-Term Liabilities,1.58,1.55,1.55,1.55,1.55,1.55,3.19
Total Liabilities,2.65,2.29,1.71,1.58,1.62,1.65,3.42
Total Debt,0.5,0.5,0,0,0,0,0.18
Common Stock,0,0,0,0,0,0,0.03
Retained Earnings,-2.26,-1.98,-1.51,-1.15,-1.01,-0.87,-0
Shareholders' Equity,-2.26,-1.98,-1.51,-1.15,-1.01,-0.87,0.02
Total Liabilities and Equity,0.4,0.3,0.2,0.43,0.62,0.78,3.44
Net Cash / Debt,-0.46,-0.42,0.09,0.32,0.48,0.77,-0.17
Net Cash Per Share,-0.08,-0.07,0.02,0.05,0.15,0.16,-0.17
Working Capital,-1.02,-0.58,-0.03,0.4,0.54,0.68,-0.22
Book Value Per Share,-0.41,-0.34,-0.26,-0.20,-0.31,-0.18,0.02
