Metrics,2022-12-31,2022-09-30,2022-06-30,2021-12-31
Cash & Equivalents,0.55,0.63,0,0.03
Cash & Cash Equivalents,0.55,0.63,0,0.03
Other Current Assets,0.17,0.16,0,0
Total Current Assets,0.71,0.79,0.01,0.03
Long-Term Investments,117.25,116.28,0,0
Other Long-Term Assets,0.03,0.07,0.17,0.05
Total Long-Term Assets,117.28,116.34,0.17,0.05
Total Assets,117.99,117.14,0.18,0.08
Current Debt,0.02,0.02,0.02,0
Other Current Liabilities,0.66,0.37,0.14,0.06
Total Current Liabilities,0.68,0.39,0.16,0.06
Other Long-Term Liabilities,4.03,4.03,0,0
Total Long-Term Liabilities,4.03,4.03,0,0
Total Liabilities,4.71,4.42,0.16,0.06
Total Debt,0.02,0.02,0.02,0
Common Stock,0,0,0.09,0.03
Retained Earnings,-3.54,-3.43,-0.06,-0
Shareholders' Equity,-3.54,-3.43,0.02,0.02
Total Liabilities and Equity,1.17,0.99,0.18,0.08
Net Cash / Debt,0.53,0.61,-0.02,0.03
Net Cash Per Share,0.08,0.12,-,0.01
Working Capital,0.03,0.4,-0.15,-0.03
Book Value Per Share,-0.55,-0.68,0.00,0.01
