Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-25
Cash & Equivalents,0,0.19,0.4,0.53,0.82,0,0,-,0
Cash & Cash Equivalents,0,0.19,0.4,0.53,0.82,0,0,0,0
Cash Growth,-99.42%,-,-,-,-,-,-,-,-
Other Current Assets,0.11,0.2,0.3,0.38,0.34,-,-,-,-
Total Current Assets,0.11,0.4,0.71,0.91,1.16,-,-,-,-
Long-Term Investments,25.52,234.41,233.8,233.47,233.45,-,-,-,-
Other Long-Term Assets,0,0,0,0.02,0.11,-,-,-,-
Total Long-Term Assets,25.52,234.41,233.8,233.5,233.56,-,-,-,-
Total Assets,25.63,234.81,234.5,234.41,234.72,0.65,0.47,-,0.06
Accounts Payable,0.89,0.59,0.11,0.02,0.06,0,0,-,0
Current Debt,0,0,0,0,0,0.22,0.14,-,0
Other Current Liabilities,2.36,0.45,0.63,0.57,0.36,0.41,0.31,-,0.04
Total Current Liabilities,3.25,1.04,0.74,0.59,0.42,0.64,0.45,-,0.04
Other Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,0,0,-,0
Total Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,0,0,-,0
Total Liabilities,11.3,9.09,8.79,8.64,8.47,0.64,0.45,-,0.04
Total Debt,0,0,0,0,0,0.22,0.14,-,0
Common Stock,0,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-11.09,-8.6,-7.98,-7.69,-7.2,-0.01,-0.01,-,-0.01
Shareholders' Equity,-11.09,-8.6,-7.98,-7.69,-7.2,0.01,0.02,-,0.02
Total Liabilities and Equity,0.21,0.5,0.81,0.96,1.27,0.65,0.47,-,0.06
Net Cash / Debt,0,0.19,0.4,0.53,0.82,-0.22,-0.14,0,0
Net Cash / Debt Growth,-99.42%,-,-,-,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.02,0.09,-0.04,-0.03,-,-
Working Capital,-3.14,-0.65,-0.03,0.32,0.74,-,-,-,-
Book Value Per Share,-0.44,-0.30,-0.28,-0.27,-0.79,0.00,0.00,-,-
