Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-07-31
Cash & Equivalents,0.52,0.04,0.13,0.28,0.41,0.05,0.12,0.02
Short-Term Investments,10.63,0,0,0,0,0,0,0
Cash & Cash Equivalents,11.15,0.04,0.13,0.28,0.41,0.05,0.12,0.02
Cash Growth,2636.21%,-2.54%,6.03%,1019.85%,-,-,-,-
Receivables,0,0,0.03,0.03,0.03,0,0,0
Other Current Assets,0.11,0.07,0.07,0.09,0.11,0,0.01,0.07
Total Current Assets,11.26,0.11,0.23,0.39,0.54,0.05,0.13,0.1
Long-Term Investments,0,88.53,87.72,87.26,87.14,0,0,0
Other Long-Term Assets,0,0,0,0.02,0.08,0.28,0.21,0.05
Total Long-Term Assets,0,88.53,87.72,87.28,87.22,0.28,0.21,0.05
Total Assets,11.26,88.64,87.95,87.67,87.76,0.32,0.34,0.15
Accounts Payable,0.21,0.13,0.06,0.07,0.09,0.02,0,0
Current Debt,0.65,0,0,0,0,0.27,0.27,0.07
Other Current Liabilities,3.29,0.04,0,0,0,0.03,0.05,0.05
Total Current Liabilities,4.14,0.17,0.06,0.07,0.09,0.32,0.32,0.13
Other Long-Term Liabilities,0,3.02,3.02,3.02,3.02,0,0,0
Total Long-Term Liabilities,0,3.02,3.02,3.02,3.02,0,0,0
Total Liabilities,4.14,3.19,3.08,3.09,3.11,0.32,0.32,0.13
Total Debt,0.65,0,0,0,0,0.27,0.27,0.07
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-3.52,-3.08,-2.85,-2.53,-2.46,-0.02,-0.01,-0
Shareholders' Equity,-3.52,-3.08,-2.85,-2.53,-2.46,0,0.02,0.02
Total Liabilities and Equity,0.63,0.11,0.23,0.56,0.65,0.32,0.34,0.15
Net Cash / Debt,10.5,0.04,0.13,0.28,0.41,-0.23,-0.15,-0.05
Net Cash / Debt Growth,2476.72%,-,-,-,-,-,-,-
Net Cash Per Share,2.07,0.00,0.01,0.02,0.04,-,-0.08,-
Working Capital,7.11,-0.06,0.17,0.32,0.45,-0.28,-0.19,-0.03
Book Value Per Share,-0.69,-0.27,-0.25,-0.23,-0.27,0.00,0.01,-
