Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,1.26,0.05,0.18,0.46,0.64,0.65,0.68,0.03,0.03
Cash & Cash Equivalents,1.26,0.05,0.18,0.46,0.64,0.65,0.68,0.03,0.03
Cash Growth,97.50%,-92.33%,-73.23%,1741.61%,2459.37%,-,-,-,-
Other Current Assets,0.21,0.23,0.29,0.37,0.46,0.55,0.64,-,0
Total Current Assets,1.47,0.28,0.47,0.83,1.1,1.21,1.31,-,0.03
Long-Term Investments,31.69,231.34,230.42,230.07,230.04,230.01,230,-,0
Other Long-Term Assets,0,0,0.12,0.45,0.09,0,0,-,0.12
Total Long-Term Assets,31.69,231.34,230.54,230.53,230.13,230.01,230,-,0.12
Total Assets,33.16,231.61,231.01,231.36,231.23,231.21,231.31,0.72,0.15
Accounts Payable,1.78,1.23,0.86,0.83,0.71,0.61,0.22,0,0
Current Debt,1.5,1.2,1.2,0,0,0,0,0,0
Other Current Liabilities,0.43,0.47,0.47,0.43,0.43,0.43,0.43,0.69,0.12
Total Current Liabilities,3.71,2.91,2.53,1.26,1.14,1.04,0.65,0.69,0.12
Other Long-Term Liabilities,10.23,11.29,11.58,12.46,18.23,17.3,23.11,0,0
Total Long-Term Liabilities,10.23,11.29,11.58,12.46,18.23,17.3,23.11,0,0
Total Liabilities,13.95,14.2,14.11,13.72,19.38,18.34,23.76,0.69,0.12
Total Debt,1.5,1.2,1.2,0,0,0,0,0,0
Common Stock,0,0,0,-0.1,0,0,5.53,0.03,0.03
Retained Earnings,-13.07,-13.55,-13.19,-12.26,-18.15,-17.13,-0.53,-0,-0
Shareholders' Equity,-13.07,-13.55,-13.19,-12.36,-18.15,-17.13,5,0.02,0.02
Total Liabilities and Equity,0.87,0.65,0.92,1.36,1.23,1.21,28.76,0.72,0.15
Net Cash / Debt,-0.24,-1.15,-1.02,0.46,0.64,0.65,0.68,0.02,0.02
Net Cash / Debt Growth,-,-,-,1907.77%,2690.30%,-,-,-,-
Net Cash Per Share,-0.01,-0.04,-0.04,0.02,0.03,0.02,0.04,0.00,0.00
Working Capital,-2.24,-2.63,-2.07,-0.43,-0.04,0.17,0.66,-,-0.1
Book Value Per Share,-0.47,-0.47,-0.46,-0.43,-0.91,-0.60,0.30,0.00,0.00
