Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-08
Cash & Equivalents,0.58,0.76,0.85,0.99,2.5,0,-,0
Cash & Cash Equivalents,0.58,0.76,0.85,0.99,2.5,0,0,0
Cash Growth,-76.87%,-,-,-,-,-,-,-
Other Current Assets,0,0.14,0.32,0.51,0.62,-,-,-
Total Current Assets,0.58,0.9,1.17,1.5,3.12,-,-,-
Long-Term Investments,237.13,235.46,234.76,234.6,234.6,-,-,-
Total Long-Term Assets,237.13,235.46,234.76,234.6,234.6,-,-,-
Total Assets,237.71,236.36,235.93,236.1,237.72,0.65,-,0.1
Accounts Payable,0.49,0.49,0.49,0.5,0.86,0,-,0
Current Debt,0,0,0,0,0,0.12,-,0
Other Current Liabilities,0.65,0.35,0.32,0.29,1.21,0.61,-,0.17
Total Current Liabilities,1.14,0.85,0.81,0.79,2.07,0.73,-,0.17
Other Long-Term Liabilities,8.51,9.91,11.53,15.94,23.59,0,-,0
Total Long-Term Liabilities,8.51,9.91,11.53,15.94,23.59,0,-,0
Total Liabilities,9.66,10.76,12.34,16.73,25.66,0.73,-,0.17
Total Debt,0,0,0,0,0,0.12,-,0
Common Stock,0,0,0.34,0.17,0,0.37,-,0.03
Retained Earnings,-8.75,-9.76,-11.35,-15.4,-22.54,-0.45,-,-0.09
Shareholders' Equity,-8.75,-9.76,-11.01,-15.23,-22.54,-0.08,-,-0.07
Total Liabilities and Equity,0.91,1,1.33,1.5,3.12,0.65,-,0.1
Net Cash / Debt,0.58,0.76,0.85,0.99,2.5,-0.12,0,0
Net Cash / Debt Growth,-76.87%,-,-,-,-,-,-,-
Net Cash Per Share,0.02,0.03,0.03,0.03,0.35,-0.02,-,-
Working Capital,-0.56,0.05,0.36,0.71,1.05,-,-,-
Book Value Per Share,-0.30,-0.34,-0.38,-0.53,-3.12,-0.02,-,-
