Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-10-23
Cash & Equivalents,0.13,0.08,0.08,0.12,0.06,0.2,0.31,0.47,0.02,0.03
Cash & Cash Equivalents,0.13,0.08,0.08,0.12,0.06,0.2,0.31,0.47,0.02,0.03
Cash Growth,105.07%,-58.62%,-75.29%,-73.48%,188.91%,706.25%,-,-,-,-
Other Current Assets,0.03,0.11,0.19,0.26,0.34,0.43,0.52,0.61,0.02,-
Total Current Assets,0.16,0.19,0.26,0.38,0.4,0.63,0.83,1.08,0.04,-
Long-Term Investments,204.04,202.55,201.57,201.27,201.31,201.29,201.26,201.26,0,-
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.16,-
Total Long-Term Assets,204.04,202.55,201.57,201.27,201.31,201.29,201.26,201.26,0.16,-
Total Assets,204.21,202.74,201.83,201.65,201.71,201.91,202.09,202.34,0.2,0.08
Accounts Payable,4.28,3.77,3.3,3.01,2.64,1.74,0.28,0,0,0
Current Debt,0.8,0.54,0.39,0.24,0,0,0,0,0.13,0
Other Current Liabilities,0.54,0.11,0.85,3.2,4.57,0,0.02,0.15,0.05,0.06
Total Current Liabilities,5.61,4.43,4.54,6.45,7.21,1.74,0.29,0.15,0.18,0.06
Other Long-Term Liabilities,0.18,0.18,0.43,6.48,7.14,3.36,4.06,1.85,0,0
Total Long-Term Liabilities,0.18,0.18,0.43,6.48,7.14,3.36,4.06,1.85,0,0
Total Liabilities,5.8,4.61,4.97,12.93,14.35,5.11,4.36,2,0.18,0.06
Total Debt,0.8,0.54,0.39,0.24,0,0,0,0,0.13,0
Common Stock,0,0,0,0,0,0,5.87,3.26,0.03,0.03
Retained Earnings,-5.01,-4,-4.44,-12.53,-13.89,-4.44,-0.87,1.74,-0.01,-0
Shareholders' Equity,-5.01,-4,-4.44,-12.53,-13.89,-4.44,5,5,0.02,0.02
Total Liabilities and Equity,0.79,0.61,0.54,0.4,0.46,0.66,9.36,7,0.2,0.08
Net Cash / Debt,-0.67,-0.46,-0.32,-0.12,0.06,0.2,0.31,0.47,-0.11,0.03
Net Cash / Debt Growth,-,-,-,-,-,709.48%,-,-,-,-
Net Cash Per Share,-0.03,-0.02,-0.01,-0.00,0.00,0.01,0.01,0.03,-0.02,0.01
Working Capital,-5.45,-4.24,-4.28,-6.06,-6.81,-1.12,0.53,0.93,-0.14,-
Book Value Per Share,-0.20,-0.16,-0.18,-0.50,-0.55,-0.18,0.20,0.32,0.00,0.01
