Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.07,0.17,0.43,0.08,0.28,0.38,0.6,0.76,0
Cash & Cash Equivalents,0.07,0.17,0.43,0.08,0.28,0.38,0.6,0.76,0
Cash Growth,-73.73%,-55.60%,-29.34%,-89.75%,-,-,-,-,-
Other Current Assets,0.12,0.33,0.53,0.66,0.72,0.73,0.73,1.41,0.13
Total Current Assets,0.19,0.5,0.96,0.74,1,1.11,1.34,2.17,0.13
Long-Term Investments,349.93,347.13,345.7,345.22,345.11,345.08,345.05,345.01,0
Other Long-Term Assets,0,0,0,0,0.11,0.3,0.48,0,0
Total Long-Term Assets,349.93,347.13,345.7,345.22,345.22,345.37,345.52,345.01,0
Total Assets,350.12,347.62,346.66,345.95,346.22,346.48,346.86,347.18,0.13
Accounts Payable,4.86,2.81,3.46,3.4,2.58,0.11,0.17,0.07,0.11
Current Debt,0.83,0.48,0.48,0,0,0,0,0,0
Total Current Liabilities,5.69,3.29,3.94,3.4,2.58,0.11,0.17,0.07,0.11
Other Long-Term Liabilities,6,14.01,15.8,18.18,20.56,22.05,28.16,25.78,0
Total Long-Term Liabilities,6,14.01,15.8,18.18,20.56,22.05,28.16,25.78,0
Total Liabilities,11.68,17.3,19.74,21.58,23.14,22.16,28.32,25.85,0.11
Total Debt,0.83,0.48,0.48,0,0,0,0,0,0
Common Stock,6.06,0,0,0,0,0,4.42,1.62,0.03
Retained Earnings,-17.55,-16.8,-18.78,-20.63,-21.92,-20.68,0.58,3.38,-0.01
Shareholders' Equity,-11.49,-16.8,-18.78,-20.63,-21.92,-20.68,5,5,0.02
Total Liabilities and Equity,0.19,0.5,0.96,0.95,1.22,1.48,33.32,30.85,0.13
Net Cash / Debt,-0.76,-0.31,-0.05,0.08,0.28,0.38,0.6,0.76,0
Net Cash / Debt Growth,-,-,-,-89.75%,-,-,-,-,-
Net Cash Per Share,-0.02,-0.01,-0.00,0.00,0.01,0.01,0.01,0.04,-
Working Capital,-5.49,-2.79,-2.98,-2.66,-1.58,1,1.17,2.1,0.02
Book Value Per Share,-0.27,-0.39,-0.44,-0.48,-0.59,-0.49,0.12,0.25,0.00
