Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-23
Cash & Equivalents,0.25,0.37,0.39,0.67,0.72,1.17,1.56,0,0
Cash & Cash Equivalents,0.25,0.37,0.39,0.67,0.72,1.17,1.56,0,0
Cash Growth,-64.90%,-68.49%,-75.09%,-,-,-,-,-,-
Other Current Assets,0.34,0.5,0.73,0.87,0.88,0.84,0.86,-,-
Total Current Assets,0.59,0.87,1.11,1.54,1.6,2.01,2.42,-,-
Long-Term Investments,266.02,263.27,261.15,259.66,259.24,259.15,259.13,-,-
Other Long-Term Assets,0,0,0,0.07,0.28,0.49,0.7,-,-
Total Long-Term Assets,266.02,263.27,261.15,259.73,259.52,259.64,259.83,-,-
Total Assets,266.61,264.14,262.26,261.27,261.13,261.65,262.25,0.86,0.21
Accounts Payable,0,0,1.5,1.22,0.88,0,0,0.43,0.1
Current Debt,0,0,0,0,0,0,0,0.19,0.02
Other Current Liabilities,2.17,1.86,0,0,0,0.77,0.06,0.38,0.07
Total Current Liabilities,2.17,1.86,1.5,1.22,0.88,0.77,0.06,1,0.19
Other Long-Term Liabilities,4.52,5.58,5.28,12.11,16.22,18.97,22.92,0,0
Total Long-Term Liabilities,4.52,5.58,5.28,12.11,16.22,18.97,22.92,0,0
Total Liabilities,6.69,7.44,6.78,13.33,17.11,19.74,22.99,1,0.19
Total Debt,0,0,0,0,0,0,0,0.19,0.02
Common Stock,6.23,6.23,6.23,0,0,0,0,0.03,0.03
Retained Earnings,-12.33,-12.81,-11.89,-11.73,-15.13,-17.21,-19.85,-0.16,-0
Shareholders' Equity,-6.1,-6.58,-5.66,-11.73,-15.13,-17.21,-19.85,-0.14,0.02
Total Liabilities and Equity,0.59,0.87,1.11,1.61,1.98,2.53,3.13,0.86,0.21
Net Cash / Debt,0.25,0.37,0.39,0.67,0.72,1.17,1.56,-0.19,-0.02
Net Cash / Debt Growth,-64.90%,-68.49%,-75.09%,-,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.01,0.03,0.03,0.08,0.08,-0.03,-0.00
Working Capital,-1.58,-0.99,-0.38,0.32,0.72,1.24,2.36,-,-
Book Value Per Share,-0.24,-0.25,-0.22,-0.45,-0.58,-1.20,-1.02,-0.02,0.01
