Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-12
Cash & Equivalents,0.15,0.25,0.29,0.34,0.66,0.08,0.13,0.03
Cash & Cash Equivalents,0.15,0.25,0.29,0.34,0.66,0.08,0.13,0.03
Cash Growth,-77.88%,228.30%,130.12%,1224.33%,-,-,-,-
Other Current Assets,0.14,0.26,0.38,0.47,0.44,0,0,0
Total Current Assets,0.29,0.51,0.67,0.81,1.1,0.08,0.13,0.03
Long-Term Investments,118.96,117.96,117.44,117.32,117.31,0,0,0
Other Long-Term Assets,0,0,0,0.04,0.14,0.28,0.11,0.11
Total Long-Term Assets,118.96,117.96,117.44,117.36,117.45,0.28,0.11,0.11
Total Assets,119.24,118.48,118.11,118.17,118.55,0.35,0.23,0.13
Accounts Payable,1.56,0.27,0.21,0.16,0.28,0,0,0
Current Debt,0,0,0,0,0,0.23,0.21,0.11
Other Current Liabilities,0.27,0.07,0,0,0,0.11,0,0
Total Current Liabilities,1.83,0.34,0.21,0.16,0.28,0.34,0.21,0.11
Total Liabilities,1.83,0.34,0.21,0.16,0.28,0.34,0.21,0.11
Total Debt,0,0,0,0,0,0.23,0.21,0.11
Common Stock,1.04,1.78,2.04,2.04,2.04,0.03,0.03,0.03
Retained Earnings,-1.93,-1.21,-1.45,-1.33,-1.07,-0.01,-0,-0
Shareholders' Equity,-0.89,0.57,0.6,0.71,0.97,0.02,0.03,0.03
Total Liabilities and Equity,0.94,0.91,0.81,0.87,1.25,0.35,0.23,0.13
Net Cash / Debt,0.15,0.25,0.29,0.34,0.66,-0.15,-0.08,-0.08
Net Cash / Debt Growth,-77.88%,-,-,-,-,-,-,-
Net Cash Per Share,0.01,0.02,0.02,0.02,0.16,-0.06,-0.03,-
Working Capital,-1.54,0.17,0.46,0.65,0.83,-0.26,-0.08,-0.08
Book Value Per Share,-0.06,0.04,0.04,0.05,0.24,0.01,0.01,-
