Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-22
Cash & Equivalents,0.07,0.24,0.47,0.57,0.75,0,0,0
Short-Term Investments,116.76,0,0,0,0,0,-,-
Cash & Cash Equivalents,116.84,0.24,0.47,0.57,0.75,0,0,0
Cash Growth,15377.10%,139323.43%,-,-,-,-,-,-
Receivables,0,0,0,0.09,0.05,0,0,0
Other Current Assets,0.11,0.16,0.17,0.2,0.16,0.16,-,-
Total Current Assets,116.95,0.4,0.64,0.86,0.97,0.16,-,-
Long-Term Investments,0,115.8,115.23,115.04,115.01,0,-,-
Other Long-Term Assets,0,0,0.04,0.08,0.11,0,-,-
Total Long-Term Assets,0,115.81,115.27,115.12,115.12,0,-,-
Total Assets,116.95,116.21,115.91,115.97,116.09,0.16,0.15,0.05
Accounts Payable,0,0,0.02,0.08,0.03,0,0,0
Current Debt,0.09,0,0,0,0,0.14,0.06,0
Other Current Liabilities,5.66,1.17,0.17,0.1,0.11,0.04,0.07,0.03
Total Current Liabilities,5.75,1.17,0.19,0.18,0.14,0.18,0.13,0.03
Other Long-Term Liabilities,0,4.03,4.03,4.03,4.03,0,0,0
Total Long-Term Liabilities,0,4.03,4.03,4.03,4.03,0,0,0
Total Liabilities,5.75,5.19,4.22,4.2,4.16,0.18,0.13,0.03
Total Debt,0.09,0,0,0,0,0.14,0.06,0
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-5.57,-4.79,-3.53,-3.23,-3.07,-0.05,-0.01,-0
Shareholders' Equity,-5.57,-4.79,-3.53,-3.23,-3.07,-0.03,0.02,0.02
Total Liabilities and Equity,0.18,0.4,0.68,0.97,1.09,0.16,0.15,0.05
Net Cash / Debt,116.75,0.24,0.47,0.57,0.75,-0.14,-0.06,0
Net Cash / Debt Growth,15365.17%,-,-,-,-,-,-,-
Net Cash Per Share,8.06,0.02,0.03,0.04,0.12,-0.06,-0.02,-
Working Capital,111.19,-0.77,0.45,0.68,0.83,-0.03,-,-
Book Value Per Share,-0.38,-0.33,-0.24,-0.22,-0.51,-0.01,0.01,-
