Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-04
Cash & Equivalents,0.23,0.53,0.51,0.79,0.03,0.03,-,0.03
Cash & Cash Equivalents,0.23,0.53,0.51,0.79,0.03,0.03,0,0.03
Cash Growth,810.38%,1967.61%,-,2954.33%,-,-,-,-
Other Current Assets,0.34,0.36,0.39,0.37,0.03,-,-,-
Total Current Assets,0.57,0.9,0.9,1.16,0.05,-,-,-
Long-Term Investments,200.13,198.46,197.56,197.3,0,-,-,-
Other Long-Term Assets,0.02,0.11,0.19,0.27,0.72,-,-,-
Total Long-Term Assets,200.15,198.56,197.75,197.57,0.72,-,-,-
Total Assets,200.72,199.46,198.65,198.74,0.77,0.3,-,0.06
Accounts Payable,0.3,0,0,0.02,0.67,0,-,0
Current Debt,0,0,0,0,0.09,0,-,0
Other Current Liabilities,0.42,0.52,0.35,0.29,0,0.27,-,0.03
Total Current Liabilities,0.72,0.52,0.35,0.31,0.76,0.28,-,0.03
Other Long-Term Liabilities,7.68,8.97,9.72,10.01,0,0,-,0
Total Long-Term Liabilities,7.68,8.97,9.72,10.01,0,0,-,0
Total Liabilities,8.4,9.49,10.08,10.32,0.76,0.28,-,0.03
Total Debt,0,0,0,0,0.09,0,-,0
Common Stock,0.13,0.13,0.13,0.13,0.03,0.03,-,0.03
Retained Earnings,-7.16,-8.23,-8.96,-8.99,-0.01,-0,-,-0
Shareholders' Equity,-7.04,-8.11,-8.84,-8.86,0.01,0.02,-,0.02
Total Liabilities and Equity,1.36,1.38,1.24,1.46,0.77,0.3,-,0.06
Net Cash / Debt,0.23,0.53,0.51,0.79,-0.06,0.02,0,0.03
Net Cash / Debt Growth,-,2050.89%,-,3076.51%,-,-,-,-
Net Cash Per Share,0.01,0.02,0.02,0.04,-0.01,0.01,-,-
Working Capital,-0.14,0.38,0.54,0.85,-0.71,-,-,-
Book Value Per Share,-0.29,-0.34,-0.37,-0.48,0.00,0.01,-,-
