Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-09
Cash & Equivalents,0.04,0.04,0.04,0.37,0.45,0.75,0,0
Cash & Cash Equivalents,0.04,0.04,0.04,0.37,0.45,0.75,0,0
Cash Growth,-92.15%,-95.28%,-,-,-,-,-,-
Other Current Assets,0.29,0.43,0.57,0.57,0.57,0.57,-,-
Total Current Assets,0.33,0.47,0.6,0.93,1.01,1.31,-,-
Long-Term Investments,152.17,150.91,150.23,150.01,150,150,-,-
Other Long-Term Assets,0,0,0.01,0.15,0.33,0.52,-,-
Total Long-Term Assets,152.17,150.91,150.24,150.16,150.33,150.52,-,-
Total Assets,152.5,151.38,150.84,151.09,151.35,151.83,0.07,0.05
Accounts Payable,0.91,0.77,0.72,0.51,0.45,0,0,0
Other Current Liabilities,1.28,0.91,0.66,0.82,0.65,0.33,0.05,0.02
Total Current Liabilities,2.19,1.67,1.39,1.33,1.1,0.33,0.05,0.02
Other Long-Term Liabilities,5.58,6.08,7.17,9.03,11.45,14.52,0,0
Total Long-Term Liabilities,5.58,6.08,7.17,9.03,11.45,14.52,0,0
Total Liabilities,7.77,7.76,8.55,10.36,12.55,14.85,0.05,0.02
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-6.54,-6.73,-7.72,-9.27,-11.21,-13.01,-0,-0
Shareholders' Equity,-6.54,-6.73,-7.71,-9.27,-11.2,-13.01,0.02,0.02
Total Liabilities and Equity,1.24,1.03,0.84,1.09,1.35,1.83,0.07,0.05
Net Cash / Debt,0.04,0.04,0.04,0.37,0.45,0.75,0,0
Net Cash / Debt Growth,-92.15%,-95.28%,-,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.00,0.02,0.04,0.07,-,-
Working Capital,-1.86,-1.2,-0.79,-0.4,-0.09,0.98,-,-
Book Value Per Share,-0.35,-0.36,-0.41,-0.49,-0.98,-1.18,0.01,0.01
