Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Cash & Equivalents,0.01,0.37,0.62,0.85,1.13,0,0.01
Cash & Cash Equivalents,0.01,0.37,0.62,0.85,1.13,0,0.01
Cash Growth,-98.79%,31511.24%,9803.65%,-,-,-,-
Other Current Assets,0,0.02,0.2,0.39,0.57,0.02,0.02
Total Current Assets,0.01,0.38,0.82,1.24,1.7,0.02,0.02
Long-Term Investments,51.34,233.94,232.53,232.32,232.28,0,0
Other Long-Term Assets,0,0,0,0,0,0.33,0.3
Total Long-Term Assets,51.34,233.94,232.53,232.32,232.28,0.33,0.3
Total Assets,51.35,234.32,233.35,233.56,233.99,0.35,0.32
Current Debt,0.3,0,0,0,0,0.15,0
Other Current Liabilities,2.21,2.75,3.09,8.18,8.96,0.21,0.21
Total Current Liabilities,2.51,2.75,3.09,8.18,8.96,0.35,0.21
Long-Term Debt,0,0,0,0,0,0,0.12
Other Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,0,0
Total Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,0,0.12
Total Liabilities,10.56,10.8,11.14,16.23,17.01,0.35,0.33
Total Debt,0.3,0,0,0,0,0.15,0.12
Common Stock,0,0,0,0,0,0.03,0.03
Retained Earnings,-9.33,-8.2,-7.8,-12.67,-13.03,-0.03,-0.03
Shareholders' Equity,-9.33,-8.2,-7.8,-12.67,-13.03,-0.01,-0.01
Total Liabilities and Equity,1.23,2.6,3.35,3.56,3.99,0.35,0.32
Net Cash / Debt,-0.29,0.37,0.62,0.85,1.13,-0.14,-0.11
Net Cash Per Share,-0.01,0.01,0.02,0.03,-,-0.03,-0.02
Working Capital,-2.5,-2.37,-2.27,-6.94,-7.26,-0.33,-0.18
Book Value Per Share,-0.39,-0.28,-0.27,-0.44,-1.03,-0.00,-0.00
