Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.32,0.06,0.22,0.31,1.01,1.29,1.31,1.42,0
Cash & Cash Equivalents,0.32,0.06,0.22,0.31,1.01,1.29,1.31,1.42,0
Cash Growth,-68.54%,-95.70%,-83.11%,-78.20%,-,-,-,-,-
Receivables,0.01,0.01,0,0,0,0,0,0,0
Other Current Assets,0.05,0.22,0.38,0.56,0.58,0.58,0.9,1.12,0
Total Current Assets,0.38,0.28,0.6,0.87,1.59,1.87,2.21,2.54,0
Long-Term Investments,320.68,318.01,316.62,316.28,316.27,316.27,316.26,316.25,0
Other Long-Term Assets,0,0,0,0,0.05,0.2,0,0,0.28
Total Long-Term Assets,320.68,318.01,316.62,316.28,316.33,316.46,316.26,316.25,0.28
Total Assets,321.06,318.29,317.22,317.15,317.92,318.34,318.47,318.79,0.28
Current Debt,1.05,0,0,0,0,0,0,0,0.02
Other Current Liabilities,1.4,0.96,0.55,0.34,0.78,0.17,0.12,0.08,0.24
Total Current Liabilities,2.45,0.96,0.55,0.34,0.78,0.17,0.12,0.08,0.26
Other Long-Term Liabilities,11.89,11.65,12.67,18.19,25.51,28.18,36.34,28.19,0
Total Long-Term Liabilities,11.89,11.65,12.67,18.19,25.51,28.18,36.34,28.19,0
Total Liabilities,14.35,12.61,13.22,18.53,26.29,28.35,36.46,28.27,0.26
Total Debt,1.05,0,0,0,0,0,0,0,0.02
Common Stock,0,0,0,0,0,0,4.2,0,0.03
Retained Earnings,-12.7,-11.68,-12.3,-17.63,-24.62,-26.26,0.8,9.3,-0
Shareholders' Equity,-12.7,-11.68,-12.3,-17.63,-24.62,-26.26,5,9.31,0.02
Total Liabilities and Equity,1.64,0.93,0.92,0.9,1.67,2.09,41.46,37.57,0.28
Net Cash / Debt,-0.73,0.06,0.22,0.31,1.01,1.29,1.31,1.42,-0.02
Net Cash / Debt Growth,-,-95.70%,-83.11%,-78.20%,-,-,-,-,-
Net Cash Per Share,-0.02,0.00,0.01,0.01,0.03,0.03,0.03,0.06,-0.00
Working Capital,-2.07,-0.68,0.06,0.53,0.81,1.7,2.1,2.46,-0.26
Book Value Per Share,-0.32,-0.29,-0.31,-0.45,-0.62,-0.66,0.13,0.37,0.00
