Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-19
Cash & Equivalents,0.75,0.84,0.99,0.01,0.24,0.14,0.17,0
Cash & Cash Equivalents,0.75,0.84,0.99,0.01,0.24,0.14,0.17,0
Cash Growth,215.49%,494.85%,478.68%,-,-,-,-,-
Other Current Assets,0.58,0.71,0.71,0.71,0.71,0,-,-
Total Current Assets,1.33,1.55,1.7,0.71,0.95,0.14,-,-
Long-Term Investments,235.58,233.59,232.46,232.31,232.3,0,-,-
Other Long-Term Assets,0,0.07,0.19,0.37,0.57,0.86,-,-
Total Long-Term Assets,235.58,233.66,232.65,232.68,232.87,0.86,-,-
Total Assets,236.91,235.21,234.35,233.39,233.81,1,0.71,0.2
Accounts Payable,1.04,1.01,0.88,0.61,0.47,0,0,0
Current Debt,0,0,0,0,0,0.3,0.3,0
Other Current Liabilities,0,0,0,0,0,0.69,0.39,0.19
Total Current Liabilities,1.04,1.01,0.88,0.61,0.47,0.99,0.69,0.19
Long-Term Debt,1.05,1.05,1.05,0,0,0,0,0
Other Long-Term Liabilities,10.9,11.83,11.27,15.56,19.32,0,0,0
Total Long-Term Liabilities,11.95,12.88,12.32,15.56,19.32,0,0,0
Total Liabilities,12.99,13.89,13.2,16.17,19.79,0.99,0.69,0.19
Total Debt,1.05,1.05,1.05,0,0,0.3,0.3,0
Debt Growth,-,250.00%,250.00%,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-11.66,-12.27,-11.31,-15.08,-18.27,-0.01,-0.01,-0.01
Shareholders' Equity,-11.66,-12.27,-11.31,-15.08,-18.27,0.01,0.01,0.01
Total Liabilities and Equity,1.33,1.62,1.89,1.09,1.51,1,0.71,0.2
Net Cash / Debt,-0.3,-0.21,-0.06,0.01,0.24,-0.16,-0.13,0
Net Cash Per Share,-0.01,-0.01,-0.00,0.00,0.02,-0.03,-0.02,-
Working Capital,0.29,0.54,0.82,0.1,0.47,-0.85,-,-
Book Value Per Share,-0.41,-0.43,-0.39,-0.53,-1.62,0.00,0.00,-
