Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-19
Cash & Equivalents,0.17,0.23,0.39,0.62,0.85,0.1,-,0.28
Cash & Cash Equivalents,0.17,0.23,0.39,0.62,0.85,0.1,0,0.28
Cash Growth,-79.66%,135.09%,-,120.53%,-,-,-,-
Other Current Assets,0.03,0.04,0.1,0.15,0.19,-,-,-
Total Current Assets,0.2,0.27,0.48,0.77,1.03,-,-,-
Long-Term Investments,101.94,100.31,99.86,99.71,99.71,-,-,-
Total Long-Term Assets,101.94,100.31,99.86,99.71,99.71,-,-,-
Total Assets,102.14,100.58,100.34,100.49,100.74,0.31,-,0.35
Accounts Payable,0.16,0.01,0,0.01,0.01,0,-,0
Current Debt,0.73,0,0,0,0,0.31,-,0.31
Other Current Liabilities,0.52,0.15,0.1,0.05,0.04,0,-,0.03
Total Current Liabilities,1.41,0.16,0.1,0.06,0.04,0.31,-,0.33
Other Long-Term Liabilities,3.5,3.42,3.42,3.42,3.42,0,-,0
Total Long-Term Liabilities,3.5,3.42,3.42,3.42,3.42,0,-,0
Total Liabilities,4.92,3.58,3.52,3.48,3.47,0.31,-,0.33
Total Debt,0.73,0,0,0,0,0.31,-,0.31
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-4.33,-3.13,-2.88,-2.7,-2.43,-0.02,-,-0.01
Shareholders' Equity,-4.33,-3.13,-2.88,-2.7,-2.43,0.01,-,0.02
Total Liabilities and Equity,0.58,0.45,0.64,0.78,1.04,0.31,-,0.35
Net Cash / Debt,-0.56,0.23,0.39,0.62,0.85,-0.21,0,-0.03
Net Cash Per Share,-0.06,0.02,0.04,0.06,-,-0.10,-,-
Working Capital,-1.21,0.11,0.39,0.71,0.99,-,-,-
Book Value Per Share,-0.44,-0.32,-0.29,-0.28,-1.48,0.00,-,-
