Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.15,0.54,0,0.17,0.51,0.01,0.03,-,0.03
Cash & Cash Equivalents,0.15,0.54,0,0.17,0.51,0.01,0.03,0,0.03
Cash Growth,-71.45%,7956.56%,-83.33%,-,1943.26%,-,-,-,-
Receivables,0,0,0,0,0.03,0,0,-,0
Other Current Assets,0.24,0.38,0.4,0.43,0.39,0,0,-,0
Total Current Assets,0.39,0.92,0.4,0.6,0.93,0.01,0.03,-,0.03
Long-Term Investments,21.03,116.55,116.32,116.16,116.15,0,0,-,0
Other Long-Term Assets,0,0,0.09,0.18,0.27,0.46,0.22,-,0
Total Long-Term Assets,21.03,116.55,116.41,116.35,116.42,0.46,0.22,-,0
Total Assets,21.42,117.47,116.81,116.94,117.35,0.47,0.25,-,0.03
Current Debt,0.7,0.36,0,0,0,0.18,0.15,-,0
Other Current Liabilities,0.98,97.06,0.29,0.23,0.29,0.27,0.07,-,0
Total Current Liabilities,1.68,97.42,0.29,0.23,0.29,0.44,0.22,-,0
Other Long-Term Liabilities,20.88,20.76,116.15,116.15,116.15,0,0,-,0
Total Long-Term Liabilities,20.88,20.76,116.15,116.15,116.15,0,0,-,0
Total Liabilities,22.56,118.18,116.44,116.38,116.44,0.44,0.22,-,0
Total Debt,0.7,0.36,0,0,0,0.18,0.15,-,0
Debt Growth,-,106.06%,-,-,-,-,-,-,-
Common Stock,0.72,0.84,1.5,1.5,1.5,0.03,0.03,-,0.03
Retained Earnings,-1.86,-1.55,-1.13,-0.94,-0.58,-0,-0,-,-0
Shareholders' Equity,-1.14,-0.71,0.37,0.56,0.92,0.02,0.02,-,0.02
Total Liabilities and Equity,21.42,117.47,116.81,116.94,117.35,0.47,0.25,-,0.03
Net Cash / Debt,-0.55,0.18,0,0.17,0.51,-0.17,-0.12,0,0.03
Net Cash / Debt Growth,-,-,-,-,1943.26%,-,-,-,-
Net Cash Per Share,-0.05,0.01,0.00,0.01,0.10,-0.06,-0.04,-,0.01
Working Capital,-1.29,-96.5,0.11,0.37,0.64,-0.44,-0.19,-,0.02
Book Value Per Share,-0.10,-0.05,0.03,0.04,0.17,0.01,0.01,-,0.01
