Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
Total Assets,"77,186","78,717","76,435","77,810","75,805","75,803","74,534","73,816","72,517","70,379","65,582","63,166","54,266","51,333","50,223","48,391","46,280","43,332","43,724","41,677","42,322","40,774","37,761","35,290","33,493","33,103","31,356","30,631","29,470","28,881","27,896","26,911",-,"21,917",-,-,"19,160"
Accounts Payable,"39,168","40,233","37,938","40,377","39,886","39,038","37,990","38,630","38,514","35,670","32,689","31,283","25,034","24,759","24,204","25,272","24,464","21,843","22,698","20,889","20,849","19,999","18,949","17,149","15,905","15,355","14,294","14,003","13,190","12,406","11,916","11,676",-,"10,727",-,-,"10,453"
Current Debt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,499","1,999","1,998","2,000","2,000","3,000","1,000",0,0,0,0,0,0,0,0,0,0,-,"1,093",-,-,0
Other Current Liabilities,"4,741","4,868","5,290","4,718","4,081","3,991","3,705","2,638","2,826","2,777","2,557","2,446","2,415","2,160","2,136","2,076","2,172","2,063","1,942","1,920","1,865","1,864","1,754","1,492","1,381","1,523","1,322","1,220","1,172","1,211","1,156",908,-,"1,463",-,-,808
Total Current Liabilities,"43,909","45,101","43,228","45,095","43,967","43,029","41,695","41,268","41,340","38,447","35,246","33,729","27,449","26,919","26,340","29,847","28,635","25,904","26,640","24,809","25,714","22,863","20,703","18,641","17,286","16,878","15,616","15,223","14,362","13,617","13,072","12,584",-,"13,283",-,-,"11,261"
Long-Term Debt,"10,481","10,417","10,241","10,198","8,222","8,049","7,949","8,945","8,942","8,939","8,937","8,934","7,967","4,965","4,964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,0
Other Long-Term Liabilities,"2,938","2,925","2,702","2,750","3,013","2,998","2,800","2,698","2,794","2,930","2,872","2,819","2,839","2,520","2,436","2,405","2,488","2,042","1,969","1,849","1,967","1,917","1,626","1,651","1,581","1,513","1,548","1,591","1,510","1,505","1,610","1,587",-,386,-,-,509
Total Long-Term Liabilities,"13,419","13,342","12,943","12,948","11,235","11,047","10,749","11,643","11,736","11,869","11,809","11,753","10,806","7,485","7,400","2,405","2,488","2,042","1,969","1,849","1,967","1,917","1,626","1,651","1,581","1,513","1,548","1,591","1,510","1,505","1,610","1,587",-,386,-,-,509
Total Liabilities,"57,328","58,443","56,171","58,043","55,202","54,076","52,444","52,911","53,076","50,316","47,055","45,482","38,255","34,404","33,740","32,252","31,123","27,946","28,609","26,658","27,681","24,780","22,329","20,292","18,867","18,391","17,164","16,814","15,872","15,122","14,682","14,171",-,"13,669",-,-,"11,770"
Total Debt,"10,481","10,417","10,241","10,198","8,222","8,049","7,949","8,945","8,942","8,939","8,937","8,934","7,967","4,965","4,964","2,499","1,999","1,998","2,000","2,000","3,000","1,000",0,0,0,0,0,0,0,0,0,0,-,"1,093",-,-,0
Debt Growth,27.48%,29.42%,28.83%,14.01%,-8.05%,-9.96%,-11.06%,0.12%,12.24%,80.04%,80.04%,257.50%,298.55%,148.50%,148.20%,24.95%,-33.37%,99.80%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Common Stock,"1,007","2,248","2,912","3,628","4,003","5,328","6,480","6,550","6,331","8,137","8,006","8,022","7,829","8,716","8,700","8,794","8,632","9,428","9,753","10,123","10,476","12,313","12,370","12,272","12,212","12,584","12,474","12,409","12,592","13,100","12,910","12,716",-,"8,138",-,-,"7,451"
Retained Earnings,"19,749","18,954","18,033","16,703","17,044","16,535","15,734","14,647","13,463","12,366","10,809","9,788","8,258","8,342","7,835","7,373","6,550","5,880","5,296","4,860","4,334","3,823","3,204","2,824","2,412","2,069","1,679","1,356","1,033",668,301,-,-,0,-,-,-
Comprehensive Income,-898,-928,-681,-564,-444,-136,-124,-292,-353,-484,-332,-170,-120,-173,-52,-28,-25,78,66,36,-169,-142,-142,-98,2,59,39,52,-27,-9,3,24,-,110,-,-,-61
Shareholders' Equity,"19,858","20,274","20,264","19,767","20,603","21,727","22,090","20,905","19,441","20,019","18,483","17,640","15,967","16,885","16,483","16,139","15,157","15,386","15,115","15,019","14,641","15,994","15,432","14,998","14,626","14,712","14,192","13,817","13,598","13,759","13,214","12,740",-,"8,248",-,-,"7,390"
Total Liabilities and Equity,"77,186","78,717","76,435","77,810","75,805","75,803","74,534","73,816","72,517","70,335","65,538","63,122","54,222","51,289","50,223","48,391","46,280","43,332","43,724","41,677","42,322","40,774","37,761","35,290","33,493","33,103","31,356","30,631","29,470","28,881","27,896","26,911",-,"21,917",-,-,"19,160"
Net Cash / Debt,"7,674","7,882","6,610","4,857","4,966","6,297","9,056","6,733","6,875","6,913","7,818","7,249","5,931","9,768","8,975","9,082","8,706","9,643","9,699","11,638","11,422","12,407","11,242","9,843","9,409","10,323","9,903","9,464","8,991","7,595","7,901","7,560",0,"4,723",0,0,"4,714"
Net Cash / Debt Growth,54.53%,25.17%,-27.01%,-27.86%,-27.77%,-8.91%,15.84%,-7.12%,15.92%,-29.23%,-12.89%,-20.18%,-31.87%,1.30%,-7.46%,-21.96%,-23.78%,-22.28%,-13.73%,18.24%,21.39%,20.19%,13.52%,4.00%,4.65%,35.92%,25.34%,25.19%,-,60.81%,-,-,-,-,-,-,-
Net Cash Per Share,6.77,6.90,5.71,4.19,4.24,5.32,7.63,5.68,5.78,5.81,6.57,6.12,5.01,8.22,7.55,7.65,7.33,8.08,8.09,9.68,9.39,10.09,9.19,8.10,7.74,8.48,8.16,7.79,7.34,6.15,6.44,6.18,-,3.86,-,-,-
Working Capital,"12,651","12,416","11,877","10,157","8,415","9,545","12,435","11,963","12,092","12,548","13,458","12,771","10,735","11,576","11,408","6,588","6,256","7,059","7,350","9,375","9,028","9,782","8,734","8,394","8,139","8,855","8,545","8,234","7,606","7,031","7,482","7,129",-,"4,282",-,-,"3,359"
Book Value Per Share,17.59,17.80,17.56,17.07,17.71,18.51,18.82,17.81,16.57,17.07,15.77,15.04,13.61,14.38,14.03,13.73,12.94,13.09,12.80,12.65,12.28,13.29,12.84,12.48,12.16,12.19,11.76,11.42,11.18,11.23,10.82,10.46,-,6.77,-,-,6.07
