Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.02,0.01,0.04,0.19,0.56,0.74,0.92,1.2,0
Cash & Cash Equivalents,0.02,0.01,0.04,0.19,0.56,0.74,0.92,1.2,0
Cash Growth,-96.17%,-99.19%,-95.97%,-84.16%,-,-,-,-,-
Other Current Assets,0.02,0.13,0.19,0.26,0.22,0.27,0.33,0.39,0.01
Total Current Assets,0.04,0.14,0.23,0.45,0.78,1.01,1.26,1.59,0.01
Long-Term Investments,291.53,288.56,287.66,287.53,287.52,287.51,287.51,287.5,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.13
Total Long-Term Assets,291.53,288.56,287.66,287.53,287.52,287.51,287.51,287.5,0.13
Total Assets,291.57,288.7,287.89,287.97,288.3,288.52,288.76,289.09,0.14
Accounts Payable,0.56,0.6,0.58,0.61,0.61,0.48,0.01,0.03,0.03
Current Debt,0.1,0,0,0,0,0,0,0,0.04
Other Current Liabilities,0.6,0.45,0.3,0.2,0.16,0.47,0.15,0.13,0.06
Total Current Liabilities,1.26,1.05,0.88,0.82,0.77,0.95,0.15,0.16,0.13
Other Long-Term Liabilities,10.44,10.73,11.32,12.7,16.14,16.47,19.52,16.27,0
Total Long-Term Liabilities,10.44,10.73,11.32,12.7,16.14,16.47,19.52,16.27,0
Total Liabilities,11.7,11.78,12.21,13.52,16.91,17.41,19.67,16.43,0.13
Total Debt,0.1,0,0,0,0,0,0,0,0.04
Common Stock,0,0,0,0,0,0,4.99,1.41,0.03
Retained Earnings,-11.55,-11.55,-11.88,-13.04,-16.12,-16.39,0.01,3.59,-0.01
Shareholders' Equity,-11.55,-11.55,-11.87,-13.04,-16.11,-16.39,5,5,0.01
Total Liabilities and Equity,0.14,0.24,0.33,0.47,0.8,1.02,24.67,21.43,0.14
Net Cash / Debt,-0.08,0.01,0.04,0.19,0.56,0.74,0.92,1.2,-0.04
Net Cash / Debt Growth,-,-99.19%,-95.97%,-84.16%,-,-,-,-,-
Net Cash Per Share,-0.00,0.00,0.00,0.01,0.02,0.02,0.03,0.05,-0.01
Working Capital,-1.22,-0.91,-0.65,-0.37,0.01,0.06,1.1,1.43,-0.12
Book Value Per Share,-0.32,-0.31,-0.32,-0.35,-0.44,-0.45,0.14,0.19,0.00
