Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-24
Cash & Equivalents,0.01,0.27,0.4,0.73,0.97,0,0,0
Cash & Cash Equivalents,0.01,0.27,0.4,0.73,0.97,0,0,0
Cash Growth,-98.62%,-,-,-,-,-,-,-
Receivables,0.05,0.04,0,0,0.03,0,0,0
Other Current Assets,0.3,0.38,0.44,0.46,0.36,-,-,-
Total Current Assets,0.36,0.68,0.83,1.19,1.36,-,-,-
Long-Term Investments,209.65,207.69,206.67,206.38,206.3,-,-,-
Other Long-Term Assets,0,0.03,0.11,0.2,0.29,-,-,-
Total Long-Term Assets,209.65,207.72,206.78,206.58,206.59,-,-,-
Total Assets,210.01,208.4,207.61,207.77,207.95,0.58,0.2,0.04
Accounts Payable,0,0,0,0.19,0,0.17,0.01,0
Other Current Liabilities,0.22,0.08,0.07,0.32,0.13,0.41,0.18,0.03
Total Current Liabilities,0.22,0.08,0.07,0.5,0.13,0.57,0.18,0.03
Other Long-Term Liabilities,11.28,12.82,15.65,17.57,19.95,0,0,0
Total Long-Term Liabilities,11.28,12.82,15.65,17.57,19.95,0,0,0
Total Liabilities,11.5,12.9,15.72,18.08,20.08,0.57,0.18,0.03
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-11.04,-12.1,-14.67,-16.59,-18.42,-0.02,-0.01,-0.01
Shareholders' Equity,-11.04,-12.1,-14.67,-16.59,-18.42,0,0.02,0.02
Total Liabilities and Equity,0.46,0.81,1.05,1.49,1.66,0.58,0.2,0.04
Net Cash / Debt,0.01,0.27,0.4,0.73,0.97,0,0,0
Net Cash / Debt Growth,-98.62%,-,-,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.02,0.03,0.11,-,-,-
Working Capital,0.14,0.6,0.76,0.69,1.23,-,-,-
Book Value Per Share,-0.44,-0.48,-0.58,-0.66,-2.13,0.00,0.00,-
