Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.32,0.5,0.53,0.58,0.62,0,-
Cash & Cash Equivalents,0.32,0.5,0.53,0.58,0.62,0,0
Cash Growth,-49.01%,-,-,-,-,-,-
Other Current Assets,0.59,0.6,0.61,0.63,0.64,0.29,-
Total Current Assets,0.91,1.1,1.15,1.21,1.26,0.29,-
Long-Term Investments,302.2,299,296.46,295.13,294.71,0,-
Other Long-Term Assets,0,0.08,0.23,0.38,0.53,0,-
Total Long-Term Assets,302.2,299.08,296.69,295.51,295.24,0,-
Total Assets,303.11,300.18,297.84,296.72,296.5,0.29,-
Accounts Payable,0.36,0.3,0.19,0.15,0.05,0,-
Current Debt,0,0,0,0,0,0.24,-
Other Current Liabilities,0,0,0,0,0,0.05,-
Total Current Liabilities,0.36,0.3,0.19,0.15,0.05,0.29,-
Other Long-Term Liabilities,10.81,10.81,10.81,10.81,10.81,0,-
Total Long-Term Liabilities,10.81,10.81,10.81,10.81,10.81,0,-
Total Liabilities,11.17,11.12,11,10.96,10.86,0.29,-
Total Debt,0,0,0,0,0,0.24,-
Common Stock,0,0,0,0,0,0.03,-
Retained Earnings,-10.26,-9.94,-9.62,-9.37,-9.05,-0.03,-
Shareholders' Equity,-10.26,-9.94,-9.62,-9.37,-9.05,-0,-
Total Liabilities and Equity,0.91,1.18,1.38,1.59,1.81,0.29,-
Net Cash / Debt,0.32,0.5,0.53,0.58,0.62,-0.24,0
Net Cash / Debt Growth,-49.01%,-,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.01,0.02,0.03,-0.04,-
Working Capital,0.55,0.79,0.96,1.06,1.21,-0,-
Book Value Per Share,-0.29,-0.28,-0.27,-0.26,-0.48,-,-
