Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-02-01
Cash & Equivalents,0.22,0.36,0.4,0.51,0.54,0.72,1.48,4,0,0
Cash & Cash Equivalents,0.22,0.36,0.4,0.51,0.54,0.72,1.48,4,0,0
Cash Growth,-60.08%,-50.56%,-73.05%,-87.35%,-,-,-,-,-,-
Other Current Assets,0.28,0.43,0.64,0.84,0.84,0.86,0.86,0.03,-,-
Total Current Assets,0.5,0.78,1.04,1.35,1.39,1.58,2.35,4.03,-,-
Long-Term Investments,625.16,618.55,613.36,610.66,609.66,609.61,609.56,12.19,-,-
Other Long-Term Assets,0,0,0,0,0.21,0.41,0.63,0.91,-,-
Total Long-Term Assets,625.16,618.55,613.36,610.66,609.87,610.02,610.18,13.1,-,-
Total Assets,625.66,619.33,614.4,612.01,611.25,611.6,612.53,17.13,0.64,0.07
Accounts Payable,1.28,1.25,0.15,0.12,0.09,0.06,0.03,0,0,0
Current Debt,0,0,0,0,0,0,0,0.29,0.15,0
Other Current Liabilities,0.11,0.04,1.32,1.34,1.25,1.25,0.6,16.83,0.48,0.05
Total Current Liabilities,1.39,1.3,1.47,1.46,1.34,1.31,0.63,17.12,0.63,0.05
Other Long-Term Liabilities,23.31,23.39,25.5,28.11,36.96,49.51,53.58,0,0,0
Total Long-Term Liabilities,23.31,23.39,25.5,28.11,36.96,49.51,53.58,0,0,0
Total Liabilities,24.71,24.69,26.96,29.58,38.3,50.82,54.22,17.12,0.63,0.05
Total Debt,0,0,0,0,0,0,0,0.29,0.15,0
Common Stock,0,0,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-24.21,-23.91,-25.93,-28.23,-36.55,-48.72,-51.18,-0.01,-0.01,-0
Shareholders' Equity,-24.21,-23.91,-25.93,-28.23,-36.55,-48.72,-51.18,0.01,0.01,0.02
Total Liabilities and Equity,0.5,0.78,1.04,1.35,1.75,2.1,3.03,17.13,0.64,0.07
Net Cash / Debt,0.22,0.36,0.4,0.51,0.54,0.72,1.48,3.71,-0.15,0
Net Cash / Debt Growth,-60.08%,-50.56%,-73.05%,-86.37%,-,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.28,-0.01,-
Working Capital,-0.9,-0.51,-0.43,-0.12,0.05,0.26,1.72,-13.09,-,-
Book Value Per Share,-0.32,-0.31,-0.34,-0.37,-0.48,-1.00,-0.67,0.00,0.00,0.00
