Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-02-18
Cash & Equivalents,0.52,0.8,0.98,1.21,1.49,0,0,0
Cash & Cash Equivalents,0.52,0.8,0.98,1.21,1.49,0,0,0
Cash Growth,-65.49%,-,-,-,-,-,-,-
Other Current Assets,0.23,0.32,0.38,0.43,0.39,-,-,-
Total Current Assets,0.74,1.12,1.36,1.64,1.88,-,-,-
Long-Term Investments,267.48,265.25,264.09,263.8,263.77,-,-,-
Other Long-Term Assets,0,0.02,0.07,0.13,0.23,-,-,-
Total Long-Term Assets,267.48,265.27,264.16,263.93,264,-,-,-
Total Assets,268.22,266.38,265.52,265.57,265.88,0.69,0.5,0.13
Accounts Payable,0.1,0.1,0.03,0.07,0.09,0.01,0.01,0
Current Debt,0,0,0,0,0,0.27,0.15,0
Other Current Liabilities,0.5,0.38,0.27,0.22,0.09,0.45,0.35,0.11
Total Current Liabilities,0.6,0.47,0.3,0.29,0.18,0.73,0.51,0.11
Other Long-Term Liabilities,10.42,12.03,12.32,21.23,21.77,0,0,0
Total Long-Term Liabilities,10.42,12.03,12.32,21.23,21.77,0,0,0
Total Liabilities,11.02,12.5,12.62,21.52,21.95,0.73,0.51,0.11
Total Debt,0,0,0,0,0,0.27,0.15,0
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-10.17,-11.26,-11.1,-19.72,-19.85,-0.06,-0.03,-0.01
Shareholders' Equity,-10.17,-11.26,-11.09,-19.72,-19.85,-0.04,-0.01,0.02
Total Liabilities and Equity,0.84,1.24,1.53,1.8,2.1,0.69,0.5,0.13
Net Cash / Debt,0.52,0.8,0.98,1.21,1.49,-0.27,-0.15,0
Net Cash / Debt Growth,-65.49%,-,-,-,-,-,-,-
Net Cash Per Share,0.02,0.02,0.03,0.04,0.14,-0.04,-0.02,-
Working Capital,0.14,0.65,1.06,1.35,1.7,-,-,-
Book Value Per Share,-0.31,-0.34,-0.34,-0.60,-1.82,-0.01,-0.00,-
