Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-05
Cash & Equivalents,0.05,0.29,0.33,0.71,1,0.03,0.04,0.03
Cash & Cash Equivalents,0.05,0.29,0.33,0.71,1,0.03,0.04,0.03
Cash Growth,-94.61%,1066.10%,682.43%,2753.87%,-,-,-,-
Other Current Assets,0.43,0.53,0.58,0.41,0.41,5.13,-,-
Total Current Assets,0.49,0.82,0.9,1.12,1.41,5.16,-,-
Long-Term Investments,237.54,233.2,232.69,232.32,232.3,0,-,-
Other Long-Term Assets,0,0.05,0.15,0.26,0.36,0,-,-
Total Long-Term Assets,237.54,233.25,232.85,232.57,232.66,0,-,-
Total Assets,238.03,234.08,233.75,233.69,234.07,5.16,0.5,0.17
Accounts Payable,0.08,0.02,0.01,0.02,0.03,0.18,0.03,0.03
Other Current Liabilities,1.01,0.3,0.16,0.12,0.26,5.07,0.49,0.13
Total Current Liabilities,1.09,0.31,0.17,0.14,0.29,5.25,0.52,0.16
Other Long-Term Liabilities,11.24,10.12,14.49,15.23,19.97,0,0,0
Total Long-Term Liabilities,11.24,10.12,14.49,15.23,19.97,0,0,0
Total Liabilities,12.33,10.43,14.66,15.37,20.26,5.25,0.52,0.16
Common Stock,0,0,0,0,0,0.04,0.04,0.03
Retained Earnings,-11.43,-9.42,-13.28,-13.97,-18.49,-0.13,-0.07,-0.01
Shareholders' Equity,-11.43,-9.42,-13.28,-13.97,-18.49,-0.09,-0.02,0.02
Total Liabilities and Equity,0.9,1.01,1.37,1.39,1.77,5.16,0.5,0.17
Net Cash / Debt,0.05,0.29,0.33,0.71,1,0.03,0.04,0.03
Net Cash / Debt Growth,-94.61%,1066.10%,682.43%,2753.87%,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.02,-,0.01,0.01,-
Working Capital,-0.61,0.51,0.73,0.98,1.12,-0.09,-,-
Book Value Per Share,-0.40,-0.33,-0.46,-0.49,-1.93,-0.02,-0.01,-
