Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.06,0.2,0.01,0.1,0.15,0.22,1.31,1.38,0
Short-Term Investments,0.55,0.5,0.5,0.68,1,1,0,0,0
Cash & Cash Equivalents,0.61,0.7,0.51,0.78,1.15,1.22,1.31,1.38,0
Cash Growth,-46.96%,-42.69%,-60.85%,-43.38%,32577.80%,-,-,-,-
Other Current Assets,0.03,0.09,0.17,0.24,0.22,0.22,0.36,0.44,0
Total Current Assets,0.64,0.79,0.68,1.02,1.38,1.44,1.67,1.82,0
Long-Term Investments,303.51,301.36,300.43,300.05,300.03,300.02,300.01,300,0
Other Long-Term Assets,0,0,0,0,0.03,0.08,0,0,0.03
Total Long-Term Assets,303.51,301.36,300.43,300.05,300.05,300.09,300.01,300,0.03
Total Assets,304.15,302.16,301.11,301.07,301.43,301.53,301.68,301.83,0.03
Accounts Payable,0.05,0.02,0.02,0.15,0.32,0.03,0,0,0
Current Debt,0,0,0,0,0,0,0,0,0.01
Other Current Liabilities,0.4,0.22,0.02,0,0,0.26,0.2,0.13,0
Total Current Liabilities,0.45,0.24,0.04,0.15,0.32,0.29,0.2,0.13,0.01
Other Long-Term Liabilities,10.6,10.74,11.74,12.96,15.27,17.35,19.74,15.89,0
Total Long-Term Liabilities,10.6,10.74,11.74,12.96,15.27,17.35,19.74,15.89,0
Total Liabilities,11.04,10.98,11.78,13.12,15.6,17.64,19.94,16.02,0.01
Total Debt,0,0,0,0,0,0,0,0,0.01
Common Stock,0,0,0,0,0,0,6.55,2.49,0.03
Retained Earnings,-10.1,-9.96,-10.8,-12.05,-14.17,-16.11,-1.55,2.51,-0
Shareholders' Equity,-10.1,-9.96,-10.8,-12.04,-14.17,-16.11,5,5,0.02
Total Liabilities and Equity,0.94,1.03,0.99,1.07,1.43,1.53,24.94,21.02,0.03
Net Cash / Debt,0.61,0.7,0.51,0.78,1.15,1.22,1.31,1.38,-0.01
Net Cash / Debt Growth,-46.96%,-42.69%,-60.85%,-43.38%,-,-,-,-,-
Net Cash Per Share,0.02,0.02,0.01,0.02,0.03,0.03,0.03,0.07,-0.00
Working Capital,0.19,0.55,0.63,0.87,1.05,1.15,1.47,1.7,-0.01
Book Value Per Share,-0.26,-0.26,-0.28,-0.31,-0.37,-0.42,0.13,0.25,0.00
