Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.39,0.53,0.62,0.64,0,0
Cash & Cash Equivalents,0.39,0.53,0.62,0.64,0,0
Cash Growth,18011.09%,88308.35%,-,-,-,-
Other Current Assets,0,0,0,0,0.29,-
Total Current Assets,0.39,0.53,0.62,0.64,0.29,-
Long-Term Investments,104.16,103.23,102.76,102.65,0,-
Total Long-Term Assets,104.16,103.23,102.76,102.65,0,-
Total Assets,104.55,103.76,103.38,103.29,0.29,0.26
Accounts Payable,0.2,0.18,0.01,0,0,0
Current Debt,0,0,0,0,0.13,0.12
Other Current Liabilities,1.13,0.13,0.14,0.05,0.15,0.11
Total Current Liabilities,1.33,0.31,0.15,0.05,0.28,0.23
Other Long-Term Liabilities,3.56,3.56,3.56,3.56,0,0
Total Long-Term Liabilities,3.56,3.56,3.56,3.56,0,0
Total Liabilities,4.89,3.86,3.7,3.6,0.28,0.23
Total Debt,0,0,0,0,0.13,0.12
Common Stock,0,0,0,0,0.03,0.03
Retained Earnings,-4.29,-3.13,-2.93,-2.92,-0.02,0
Shareholders' Equity,-4.29,-3.13,-2.93,-2.92,0,0.03
Total Liabilities and Equity,0.59,0.73,0.77,0.68,0.29,0.26
Net Cash / Debt,0.39,0.53,0.62,0.64,-0.13,-0.12
Net Cash Per Share,0.03,0.04,0.05,0.05,-0.05,-0.05
Working Capital,-0.94,0.22,0.47,0.59,0,-
Book Value Per Share,-0.33,-0.23,-0.22,-0.25,0.00,0.01
