Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Cash & Equivalents,0.1,0.2,0.34,0.47,0.66,0
Cash & Cash Equivalents,0.1,0.2,0.34,0.47,0.66,0
Cash Growth,-85.41%,-,-,-,-,-
Receivables,0.03,0.03,0.03,0.03,0.03,0
Other Current Assets,0.1,0.21,0.32,0.41,0.37,-
Total Current Assets,0.23,0.44,0.68,0.91,1.05,-
Long-Term Investments,148.74,147.5,146.84,146.64,146.63,-
Other Long-Term Assets,0,0,0,0.01,0.1,-
Total Long-Term Assets,148.74,147.5,146.84,146.66,146.73,-
Total Assets,148.97,147.94,147.52,147.57,147.79,0.4
Accounts Payable,0.22,0.13,0.19,0.1,0.05,0.01
Current Debt,0,0,0,0,0,0.16
Other Current Liabilities,0,0,0,0,0,0.24
Total Current Liabilities,0.22,0.13,0.19,0.1,0.05,0.41
Other Long-Term Liabilities,8.52,7.98,10.51,10.76,13.72,0
Total Long-Term Liabilities,8.52,7.98,10.51,10.76,13.72,0
Total Liabilities,8.74,8.12,10.7,10.87,13.77,0.41
Total Debt,0,0,0,0,0,0.16
Common Stock,0,0,0,0,0,0.03
Retained Earnings,-8.51,-7.68,-10.01,-9.94,-12.61,-0.04
Shareholders' Equity,-8.51,-7.68,-10.01,-9.94,-12.61,-0.01
Total Liabilities and Equity,0.23,0.44,0.68,0.93,1.16,0.4
Net Cash / Debt,0.1,0.2,0.34,0.47,0.66,-0.16
Net Cash / Debt Growth,-85.41%,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.02,0.02,0.09,-0.04
Working Capital,0,0.31,0.5,0.81,1,-
Book Value Per Share,-0.44,-0.40,-0.52,-0.51,-1.70,-0.00
