Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-22
Cash & Equivalents,0.08,0.48,0.48,0.36,0.29,0.37,0.69,0.99,0.03
Cash & Cash Equivalents,0.08,0.48,0.48,0.36,0.29,0.37,0.69,0.99,0.03
Cash Growth,-73.73%,31.10%,-30.28%,-63.87%,1072.61%,-,-,-,-
Receivables,0,0,0,0.27,0.68,0.01,0,0,0
Other Current Assets,0.1,-0.19,-0.18,-0.07,0.1,0.21,0.31,0.41,0.05
Total Current Assets,0.18,0.29,0.31,0.55,1.07,0.58,1,1.4,0.08
Long-Term Investments,7.61,7.55,15.81,15.79,106.12,106.11,106.11,101,0
Other Long-Term Assets,0,0.19,0.28,0.28,0,0,0,0,0
Total Long-Term Assets,7.61,7.74,16.09,16.07,106.12,106.11,106.11,101,0
Total Assets,7.79,8.03,16.4,16.62,107.19,106.69,107.11,102.4,0.08
Accounts Payable,0.52,0.42,0.13,0.1,0.1,0,0,0,0
Other Current Liabilities,-0,0,0,0,0,0,0,0,0.05
Total Current Liabilities,0.52,0.42,0.13,0.1,0.1,0,0,0,0.05
Other Long-Term Liabilities,3.71,4.88,5.29,4.87,8.8,8.54,9.54,10.28,0
Total Long-Term Liabilities,3.71,4.88,5.29,4.87,8.8,8.54,9.54,10.28,0
Total Liabilities,4.23,5.3,5.42,4.97,8.9,8.54,9.54,10.28,0.05
Common Stock,-10.14,-10.14,-10.14,-10.15,-10.14,-4.74,1.35,1.41,0.03
Retained Earnings,6.21,5.37,5.33,6.01,2.32,2.54,1.96,1.52,-
Shareholders' Equity,-3.93,-4.77,-4.81,-4.13,-7.82,-2.2,3.31,2.92,0.03
Total Liabilities and Equity,0.29,0.53,0.61,0.84,1.07,6.33,12.85,13.2,0.08
Net Cash / Debt,0.08,0.48,0.48,0.36,0.29,0.37,0.69,0.99,0.03
Net Cash / Debt Growth,-73.73%,31.10%,-30.28%,-63.87%,1072.61%,-,-,-,-
Net Cash Per Share,0.01,0.11,0.11,0.03,0.02,0.03,0.05,0.25,-
Working Capital,-0.34,-0.13,0.18,0.45,0.97,0.58,1,1.4,0.03
Book Value Per Share,-0.63,-1.07,-1.06,-0.33,-0.59,-0.16,0.25,0.75,0.00
