Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0,0,0.05,0,0.06,0.89,1.29,1.31,0
Cash & Cash Equivalents,0,0,0.05,0,0.06,0.89,1.29,1.31,0
Cash Growth,-98.49%,-99.89%,-95.92%,-99.98%,-,-,-,-,-
Other Current Assets,0.03,0.12,0.21,0.3,0.32,0.45,0.19,0.28,0
Total Current Assets,0.03,0.12,0.26,0.3,0.38,1.34,1.49,1.59,0
Long-Term Investments,233.3,231.37,230.35,230.06,230.04,230.02,230.01,230,0
Other Long-Term Assets,0,0,0.14,0.12,0.09,0,0,0,0.09
Total Long-Term Assets,233.3,231.37,230.49,230.18,230.13,230.02,230.01,230,0.09
Total Assets,233.34,231.49,230.75,230.48,230.51,231.36,231.5,231.59,0.1
Accounts Payable,0.11,0.06,0.05,0.25,0.06,0.84,0.05,0.01,0
Current Debt,0.32,0.32,0.32,0,0,0,0,0,0.06
Other Current Liabilities,0.03,0.01,0,0.05,0.13,0.08,0.19,0.07,0.03
Total Current Liabilities,0.46,0.39,0.37,0.3,0.19,0.91,0.24,0.08,0.08
Other Long-Term Liabilities,2.85,3.48,9.02,9.86,14.08,17.22,19.03,19.2,0
Total Long-Term Liabilities,2.85,3.48,9.02,9.86,14.08,17.22,19.03,19.2,0
Total Liabilities,3.3,3.87,9.39,10.16,14.27,18.13,19.27,19.28,0.08
Total Debt,0.32,0.32,0.32,0,0,0,0,0,0.06
Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,5.88,5.8,0.03
Retained Earnings,-3.18,-3.66,-8.89,-9.69,-13.77,-16.78,-0.88,-0.8,-0.01
Shareholders' Equity,-3.17,-3.65,-8.88,-9.68,-13.76,-16.78,5,5,0.01
Total Liabilities and Equity,0.13,0.22,0.5,0.48,0.51,1.36,24.27,24.28,0.1
Net Cash / Debt,-0.32,-0.32,-0.27,0,0.06,0.89,1.29,1.31,-0.06
Net Cash / Debt Growth,-,-,-,-99.98%,-,-,-,-,-
Net Cash Per Share,-0.01,-0.01,-0.01,0.00,0.00,0.03,0.04,0.08,-0.01
Working Capital,-0.42,-0.27,-0.11,-0,0.19,0.43,1.25,1.5,-0.08
Book Value Per Share,-0.11,-0.13,-0.30,-0.33,-0.47,-0.57,0.17,0.32,0.00
