Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.69,0.68,0.72,0.78,0.9,0.17,-,-,0
Short-Term Investments,118.38,117.42,116.9,0,0,-,-,-,0
Cash & Cash Equivalents,119.06,118.11,117.62,0.78,0.9,0.17,0,0,0
Cash Growth,13145.70%,70177.86%,-,-,-,-,-,-,-
Other Current Assets,0.15,0.21,0.27,0.33,0.34,-,-,-,0
Total Current Assets,119.22,118.31,117.89,1.12,1.24,-,-,-,0
Long-Term Investments,0,0,0,116.74,116.73,-,-,-,0
Total Long-Term Assets,0,0,0,116.74,116.73,-,-,-,0
Total Assets,119.22,118.31,117.89,117.86,117.96,0.29,-,-,0
Current Debt,0,0,0,0,0,0.2,-,-,0
Other Current Liabilities,0.65,0.3,0.18,0.16,0.11,0.06,-,-,0
Total Current Liabilities,0.65,0.3,0.18,0.16,0.11,0.26,-,-,0
Other Long-Term Liabilities,117.81,117.17,116.8,116.73,116.73,0,-,-,0
Total Long-Term Liabilities,117.81,117.17,116.8,116.73,116.73,0,-,-,0
Total Liabilities,118.46,117.47,116.98,116.89,116.84,0.26,-,-,0
Total Debt,0,0,0,0,0,0.2,-,-,0
Common Stock,0.21,0.85,1.22,1.29,1.29,0.03,-,-,0
Retained Earnings,0.55,-0,-0.31,-0.32,-0.17,-0,-,-,-0
Shareholders' Equity,0.76,0.84,0.91,0.97,1.12,0.02,-,-,-0
Total Liabilities and Equity,119.22,118.31,117.89,117.86,117.96,0.29,-,-,-
Net Cash / Debt,119.06,118.11,117.62,0.78,0.9,-0.03,0,0,0
Net Cash / Debt Growth,13145.70%,-,-,-,-,-,-,-,-
Net Cash Per Share,8.03,7.96,7.93,0.05,0.26,-0.01,-,-,-
Working Capital,118.57,118.01,117.71,0.95,1.12,-,-,-,-0
Book Value Per Share,0.05,0.06,0.06,0.07,0.33,0.01,-,-,-
