Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Cash & Equivalents,0.55,0.57,0.66,1.27,0
Cash & Cash Equivalents,0.55,0.57,0.66,1.27,0
Other Current Assets,0.22,0.21,0.27,0.2,0
Total Current Assets,0.76,0.79,0.94,1.47,0
Long-Term Investments,127.78,126.72,126.15,125.98,0
Other Long-Term Assets,0.04,0.08,0.13,0.18,0.18
Total Long-Term Assets,127.82,126.8,126.28,126.16,0.18
Total Assets,128.58,127.59,127.22,127.62,0.18
Accounts Payable,0.44,0.4,0.14,0.51,0
Current Debt,0.13,0.13,0.13,0.13,0.13
Other Current Liabilities,0.34,0.01,0.01,0.02,0.03
Total Current Liabilities,0.91,0.53,0.27,0.66,0.16
Other Long-Term Liabilities,4.32,4.32,4.32,4.32,0
Total Long-Term Liabilities,4.32,4.32,4.32,4.32,0
Total Liabilities,5.23,4.86,4.6,4.98,0.16
Total Debt,0.13,0.13,0.13,0.13,0.13
Debt Growth,-0.74%,-,-,-,-
Common Stock,0,0,0,0,0.03
Retained Earnings,-3.9,-3.71,-3.35,-3.33,-0
Shareholders' Equity,-3.89,-3.71,-3.35,-3.33,0.02
Total Liabilities and Equity,1.34,1.15,1.25,1.65,0.18
Net Cash / Debt,0.42,0.45,0.54,1.14,-0.13
Net Cash Per Share,0.03,0.03,0.03,0.23,-
Working Capital,-0.15,0.25,0.66,0.81,-0.16
Book Value Per Share,-0.30,-0.24,-0.21,-0.66,0.01
