Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.77,1.01,0.07,0.27,0.84,0.96,1.07,0.07,0.05
Cash & Cash Equivalents,0.77,1.01,0.07,0.27,0.84,0.96,1.07,0.07,0.05
Cash Growth,-8.49%,5.71%,-93.78%,299.07%,1677.18%,-,-,-,-
Other Current Assets,0.25,0.27,0.47,0.67,0.77,0.95,1.13,1.32,0
Total Current Assets,1.01,1.28,0.54,0.94,1.61,1.91,2.2,1.39,0.05
Long-Term Investments,94.33,867.07,863.85,862.62,862.55,862.53,862.52,862.51,0
Other Long-Term Assets,0,0,0,0,0,0,0,0,0.28
Total Long-Term Assets,94.33,867.07,863.85,862.62,862.55,862.53,862.52,862.51,0.28
Total Assets,95.34,868.36,864.38,863.56,864.16,864.44,864.72,863.89,0.33
Accounts Payable,0.4,0.02,0.01,0.02,0.01,0.27,0.15,0.27,0.12
Current Debt,0.93,0.91,0,0,0,0,0,0,0.17
Other Current Liabilities,0.04,0.71,0.24,0.05,0.36,0.7,0.64,0.49,0.02
Total Current Liabilities,1.38,1.65,0.25,0.08,0.37,0.97,0.79,0.76,0.31
Long-Term Debt,0,0,1.39,1.35,1.39,1.38,1.68,0,0
Other Long-Term Liabilities,7.83,34.73,39.23,48.37,61.41,63.55,82.9,73.09,0
Total Long-Term Liabilities,7.83,34.73,40.62,49.72,62.81,64.94,84.58,73.09,0
Total Liabilities,9.21,36.38,40.87,49.8,63.18,65.9,85.37,73.86,0.31
Total Debt,0.93,0.91,1.39,1.35,1.39,1.38,1.68,0,0.17
Debt Growth,-33.09%,-34.04%,-17.29%,-,719.38%,-,-,-,-
Common Stock,0,0,0,0,0,0,20.87,10.19,0.03
Retained Earnings,-8.27,-34.29,-39.71,-48.74,-61.52,-63.97,-15.87,-5.19,-0.01
Shareholders' Equity,-8.27,-34.29,-39.71,-48.74,-61.52,-63.96,5,5,0.02
Total Liabilities and Equity,0.94,2.09,1.16,1.06,1.66,1.94,90.37,78.86,0.33
Net Cash / Debt,-0.17,0.1,-1.32,-1.08,-0.56,-0.43,-0.61,0.07,-0.12
Net Cash Per Share,-0.00,0.00,-0.01,-0.01,-0.01,-0.00,-0.01,0.00,-0.01
Working Capital,-0.36,-0.36,0.29,0.86,1.24,0.94,1.41,0.62,-0.26
Book Value Per Share,-0.09,-0.32,-0.37,-0.45,-0.57,-0.59,0.05,0.07,0.00
