Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-21
Cash & Equivalents,0.02,0.22,0.15,0.23,0.43,0.51,1.01
Cash & Cash Equivalents,0.02,0.22,0.15,0.23,0.43,0.51,1.01
Cash Growth,-95.52%,-56.38%,-85.26%,-,-,-,-
Other Current Assets,0.03,0.06,0.11,0.13,0.17,0.12,0
Total Current Assets,0.05,0.29,0.26,0.35,0.6,0.64,1.01
Long-Term Investments,71.42,70.1,69.74,69.69,69.69,69.69,0
Other Long-Term Assets,0,0,0,0,0,0.1,0.16
Total Long-Term Assets,71.42,70.1,69.74,69.69,69.69,69.79,0.16
Total Assets,71.47,70.39,70,70.05,70.29,70.43,1.17
Accounts Payable,1.28,0.62,0.34,0.18,0.24,0.1,0.01
Current Debt,0,0,0,0,0,0,1.14
Other Current Liabilities,0.16,0.06,0,0,0,0,0.01
Total Current Liabilities,1.43,0.68,0.34,0.18,0.24,0.1,1.16
Other Long-Term Liabilities,0.3,0.24,0.26,0.33,0.42,6.29,0
Total Long-Term Liabilities,0.3,0.24,0.26,0.33,0.42,6.29,0
Total Liabilities,1.74,0.92,0.6,0.5,0.66,6.39,1.16
Total Debt,0,0,0,0,0,0,1.14
Common Stock,0.03,2.72,5.76,8.8,11.84,5.29,0.02
Retained Earnings,-1.27,-0.45,-0.51,-0.37,-0.28,-0.51,-0
Shareholders' Equity,-1.24,2.27,5.25,8.43,11.56,4.78,0.01
Total Liabilities and Equity,0.49,3.2,5.85,8.94,12.22,11.18,1.17
Net Cash / Debt,0.02,0.22,0.15,0.23,0.43,0.51,-0.14
Net Cash / Debt Growth,-95.52%,-56.38%,-,-,-,-,-
Net Cash Per Share,0.00,0.02,0.02,0.02,0.09,0.16,-0.05
Working Capital,-1.39,-0.39,-0.08,0.18,0.36,0.54,-0.15
Book Value Per Share,-0.13,0.24,0.56,0.90,2.42,1.52,0.01
