Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Cash & Equivalents,0.01,0.03,0.09,0.14,0.41,0.56,0,-,0
Cash & Cash Equivalents,0.01,0.03,0.09,0.14,0.41,0.56,0,0,0
Cash Growth,-96.39%,-94.15%,2364.51%,-,-,-,-,-,-
Other Current Assets,0.31,0.43,0.48,0.51,0.48,0.5,-,-,0
Total Current Assets,0.32,0.47,0.57,0.65,0.89,1.06,-,-,0
Long-Term Investments,175.17,173.78,173.21,172.95,172.92,172.91,-,-,0
Other Long-Term Assets,0,0,0.07,0.19,0.3,0.41,-,-,0.03
Total Long-Term Assets,175.17,173.78,173.28,173.13,173.22,173.32,-,-,0.03
Total Assets,175.49,174.25,173.85,173.78,174.1,174.38,0.16,-,0.03
Current Debt,0,0,0,0,0,0,0.12,-,0
Other Current Liabilities,0.79,0.2,0.18,0.13,0.24,0.02,0.01,-,0.01
Total Current Liabilities,0.79,0.2,0.18,0.13,0.24,0.02,0.13,-,0.01
Total Liabilities,0.79,0.2,0.18,0.13,0.24,0.02,0.13,-,0.01
Total Debt,0,0,0,0,0,0,0.12,-,0
Common Stock,0,0.87,1.46,1.53,1.53,1.53,0.03,-,0.03
Retained Earnings,0.06,-0.38,-0.76,-0.77,-0.56,-0.06,-0,-,-0
Shareholders' Equity,0.06,0.49,0.7,0.75,0.96,1.46,0.03,-,0.02
Total Liabilities and Equity,0.85,0.7,0.88,0.88,1.21,1.48,0.16,-,0.03
Net Cash / Debt,0.01,0.03,0.09,0.14,0.41,0.56,-0.12,0,0
Net Cash / Debt Growth,-96.39%,-94.15%,-,-,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.00,0.01,0.04,0.06,-0.03,-,-
Working Capital,-0.47,0.26,0.39,0.52,0.64,1.04,-,-,-0.01
Book Value Per Share,0.00,0.02,0.03,0.03,0.09,0.14,0.01,-,0.01
