Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-01
Cash & Equivalents,0.48,0.58,0.9,1.22,2.63,0.03,-,0.03
Cash & Cash Equivalents,0.48,0.58,0.9,1.22,2.63,0.03,0,0.03
Cash Growth,-81.81%,2213.86%,-,4762.44%,-,-,-,-
Other Current Assets,0.59,0.56,0.59,0.61,0.57,0,-,0
Total Current Assets,1.07,1.14,1.48,1.83,3.2,0.03,-,0.03
Long-Term Investments,356.98,354,352.41,351.94,351.9,0,-,0
Other Long-Term Assets,0,0.09,0.23,0.36,0.5,0.38,-,0.08
Total Long-Term Assets,356.98,354.09,352.64,352.3,352.4,0.38,-,0.08
Total Assets,358.05,355.23,354.12,354.13,355.6,0.41,-,0.1
Accounts Payable,1.28,0.67,0.28,0.41,1.32,0,-,0
Current Debt,0,0,0,0,0,0.19,-,0
Other Current Liabilities,0,0,0,0,0.3,0.2,-,0.08
Total Current Liabilities,1.28,0.67,0.28,0.41,1.62,0.38,-,0.08
Other Long-Term Liabilities,13.63,14.47,16.54,21.66,37.91,0,-,0
Total Long-Term Liabilities,13.63,14.47,16.54,21.66,37.91,0,-,0
Total Liabilities,14.91,15.14,16.82,22.07,39.53,0.38,-,0.08
Total Debt,0,0,0,0,0,0.19,-,0
Common Stock,0,0,0,0,0,0.03,-,0.03
Retained Earnings,-13.84,-13.9,-14.6,-19.84,-35.83,-0,-,-0
Shareholders' Equity,-13.84,-13.9,-14.6,-19.84,-35.83,0.02,-,0.02
Total Liabilities and Equity,1.07,1.23,2.22,2.23,3.7,0.41,-,0.1
Net Cash / Debt,0.48,0.58,0.9,1.22,2.63,-0.16,0,0.03
Net Cash / Debt Growth,-81.81%,-,-,4762.44%,-,-,-,-
Net Cash Per Share,0.01,0.01,0.02,0.03,0.26,-0.02,-,-
Working Capital,-0.22,0.48,1.2,1.42,1.59,-0.36,-,-0.05
Book Value Per Share,-0.32,-0.32,-0.34,-0.46,-3.53,0.00,-,-
