Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.44,0.46,0.51,0.66,0.74,0.85,1.59,0
Cash & Cash Equivalents,0.44,0.46,0.51,0.66,0.74,0.85,1.59,0
Cash Growth,-40.02%,-45.17%,-67.69%,-,-,-,-,-
Other Current Assets,0.28,0.51,0.74,0.95,1.12,1.36,1.59,-
Total Current Assets,0.73,0.97,1.25,1.62,1.86,2.2,3.17,-
Long-Term Investments,277.95,276.01,275.14,275.02,275.01,275.01,275,-
Total Long-Term Assets,277.95,276.01,275.14,275.02,275.01,275.01,275,-
Total Assets,278.67,276.98,276.39,276.64,276.87,277.21,278.17,0.2
Accounts Payable,0.29,0.24,0.2,0.12,0.09,0.07,0.09,0.03
Current Debt,0,0,0,0,0,0,0,0.03
Other Current Liabilities,1.54,0.23,0.21,0.3,0.21,0.15,0.8,0.14
Total Current Liabilities,1.83,0.47,0.41,0.42,0.3,0.22,0.89,0.2
Other Long-Term Liabilities,3.61,9.63,9.63,9.63,9.63,9.63,9.63,0
Total Long-Term Liabilities,3.61,9.63,9.63,9.63,9.63,9.63,9.63,0
Total Liabilities,5.44,10.09,10.04,10.04,9.92,9.85,10.51,0.2
Total Debt,0,0,0,0,0,0,0,0.03
Common Stock,0,0,0,0,0,0,5.34,0.03
Retained Earnings,-4.61,-9.02,-8.69,-8.41,-8.05,-7.64,-0.34,-0.03
Shareholders' Equity,-4.61,-9.02,-8.69,-8.41,-8.05,-7.64,5,-0
Total Liabilities and Equity,0.83,1.07,1.35,1.64,1.87,2.21,15.51,0.2
Net Cash / Debt,0.44,0.46,0.51,0.66,0.74,0.85,1.59,-0.03
Net Cash / Debt Growth,-40.02%,-45.17%,-67.69%,-,-,-,-,-
Net Cash Per Share,0.01,0.01,0.01,0.02,0.03,0.02,0.09,-0.01
Working Capital,-1.1,0.51,0.84,1.2,1.56,1.98,2.28,-
Book Value Per Share,-0.13,-0.26,-0.25,-0.24,-0.30,-0.22,0.29,-
