Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Cash & Equivalents,0,0.02,0,0,0.19,0.31,0.71,1.07,0,0
Cash & Cash Equivalents,0,0.02,0,0,0.19,0.31,0.71,1.07,0,0
Cash Growth,-99.49%,-95.10%,-99.97%,-99.93%,570588.24%,-,-,-,-,-
Other Current Assets,0,0.01,0.05,0.08,0.06,0.1,0.09,0.22,0,-
Total Current Assets,0,0.03,0.05,0.09,0.26,0.41,0.8,1.28,0,-
Long-Term Investments,153.98,153.18,152,151.79,151.78,151.77,151.77,151.76,0,-
Other Long-Term Assets,0,0,0,0,0,0.03,0.09,0,0.18,-
Total Long-Term Assets,153.98,153.18,152,151.79,151.78,151.8,151.86,151.76,0.18,-
Total Assets,153.98,153.21,152.04,151.88,152.03,152.21,152.65,153.05,0.18,0.14
Accounts Payable,0.39,0.26,0.24,0.5,0.12,0.09,0.1,0.13,0,0
Current Debt,2.25,2.25,1.5,1,1,0,0,0,0.14,0.11
Other Current Liabilities,0.26,0.69,0.19,0.26,0.39,0.19,0.12,0.15,0.01,0
Total Current Liabilities,2.9,3.2,1.93,1.77,1.51,0.28,0.23,0.28,0.15,0.11
Other Long-Term Liabilities,5.38,5.96,5.96,7.56,12.22,13.01,15.33,16.08,0,0
Total Long-Term Liabilities,5.38,5.96,5.96,7.56,12.22,13.01,15.33,16.08,0,0
Total Liabilities,8.28,9.16,7.89,9.32,13.72,13.29,15.56,16.36,0.15,0.11
Total Debt,2.25,2.25,1.5,1,1,0,0,0,0.14,0.11
Debt Growth,124.75%,-,-,-,606.96%,-,-,-,-,-
Common Stock,0,0,0,0,0,0,1.63,2.04,0.03,0.03
Retained Earnings,-8.22,-8.91,-7.59,-9.19,-13.43,-12.82,3.37,2.96,-0,-0
Shareholders' Equity,-8.22,-8.91,-7.59,-9.19,-13.43,-12.82,5,5,0.02,0.02
Total Liabilities and Equity,0.05,0.25,0.3,0.13,0.29,0.47,20.56,21.36,0.18,0.14
Net Cash / Debt,-2.25,-2.23,-1.5,-1,-0.81,0.31,0.71,1.07,-0.14,-0.11
Net Cash Per Share,-0.12,-0.12,-0.08,-0.05,-0.04,0.02,0.04,0.06,-0.04,-0.04
Working Capital,-2.9,-3.17,-1.88,-1.68,-1.25,0.13,0.57,1.01,-0.15,-
Book Value Per Share,-0.44,-0.48,-0.41,-0.49,-0.72,-0.69,0.27,0.27,0.01,0.01
