Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,0.3,0.39,0.42,0.53,0.7,0.78,0.84,0.04,0
Cash & Cash Equivalents,0.3,0.39,0.42,0.53,0.7,0.78,0.84,0.04,0
Cash Growth,-57.94%,-50.36%,-50.38%,1161.57%,-,-,-,-,-
Other Current Assets,0.13,0.16,0.25,0.33,0.42,0.46,0.54,0,-
Total Current Assets,0.43,0.54,0.67,0.86,1.13,1.24,1.38,0.04,-
Long-Term Investments,153.29,151.6,150.38,149.72,149.48,149.53,149.51,0,-
Other Long-Term Assets,0,0,0,0,0,0,0,0.32,-
Total Long-Term Assets,153.29,151.6,150.38,149.72,149.48,149.53,149.51,0.32,-
Total Assets,153.72,152.14,151.05,150.58,150.61,150.77,150.9,0.36,0.1
Accounts Payable,0.13,0.1,0.07,0.04,0.09,0.01,0,0,0.06
Current Debt,0,0,0,0,0,0,0,0.15,0
Other Current Liabilities,2.83,2.78,2.7,2.76,2.75,2.7,0.23,0.2,0.03
Total Current Liabilities,2.96,2.88,2.78,2.81,2.84,2.72,0.23,0.35,0.08
Other Long-Term Liabilities,2.62,2.62,2.62,5.23,5.23,5.23,5.23,0,0
Total Long-Term Liabilities,2.62,2.62,2.62,5.23,5.23,5.23,5.23,0,0
Total Liabilities,5.58,5.49,5.39,8.04,8.07,7.95,5.46,0.35,0.08
Total Debt,0,0,0,0,0,0,0,0.15,0
Common Stock,0,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-5.05,-4.85,-4.62,-7.08,-6.96,-6.68,-4.06,-0.02,-0.01
Shareholders' Equity,-5.05,-4.85,-4.62,-7.08,-6.96,-6.68,-4.06,0.01,0.02
Total Liabilities and Equity,0.53,0.64,0.77,0.96,1.11,1.27,1.4,0.36,0.1
Net Cash / Debt,0.3,0.39,0.42,0.53,0.7,0.78,0.84,-0.11,0
Net Cash / Debt Growth,-57.94%,-50.36%,-50.38%,-,-,-,-,-,-
Net Cash Per Share,0.02,0.02,0.02,0.03,0.04,0.07,0.05,-0.03,-
Working Capital,-2.54,-2.34,-2.11,-1.94,-1.71,-1.48,1.16,-0.31,-
Book Value Per Share,-0.26,-0.25,-0.24,-0.37,-0.36,-0.56,-0.24,0.00,0.01
