Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-01
Cash & Equivalents,0.98,1.08,0.99,1.11,1.29,1.76,1.89,0.03,0.03
Cash & Cash Equivalents,0.98,1.08,0.99,1.11,1.29,1.76,1.89,0.03,0.03
Cash Growth,-24.59%,-38.67%,-47.90%,4320.18%,5072.32%,-,-,-,-
Other Current Assets,0.17,0.29,0.37,0.43,0.45,0.4,0.38,-,-
Total Current Assets,1.14,1.37,1.36,1.53,1.75,2.16,2.28,-,-
Long-Term Investments,286.43,283.48,281.82,280.56,280.22,280.14,280.1,-,-
Other Long-Term Assets,0,0,0,0.07,0.16,0.26,0.35,-,-
Total Long-Term Assets,286.43,283.48,281.82,280.62,280.39,280.39,280.45,-,-
Total Assets,287.57,284.85,283.18,282.16,282.13,282.55,282.73,0.28,0.04
Accounts Payable,0.12,0.12,0.14,0.11,0.11,0.32,0,0,0
Current Debt,0,0,0,0,0,0,0,0.08,0
Other Current Liabilities,1.01,0.39,0.29,0.04,0,0,0.13,0.18,0.02
Total Current Liabilities,1.13,0.51,0.43,0.15,0.11,0.32,0.13,0.26,0.02
Other Long-Term Liabilities,10.84,11.51,12.93,13.07,18.67,23.92,23.11,0,0
Total Long-Term Liabilities,10.84,11.51,12.93,13.07,18.67,23.92,23.11,0,0
Total Liabilities,11.97,12.01,13.36,13.22,18.79,24.23,23.24,0.26,0.02
Total Debt,0,0,0,0,0,0,0,0.08,0
Common Stock,0,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-9.77,-10.2,-11.38,-11.31,-16.75,-21.78,-20.61,-0,-0
Shareholders' Equity,-9.77,-10.19,-11.38,-11.31,-16.75,-21.78,-20.61,0.02,0.02
Total Liabilities and Equity,2.2,1.82,1.98,1.91,2.03,2.45,2.63,0.28,0.04
Net Cash / Debt,0.98,1.08,0.99,1.11,1.29,1.76,1.89,-0.05,0.03
Net Cash / Debt Growth,-24.59%,-38.67%,-47.90%,-,5072.32%,-,-,-,-
Net Cash Per Share,0.03,0.03,0.03,0.03,0.04,0.10,0.13,-0.01,-
Working Capital,0.01,0.87,0.93,1.38,1.63,1.85,2.14,-,-
Book Value Per Share,-0.28,-0.29,-0.33,-0.32,-0.48,-1.29,-1.38,0.00,-
