Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-05
Cash & Equivalents,0.14,0.29,0.33,0.37,1.31,0.13,0.02,-,0
Cash & Cash Equivalents,0.14,0.29,0.33,0.37,1.31,0.13,0.02,0,0
Cash Growth,-89.63%,118.39%,2077.75%,-,-,-,-,-,-
Other Current Assets,0.45,0.47,0.51,0.55,0.51,1.35,-,-,-
Total Current Assets,0.58,0.76,0.83,0.92,1.83,1.48,-,-,-
Long-Term Investments,227.53,225.08,223.04,221.87,221.55,0,-,-,-
Other Long-Term Assets,0,0.02,0.14,0.26,0.37,0,-,-,-
Total Long-Term Assets,227.53,225.11,223.18,222.12,221.92,0,-,-,-
Total Assets,228.11,225.87,224.01,223.04,223.75,1.48,0.86,-,0.09
Accounts Payable,0.14,0.11,0.08,0.05,0.02,0.04,0.04,-,0
Current Debt,0,0,0,0,0,0.28,0.09,-,0
Other Current Liabilities,0.49,0.46,0.46,0.44,1.23,1.19,0.74,-,0.07
Total Current Liabilities,0.64,0.58,0.54,0.5,1.26,1.51,0.88,-,0.07
Other Long-Term Liabilities,10.32,8.48,9.51,11.25,13.73,0,0,-,0
Total Long-Term Liabilities,10.32,8.48,9.51,11.25,13.73,0,0,-,0
Total Liabilities,10.95,9.06,10.05,11.75,14.98,1.51,0.88,-,0.07
Total Debt,0,0,0,0,0,0.28,0.09,-,0
Common Stock,0,0,0,0,0,0.03,0.03,-,0.03
Retained Earnings,-10.37,-8.27,-9.08,-10.57,-12.79,-0.06,-0.04,-,-0
Shareholders' Equity,-10.37,-8.27,-9.08,-10.57,-12.79,-0.03,-0.01,-,0.02
Total Liabilities and Equity,0.58,0.78,0.97,1.18,2.2,1.48,0.86,-,0.09
Net Cash / Debt,0.14,0.29,0.33,0.37,1.31,-0.14,-0.08,0,0
Net Cash / Debt Growth,-89.63%,-,-,-,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.01,0.06,-0.02,-0.01,-,-
Working Capital,-0.05,0.19,0.29,0.42,0.57,-0.03,-,-,-
Book Value Per Share,-0.35,-0.28,-0.31,-0.36,-0.55,-0.01,-0.00,-,-
