Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-29
Cash & Equivalents,0.12,0.29,0.36,0.45,0.75,0,0,0
Cash & Cash Equivalents,0.12,0.29,0.36,0.45,0.75,0,0,0
Cash Growth,-83.45%,-,-,-,-,-,-,-
Other Current Assets,0.34,0.41,0.43,0.45,0.42,-,-,-
Total Current Assets,0.46,0.7,0.78,0.9,1.17,-,-,-
Long-Term Investments,237.99,236,234.94,234.63,234.6,-,-,-
Other Long-Term Assets,0,0.03,0.13,0.22,0.32,-,-,-
Total Long-Term Assets,237.99,236.03,235.07,234.85,234.93,-,-,-
Total Assets,238.45,236.73,235.85,235.75,236.09,0.47,0.44,0.15
Accounts Payable,1.58,0.58,0.45,0.33,0.04,0,0,0.01
Current Debt,0,0,0,0,0,0.21,0.17,0.05
Other Current Liabilities,0.08,0.08,0.08,-0.23,0.31,0.28,0.24,0.08
Total Current Liabilities,1.66,0.66,0.53,0.11,0.35,0.49,0.42,0.13
Other Long-Term Liabilities,9.28,10.36,12.58,16.9,19.48,0,0,0
Total Long-Term Liabilities,9.28,10.36,12.58,16.9,19.48,0,0,0
Total Liabilities,10.94,11.02,13.11,17,19.83,0.49,0.42,0.13
Total Debt,0,0,0,0,0,0.21,0.17,0.05
Common Stock,0,0,0,0,0,0.03,0.03,0.03
Retained Earnings,-10.48,-10.29,-12.2,-15.85,-18.34,-0.05,-0.01,-0.01
Shareholders' Equity,-10.48,-10.29,-12.2,-15.85,-18.34,-0.03,0.02,0.02
Total Liabilities and Equity,0.46,0.73,0.91,1.15,1.49,0.47,0.44,0.15
Net Cash / Debt,0.12,0.29,0.36,0.45,0.75,-0.21,-0.17,-0.05
Net Cash / Debt Growth,-83.45%,-,-,-,-,-,-,-
Net Cash Per Share,0.00,0.01,0.01,0.02,0.07,-0.04,-0.03,-
Working Capital,-1.2,0.04,0.26,0.79,0.81,-,-,-
Book Value Per Share,-0.36,-0.36,-0.42,-0.55,-1.67,-0.01,0.00,-
