Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-18
Cash & Equivalents,0.35,0.33,0.39,0.5,0.9,0,0,0
Cash & Cash Equivalents,0.35,0.33,0.39,0.5,0.9,0,0,0
Cash Growth,-60.80%,-,-,-,-,-,-,-
Other Current Assets,0.46,0.57,0.57,0.57,0.57,-,-,-
Total Current Assets,0.81,0.9,0.96,1.07,1.47,-,-,-
Long-Term Investments,237.74,235.84,234.76,234.64,234.61,-,-,-
Other Long-Term Assets,0,0.03,0.17,0.32,0.46,-,-,-
Total Long-Term Assets,237.74,235.87,234.93,234.96,235.07,-,-,-
Total Assets,238.54,236.77,235.89,236.02,236.53,0.44,0.43,0.1
Accounts Payable,0.85,0.87,0.39,0.25,0.13,0,0,0
Current Debt,0.3,0.3,0.3,0.3,0.3,0.35,0.19,0
Other Current Liabilities,1.25,0.42,0.42,0.42,0.58,0.29,0.33,0.1
Total Current Liabilities,2.4,1.59,1.11,0.96,1.01,0.64,0.52,0.1
Other Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,0,0,0
Total Long-Term Liabilities,8.05,8.05,8.05,8.05,8.05,0,0,0
Total Liabilities,10.45,9.64,9.16,9.01,9.06,0.64,0.52,0.1
Total Debt,0.3,0.3,0.3,0.3,0.3,0.35,0.19,0
Debt Growth,-,-15.36%,56.58%,-,-,-,-,-
Common Stock,0,0,0,0,0,0.03,0.03,0
Retained Earnings,-8.81,-8.15,-7.87,-7.59,-7.13,-0.23,-0.12,-0.01
Shareholders' Equity,-8.81,-8.14,-7.87,-7.59,-7.13,-0.21,-0.09,-0.01
Total Liabilities and Equity,1.64,1.49,1.29,1.42,1.93,0.44,0.43,0.1
Net Cash / Debt,0.05,0.03,0.09,0.2,0.6,-0.35,-0.19,0
Net Cash / Debt Growth,-91.38%,-,-,-,-,-,-,-
Net Cash Per Share,0.00,0.00,0.00,0.01,0.06,-0.07,-0.04,-
Working Capital,-1.59,-0.69,-0.15,0.1,0.46,-,-,-
Book Value Per Share,-0.31,-0.28,-0.27,-0.26,-0.68,-0.04,-0.02,-
