Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Cash & Equivalents,3.58,2.59,3.03,3.18,3.34,3.44,0.21,0.23
Cash & Cash Equivalents,3.58,2.59,3.03,3.18,3.34,3.44,0.21,0.23
Cash Growth,7.20%,-24.77%,1370.26%,1305.63%,-,-,-,-
Other Current Assets,0.42,0.65,0.83,0.84,0.84,1.47,-,-
Total Current Assets,4,3.24,3.86,4.02,4.18,4.91,-,-
Long-Term Investments,506.14,503.25,500.84,500.27,500.13,500.03,-,-
Other Long-Term Assets,0,0,0,0.21,0.42,0,-,-
Total Long-Term Assets,506.14,503.25,500.84,500.47,500.54,500.03,-,-
Total Assets,510.14,506.5,504.7,504.49,504.72,504.95,0.92,0.57
Current Debt,0,0,0,0,0,0,0.5,0.5
Other Current Liabilities,1.48,0.95,0.63,0.47,0.31,0.11,0.4,0.04
Total Current Liabilities,1.48,0.95,0.63,0.47,0.31,0.11,0.9,0.54
Other Long-Term Liabilities,17.91,17.59,17.59,17.59,17.59,17.5,0,0
Total Long-Term Liabilities,17.91,17.59,17.59,17.59,17.59,17.5,0,0
Total Liabilities,19.4,18.54,18.22,18.07,17.9,17.61,0.9,0.54
Total Debt,0,0,0,0,0,0,0.5,0.5
Common Stock,0,0,0,0,0,0,0.03,0.03
Retained Earnings,-13.8,-13.41,-13.52,-13.57,-13.19,-12.66,-0,-0
Shareholders' Equity,-13.8,-13.41,-13.52,-13.57,-13.18,-12.66,0.02,0.02
Total Liabilities and Equity,5.59,5.13,4.7,4.49,4.72,4.95,0.92,0.57
Net Cash / Debt,3.58,2.59,3.03,3.18,3.34,3.44,-0.29,-0.27
Net Cash / Debt Growth,7.20%,-24.77%,-,-,-,-,-,-
Net Cash Per Share,0.06,0.04,0.05,0.05,0.08,0.06,-0.02,-0.03
Working Capital,2.51,2.29,3.23,3.55,3.87,4.8,-,-
Book Value Per Share,-0.22,-0.21,-0.21,-0.21,-0.32,-0.22,0.00,0.00
