Metrics,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2022-01-07
Cash & Equivalents,0.14,0.36,0.53,0.78,0,0
Cash & Cash Equivalents,0.14,0.36,0.53,0.78,0,0
Other Current Assets,0.12,0.12,0.21,0.29,-,-
Total Current Assets,0.25,0.48,0.74,1.07,-,-
Long-Term Investments,120.03,118.79,117.87,117.41,-,-
Total Long-Term Assets,120.03,118.79,117.87,117.41,-,-
Total Assets,120.29,119.27,118.6,118.47,0.16,0.09
Accounts Payable,0.16,0.12,0.13,0,0,0
Current Debt,0,0,0,0.08,0.07,0
Other Current Liabilities,0,0,0.01,0.19,0.1,0.07
Total Current Liabilities,0.16,0.12,0.13,0.28,0.17,0.07
Other Long-Term Liabilities,4.03,4.03,4.03,4.03,0,0
Total Long-Term Liabilities,4.03,4.03,4.03,4.03,0,0
Total Liabilities,4.19,4.15,4.16,4.3,0.17,0.07
Total Debt,0,0,0,0.08,0.07,0
Common Stock,0,0,0,0,0.03,0.03
Retained Earnings,-3.93,-3.67,-3.42,-3.24,-0.03,-0.01
Shareholders' Equity,-3.93,-3.67,-3.42,-3.24,-0,0.02
Total Liabilities and Equity,0.25,0.48,0.74,1.07,0.16,0.09
Net Cash / Debt,0.14,0.36,0.53,0.7,-0.07,-0
Net Cash Per Share,0.01,0.04,0.04,0.09,-0.03,-
Working Capital,0.09,0.36,0.61,0.79,-,-
Book Value Per Share,-0.27,-0.37,-0.24,-0.40,-0.00,0.01
