Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-15
Cash & Equivalents,0.23,0.37,0.57,0.49,0.71,1.11,0,0,-,0.1
Cash & Cash Equivalents,0.23,0.37,0.57,0.49,0.71,1.11,0,0,0,0.1
Cash Growth,-68.22%,-66.85%,20103.28%,135314.72%,-,1006.63%,-,-,-,-
Other Current Assets,0,0.12,0.24,0.37,0.53,0.47,-,-,-,-
Total Current Assets,0.23,0.49,0.81,0.86,1.24,1.57,-,-,-,-
Long-Term Investments,170.53,168.83,167.5,166.92,166.67,166.67,-,-,-,-
Other Long-Term Assets,0,0,0,0,0,0.11,-,-,-,-
Total Long-Term Assets,170.53,168.83,167.5,166.92,166.67,166.78,-,-,-,-
Total Assets,170.76,169.32,168.31,167.78,167.91,168.35,0.25,0.2,-,0.14
Accounts Payable,2.23,1.88,1.9,1.85,0.24,0.31,0,0,-,0
Current Debt,0,0,0,0,0,0,0.09,0.08,-,0.08
Other Current Liabilities,0.66,0.32,0.17,0,0,0,0.14,0.1,-,0.04
Total Current Liabilities,2.89,2.2,2.07,1.85,0.24,0.31,0.22,0.18,-,0.11
Other Long-Term Liabilities,6.6,6.6,6.6,6.6,6.6,6.6,0,0,-,0
Total Long-Term Liabilities,6.6,6.6,6.6,6.6,6.6,6.6,0,0,-,0
Total Liabilities,9.49,8.8,8.67,8.45,6.84,6.91,0.22,0.18,-,0.11
Total Debt,0,0,0,0,0,0,0.09,0.08,-,0.08
Common Stock,0,0,0,0.14,0.14,0.14,0.03,0.03,-,0.03
Retained Earnings,-8.56,-8.24,-7.66,-7.47,-5.73,-5.35,-0,-0,-,-0
Shareholders' Equity,-8.56,-8.24,-7.66,-7.33,-5.58,-5.21,0.02,0.02,-,0.02
Total Liabilities and Equity,0.93,0.56,1.02,1.12,1.26,1.7,0.25,0.2,-,0.14
Net Cash / Debt,0.23,0.37,0.57,0.49,0.71,1.11,-0.08,-0.07,0,0.03
Net Cash / Debt Growth,-68.22%,-66.85%,-,-,-,4326.52%,-,-,-,-
Net Cash Per Share,0.01,0.02,0.03,0.02,0.03,0.15,-0.02,-0.02,-,-
Working Capital,-2.66,-1.71,-1.26,-0.99,1,1.26,-,-,-,-
Book Value Per Share,-0.41,-0.40,-0.37,-0.35,-0.27,-0.69,0.01,0.01,-,-
